# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/human_genome/Homo_sapiens.GRCh38.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "human60705_heartReclassedAsLiver_rna_dupsRemoved.bam" "human60705_kidney_rna_dupsRemoved.bam" "human60705_liver_rna_dupsRemoved.bam" "human60705_lung_rna_dupsRemoved.bam" "human61317_heart_rna_dupsRemoved.bam" "human61317_kidney_rna_dupsRemoved.bam" "human61317_liver_rna_dupsRemoved.bam" "human61317_lung_rna_dupsRemoved.bam" "human62789_heart_rna_dupsRemoved.bam" "human62789_kidney_rna_dupsRemoved.bam" "human62789_liver_rna_dupsRemoved.bam" "human62789_lung_rna_dupsRemoved.bam" "human62905_heart_rna_dupsRemoved.bam" "human62905_kidney_rna_dupsRemoved.bam" "human62905_liver_rna_dupsRemoved.bam" "human62905_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	human60705_heartReclassedAsLiver_rna_dupsRemoved.bam	human60705_kidney_rna_dupsRemoved.bam	human60705_liver_rna_dupsRemoved.bam	human60705_lung_rna_dupsRemoved.bam	human61317_heart_rna_dupsRemoved.bam	human61317_kidney_rna_dupsRemoved.bam	human61317_liver_rna_dupsRemoved.bam	human61317_lung_rna_dupsRemoved.bam	human62789_heart_rna_dupsRemoved.bam	human62789_kidney_rna_dupsRemoved.bam	human62789_liver_rna_dupsRemoved.bam	human62789_lung_rna_dupsRemoved.bam	human62905_heart_rna_dupsRemoved.bam	human62905_kidney_rna_dupsRemoved.bam	human62905_liver_rna_dupsRemoved.bam	human62905_lung_rna_dupsRemoved.bam
gene:ENSG00000197530	1	1615415	1630610	+	15196	856	1388	732	1265	1394	979	906	1957	495	1480	856	1597	1977	1817	631	3390
gene:ENSG00000189409	1	1632163	1635263	+	3101	25	102	39	325	107	23	45	450	130	47	40	200	239	39	41	443
gene:ENSG00000248333	1	1635227	1659012	-	23786	957	1282	798	1140	1127	845	1150	1902	386	1057	655	1975	1321	1380	953	2848
gene:ENSG00000189339	1	1659529	1692795	-	33267	1078	1439	872	1003	990	1725	1413	2458	379	1699	802	2051	1185	1983	1038	2901
gene:ENSG00000008128	1	1702379	1724357	-	21979	1044	1329	860	1228	1126	915	1299	1896	359	1106	715	1812	1168	1491	979	2970
gene:ENSG00000215790	1	1724838	1745999	-	21162	987	1697	773	1176	597	1280	855	1419	350	1660	706	1569	910	1783	783	2275
gene:ENSG00000008130	1	1751232	1780457	-	29226	2955	1246	2381	1171	1704	1047	2939	2339	235	1210	1888	1421	1192	1870	2173	3883
gene:ENSG00000078369	1	1785285	1891117	-	105833	2268	3088	1909	3053	2321	1883	2137	3833	843	2880	1513	4539	2497	3467	2054	5329
gene:ENSG00000169885	1	1915108	1917296	+	2189	27	8	23	11	4	11	26	19	2	25	45	11	9	36	37	9
gene:ENSG00000178821	1	1917590	1919279	-	1690	52	9	45	11	11	4	39	36	5	33	24	28	17	49	54	21
gene:ENSG00000142609	1	1921951	2003837	-	81887	87	38	38	240	14	24	62	183	6	27	16	602	30	42	171	572
gene:ENSG00000187730	1	2019329	2030758	+	11430	5	5	3	24	2	1	6	37	6	12	1	16	12	4	23	12
gene:ENSG00000067606	1	2050411	2185395	+	134985	577	705	478	976	274	476	471	2417	42	823	323	2323	310	1363	339	2271
gene:ENSG00000162585	1	2184461	2212720	-	28260	530	855	483	469	614	498	511	823	174	776	452	685	564	907	441	1059
gene:ENSG00000157933	1	2228319	2310213	+	81895	877	1223	730	1656	1959	997	1044	3172	402	1214	803	2824	1588	1348	574	3848
gene:ENSG00000116151	1	2321253	2391707	-	70455	321	1021	280	429	126	583	165	376	73	1118	264	754	297	1229	185	799
gene:ENSG00000157916	1	2391775	2405442	+	13668	1684	1619	1420	1244	1041	1129	1326	1450	316	1547	1197	1484	979	2205	1148	2733
gene:ENSG00000157911	1	2403964	2413797	-	9834	263	395	221	165	90	110	74	115	34	321	280	192	146	316	41	228
gene:ENSG00000149527	1	2425980	2505532	+	79553	74	143	60	90	5	54	82	37	5	919	161	190	16	588	91	361
gene:ENSG00000157881	1	2508537	2526611	-	18075	288	289	256	238	288	224	229	556	105	286	156	471	445	536	209	756
gene:ENSG00000197921	1	2528745	2530263	-	1519	0	0	0	6	10	1	2	24	14	2	6	1	10	0	1	5
gene:ENSG00000157873	1	2555639	2565382	+	9744	822	2045	763	1470	494	403	1004	1582	357	1407	749	1788	567	1681	940	2227
gene:ENSG00000225931	1	2566410	2569888	+	3479	4	31	7	16	13	17	22	35	15	14	7	32	13	25	25	47
gene:ENSG00000157870	1	2586491	2591469	+	4979	70	342	63	158	40	87	57	261	36	255	66	279	79	290	35	335
gene:ENSG00000142606	1	2590639	2633016	-	42378	2	23	4	26	11	18	10	45	2	16	6	73	12	19	15	76
gene:ENSG00000215912	1	2635976	2801717	-	165742	12	139	13	118	7	21	10	45	6	95	8	266	5	58	10	155
gene:ENSG00000169717	1	3021467	3022903	+	1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000142611	1	3069168	3438621	+	369454	46	545	50	294	669	1826	133	1307	248	3147	68	971	1363	2439	217	966
gene:ENSG00000279839	1	3205988	3208664	+	2677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000130762	1	3454665	3481113	+	26449	193	1304	156	154	41	714	121	402	19	1081	112	341	40	1535	147	349
gene:ENSG00000162591	1	3487951	3611508	-	123558	418	1532	526	2316	732	192	806	4499	255	535	282	2753	648	691	639	5015
gene:ENSG00000158109	1	3625015	3630127	+	5113	1523	955	1303	751	816	607	881	1068	188	1250	1161	855	792	1434	607	1165
gene:ENSG00000116213	1	3630767	3652761	-	21995	439	670	294	490	416	292	366	675	126	534	251	598	272	574	192	928
gene:ENSG00000078900	1	3652516	3736201	+	83686	77	36	45	126	33	33	31	117	5	42	55	220	36	53	48	303
gene:ENSG00000162592	1	3746460	3771645	+	25186	56	92	38	70	45	31	43	119	16	77	19	91	73	125	33	198
gene:ENSG00000235169	1	3772761	3775982	+	3222	15	24	15	13	34	13	14	25	21	122	50	33	57	107	63	21
gene:ENSG00000130764	1	3778559	3796498	-	17940	1090	857	869	619	968	587	691	795	199	878	772	675	843	1092	458	1098
gene:ENSG00000116198	1	3812086	3857214	-	45129	653	599	524	443	581	671	907	1083	95	1099	401	1098	657	1577	554	1989
gene:ENSG00000169598	1	3857267	3885429	+	28163	256	221	179	176	253	239	334	343	72	385	172	261	208	340	264	811
gene:ENSG00000198912	1	3889125	3900293	-	11169	450	478	321	336	246	276	420	519	76	443	357	394	257	499	248	618
gene:ENSG00000196581	1	4654609	4792534	+	137926	32	725	28	91	8	87	33	202	11	682	54	192	46	582	73	162
gene:ENSG00000131697	1	5862811	5992473	-	129663	99	541	74	458	299	187	175	836	58	524	57	981	337	586	173	1180
gene:ENSG00000069424	1	5990927	6101193	+	110267	383	771	331	1761	374	73	279	1030	223	1430	200	1338	660	2586	741	3284
gene:ENSG00000116254	1	6101787	6180321	-	78535	31	56	17	35	17	74	19	38	6	147	17	59	13	141	50	64
gene:ENSG00000285629	1	6159430	6197757	-	38328	2	4	0	0	0	1	0	2	0	2	0	1	1	2	0	2
gene:ENSG00000116251	1	6185020	6209389	-	24370	145	199	87	64	91	71	136	78	18	126	105	68	96	177	103	248
gene:ENSG00000158286	1	6205475	6221299	+	15825	420	1202	336	139	254	479	372	384	368	899	468	322	2636	1137	211	416
gene:ENSG00000116237	1	6221193	6235972	-	14780	822	1389	575	808	979	782	452	1324	286	1868	681	1152	1044	1913	359	1473
gene:ENSG00000173673	1	6244179	6245578	+	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000158292	1	6247353	6261098	-	13746	684	244	507	273	885	97	344	972	64	123	55	892	360	181	121	868
gene:ENSG00000097021	1	6264269	6394391	-	130123	386	516	290	217	329	183	249	555	53	834	338	389	228	1081	235	625
gene:ENSG00000069812	1	6412418	6424670	-	12253	7	19	3	60	1	15	6	27	0	98	5	70	1	108	16	54
gene:ENSG00000187017	1	6424776	6461367	+	36592	840	428	711	125	21	360	418	56	7	1351	1140	131	34	1820	558	210
gene:ENSG00000215788	1	6460786	6466195	-	5410	99	281	48	230	316	217	170	390	217	337	135	371	605	557	248	1290
gene:ENSG00000171680	1	6466092	6520061	-	53970	217	623	120	413	388	163	181	665	364	519	116	888	1055	564	268	2288
gene:ENSG00000162408	1	6521347	6554513	-	33167	461	427	322	308	351	298	241	360	82	415	325	349	373	409	265	723
gene:ENSG00000173662	1	6555307	6579755	+	24449	27	21	26	18	9	12	27	33	3	23	13	38	19	16	30	37
gene:ENSG00000204859	1	6579994	6589280	+	9287	895	675	826	555	428	374	536	656	101	554	564	732	466	779	604	1223
gene:ENSG00000162413	1	6590724	6614607	-	23884	1099	920	781	536	2313	1226	843	2258	341	1381	427	885	2022	1113	366	1253
gene:ENSG00000116273	1	6613731	6624030	+	10300	230	403	176	288	340	325	225	843	48	361	273	849	368	549	189	768
gene:ENSG00000041988	1	6624866	6635586	+	10721	222	239	141	192	391	310	381	534	53	333	170	246	282	395	195	499
gene:ENSG00000007923	1	6634168	6701924	-	67757	954	1431	776	580	563	792	449	843	152	1749	406	863	936	1528	326	1508
gene:ENSG00000171735	1	6785454	7769706	+	984253	801	1312	563	892	719	742	783	1437	255	1393	492	2065	957	1943	1072	2244
gene:ENSG00000049245	1	7771296	7781432	+	10137	1029	1379	784	1564	914	803	951	1858	247	1405	594	2430	1047	1691	775	3033
gene:ENSG00000049246	1	7784320	7845177	+	60858	1177	309	820	448	241	296	507	978	170	1164	1493	3204	607	876	314	964
gene:ENSG00000049247	1	7843083	7853512	-	10430	3	3	3	9	1	1	6	4	2	8	9	15	3	8	13	24
gene:ENSG00000049249	1	7915894	7943165	-	27272	20	19	14	18	14	15	21	34	9	23	28	97	21	35	56	71
gene:ENSG00000116288	1	7954291	7985505	+	31215	1159	995	991	804	1005	885	1016	993	345	1085	779	867	1050	1144	855	1136
gene:ENSG00000116285	1	8004404	8026309	-	21906	9912	2849	7998	2049	929	1005	4381	5416	91	555	2992	6388	1285	2890	3500	2466
gene:ENSG00000162426	1	8317826	8344167	+	26342	38	222	43	56	53	203	41	71	36	217	11	69	97	432	87	151
gene:ENSG00000142599	1	8352397	8848921	-	496525	1811	4185	1481	2064	2892	2378	1778	4132	555	2958	1166	4294	2953	4642	1721	4634
gene:ENSG00000074800	1	8861000	8879190	-	18191	3115	3926	2742	2311	1573	2248	2581	4325	372	2806	1516	3593	2134	3822	2305	3530
gene:ENSG00000131686	1	8945867	8975092	+	29226	16	12	16	7	7	4	14	18	4	14	8	30	8	18	28	24
gene:ENSG00000197241	1	9003300	9026345	-	23046	4	6	3	3	5	4	7	3	2	9	5	10	5	9	26	12
gene:ENSG00000142583	1	9035106	9088478	-	53373	68	243	50	130	38	28	64	88	43	833	21	83	102	729	100	161
gene:ENSG00000180758	1	9100305	9129102	-	28798	274	211	183	448	391	205	328	783	114	327	239	769	628	501	493	712
gene:ENSG00000049239	1	9234775	9271337	+	36563	5526	2054	4452	1912	1241	550	3066	2554	296	1250	1706	2547	2009	1867	2743	3212
gene:ENSG00000171621	1	9292894	9369532	+	76639	1425	861	1231	685	661	150	420	1208	55	207	153	813	345	967	444	983
gene:ENSG00000171612	1	9539465	9585173	+	45709	1393	304	920	233	250	298	298	588	53	440	361	564	352	535	510	296
gene:ENSG00000188807	1	9588911	9614877	+	25967	146	308	101	162	316	284	90	345	135	403	103	252	533	468	62	352
gene:ENSG00000171608	1	9651731	9729114	+	77384	245	791	168	745	289	360	395	920	79	565	298	1100	254	874	738	2028
gene:ENSG00000171603	1	9728926	9823984	-	95059	679	2755	555	1653	1725	1607	915	3038	447	3044	343	2873	1556	3369	637	3328
gene:ENSG00000280113	1	9826289	9828271	-	1983	0	3	0	1	0	0	0	2	1	0	0	1	1	0	0	1
gene:ENSG00000178585	1	9848276	9910336	-	62061	566	683	466	814	493	348	183	896	411	763	344	1325	1152	864	300	1221
gene:ENSG00000162441	1	9922113	9943407	-	21295	578	558	388	473	688	593	459	599	107	965	544	617	621	886	361	915
gene:ENSG00000173614	1	9943428	9985501	+	42074	236	299	157	130	328	379	245	165	106	522	285	186	515	592	187	343
gene:ENSG00000162444	1	9997206	10016021	+	18816	72	66	62	87	349	134	57	108	138	238	41	91	277	99	104	121
gene:ENSG00000130939	1	10032832	10181239	+	148408	1222	1126	997	892	1222	802	826	1666	242	1262	599	1466	1432	1418	820	2128
gene:ENSG00000054523	1	10210805	10381603	+	170799	1699	1321	1148	1399	1995	827	1215	1861	264	1839	846	2376	1818	2311	1103	3927
gene:ENSG00000142657	1	10398592	10420511	+	21920	1661	1094	1378	1348	741	590	639	1287	140	1120	939	1236	611	1245	866	1955
gene:ENSG00000251503	1	10430102	10452153	+	22052	10	32	11	13	35	33	28	20	2	40	21	21	17	40	23	29
gene:ENSG00000175279	1	10430433	10442808	+	12376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000241563	1	10449719	10451902	+	2184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000160049	1	10456522	10472529	-	16008	688	886	506	403	735	738	494	816	101	984	417	739	542	1242	327	1166
gene:ENSG00000142655	1	10472288	10630758	+	158471	910	778	663	455	430	399	431	647	109	653	643	801	703	961	573	1312
gene:ENSG00000130940	1	10636604	10796650	-	160047	285	863	272	976	1336	1169	271	2027	217	1243	167	3126	1581	2255	266	4054
gene:ENSG00000175262	1	10946471	10982037	-	35567	23	22	17	41	19	4	12	37	15	16	22	56	26	16	42	33
gene:ENSG00000120948	1	11012344	11026420	+	14077	5	0	8	0	0	0	0	0	0	1	0	1	0	3	0	0
gene:ENSG00000277726	1	11012662	11030528	+	17867	14	2	7	5	1	0	19	1	1	6	11	1	1	5	9	11
gene:ENSG00000009724	1	11026523	11047239	-	20717	2160	19	1860	47	54	3	1357	12	5	12	1025	12	45	16	1261	22
gene:ENSG00000116649	1	11054584	11060020	-	5437	545	441	428	334	644	232	515	457	191	349	311	240	580	410	382	536
gene:ENSG00000171824	1	11066618	11099869	-	33252	1110	1476	840	1368	525	640	694	1503	251	1309	600	1702	989	1426	688	2422
gene:ENSG00000198793	1	11106535	11262551	-	156017	1724	1238	1292	912	861	918	865	1278	258	1688	808	1501	1166	1828	816	2545
gene:ENSG00000171819	1	11189355	11195981	+	6627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000120942	1	11273206	11296049	+	22844	699	395	543	235	253	158	203	314	57	385	305	283	286	408	164	459
gene:ENSG00000204624	1	11479155	11537551	+	58397	55	9	21	43	3	9	7	15	4	17	6	19	8	23	13	36
gene:ENSG00000116661	1	11637018	11655785	-	18768	252	144	182	82	248	360	180	414	10	328	474	130	143	402	228	201
gene:ENSG00000132879	1	11654375	11663327	+	8953	383	818	297	398	469	740	302	655	100	979	569	485	502	1224	246	737
gene:ENSG00000116663	1	11664200	11674354	+	10155	419	229	316	254	196	128	191	299	50	180	200	292	194	254	168	339
gene:ENSG00000116670	1	11674480	11691650	-	17171	615	301	489	299	401	249	408	458	52	294	234	413	248	525	279	568
gene:ENSG00000162490	1	11691710	11725857	+	34148	37	18	17	17	7	17	8	9	2	29	9	28	13	54	33	39
gene:ENSG00000177674	1	11736084	11754802	+	18719	369	904	272	670	333	396	272	764	81	696	216	964	250	933	237	1292
gene:ENSG00000215910	1	11761787	11789585	+	27799	10	8	7	6	2	5	17	11	5	9	8	20	4	11	22	20
gene:ENSG00000177000	1	11785723	11806455	-	20733	561	545	414	524	502	138	320	895	95	519	140	1519	940	766	187	1318
gene:ENSG00000011021	1	11806096	11848079	+	41984	1105	1231	844	867	783	579	868	1858	180	1203	650	1559	1084	1460	556	2049
gene:ENSG00000175206	1	11845709	11848345	-	2637	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	2
gene:ENSG00000120937	1	11857464	11858945	-	1482	3	6	1	0	69	1	9	2	5	1	0	3	18	4	1	186
gene:ENSG00000116685	1	11919591	11926428	-	6838	743	715	660	442	624	440	594	770	177	888	757	575	580	968	428	906
gene:ENSG00000083444	1	11934205	11975538	+	41334	1713	1303	1578	1119	2467	1467	2456	2743	510	1587	1376	1576	1871	1846	1039	2070
gene:ENSG00000116688	1	11980181	12013514	+	33334	2233	1561	1755	1453	2877	1151	1197	2014	754	2053	1549	2126	4788	2578	1136	3224
gene:ENSG00000116691	1	12019466	12032045	+	12580	519	424	405	492	538	286	503	880	80	352	239	412	421	525	327	1014
gene:ENSG00000120949	1	12063303	12144207	+	80905	27	44	32	72	101	38	53	82	26	40	29	79	93	75	111	148
gene:ENSG00000028137	1	12166991	12209228	+	42238	728	541	581	1566	911	268	1345	1991	258	250	375	3762	1288	564	2639	6221
gene:ENSG00000048707	1	12230030	12512047	+	282018	1664	1700	1144	1449	1303	1066	1089	2358	476	2360	911	2711	2492	2945	1353	4001
gene:ENSG00000162496	1	12567910	12618210	-	50301	2723	1729	2256	1602	1105	745	1803	2843	263	1235	1893	1657	994	1673	1809	1330
gene:ENSG00000204518	1	12644547	12667086	+	22540	4	32	10	7	5	3	13	8	1	46	2	16	6	57	13	15
gene:ENSG00000188984	1	12716110	12728760	+	12651	0	1	1	3	2	0	5	5	1	4	1	2	1	3	13	4
gene:ENSG00000157330	1	12746200	12763699	+	17500	1	1	2	60	2	3	9	37	2	3	3	147	3	4	22	121
gene:ENSG00000116726	1	12774841	12777906	+	3066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000116721	1	12791397	12796628	+	5232	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
gene:ENSG00000239810	1	12824605	12831410	-	6806	0	0	0	0	0	0	0	0	1	3	0	1	2	1	2	2
gene:ENSG00000179172	1	12847408	12848725	-	1318	64	63	56	49	45	66	70	77	26	71	45	59	50	76	45	75
gene:ENSG00000120952	1	12857086	12861909	+	4824	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0
gene:ENSG00000243073	1	12879212	12886201	-	6990	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
gene:ENSG00000187545	1	12892896	12898270	-	5375	5	0	3	0	0	0	2	1	0	0	4	0	0	1	2	0
gene:ENSG00000204510	1	12916610	12920482	+	3873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000232423	1	12938472	12947580	-	9109	1	0	0	0	0	3	5	1	0	2	1	0	1	0	7	4
gene:ENSG00000274764	1	13049476	13056491	-	7016	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1
gene:ENSG00000277058	1	13060869	13062229	+	1361	2	5	3	4	1	2	1	5	1	4	2	3	2	6	1	5
gene:ENSG00000229571	1	13068677	13077884	+	9208	2	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0
gene:ENSG00000275774	1	13115488	13116854	-	1367	14	16	20	12	10	16	25	23	10	20	9	20	18	22	17	25
gene:ENSG00000280267	1	13148905	13155961	-	7057	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0
gene:ENSG00000179412	1	13164586	13165467	-	882	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	3
gene:ENSG00000204505	1	13172455	13179464	+	7010	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1
gene:ENSG00000279169	1	13196188	13201409	-	5222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000279804	1	13222705	13226106	-	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000270601	1	13254212	13263314	+	9103	0	1	0	1	0	0	2	0	1	0	0	0	0	1	2	1
gene:ENSG00000182330	1	13281035	13285174	-	4140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000237700	1	13303539	13308907	+	5369	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0
gene:ENSG00000204501	1	13315581	13322598	+	7018	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
gene:ENSG00000204481	1	13341892	13347134	-	5243	1	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0
gene:ENSG00000204480	1	13369067	13371900	-	2834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000204479	1	13389632	13392629	+	2998	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0
gene:ENSG00000204478	1	13410450	13421328	+	10879	2	6	6	11	3	2	2	1	2	4	1	4	4	4	10	2
gene:ENSG00000162494	1	13474973	13514003	-	39031	4	12	7	10	17	10	14	19	21	16	4	16	62	18	52	11
gene:ENSG00000162493	1	13583465	13617957	+	34493	16	104	43	1023	221	60	30	1204	44	144	16	1024	373	224	54	962
gene:ENSG00000116731	1	13700198	13825079	+	124882	657	838	495	1256	1308	914	734	1548	228	1073	441	2034	1519	1605	764	3436
gene:ENSG00000189337	1	13892792	15118043	+	1225252	530	2670	437	1141	622	2252	839	1959	181	2805	344	2772	518	2997	997	2681
