# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/honeybee_genome/GCF_003254395.2_Amel_HAv3.1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "36" "--primary" "SRR445999_dupsRemoved.bam" "SRR446000_dupsRemoved.bam" "SRR446001_dupsRemoved.bam" "SRR446002_dupsRemoved.bam" "SRR446003_dupsRemoved.bam" "SRR446004_dupsRemoved.bam" "SRR446005_dupsRemoved.bam" "SRR446006_dupsRemoved.bam" "SRR446007_dupsRemoved.bam" "SRR446008_dupsRemoved.bam" "SRR446009_dupsRemoved.bam" "SRR446010_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR445999_dupsRemoved.bam	SRR446000_dupsRemoved.bam	SRR446001_dupsRemoved.bam	SRR446002_dupsRemoved.bam	SRR446003_dupsRemoved.bam	SRR446004_dupsRemoved.bam	SRR446005_dupsRemoved.bam	SRR446006_dupsRemoved.bam	SRR446007_dupsRemoved.bam	SRR446008_dupsRemoved.bam	SRR446009_dupsRemoved.bam	SRR446010_dupsRemoved.bam
gene-LOC113219112	NC_037638.1	91244	91613	+	370	12	46	14	11	19	20	11	20	16	18	13	13
gene-LOC726450	NC_037638.1	91682	110399	+	18718	5128	9529	5115	4610	4800	7302	4342	6669	4395	5802	7343	4511
gene-LOC107964063	NC_037638.1	97814	98760	-	947	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219111	NC_037638.1	110674	112314	-	1641	2174	3177	2050	1963	1855	2850	1826	2156	1620	2033	2307	1610
gene-LOC410664	NC_037638.1	113471	117037	-	3567	5255	7048	4250	4030	4419	6138	5001	5652	3361	4703	5292	3776
gene-LOC408565	NC_037638.1	117008	122443	+	5436	10036	16361	8170	8960	8687	13979	9024	11347	6316	8691	10664	7766
gene-LOC410663	NC_037638.1	124106	125085	-	980	2082	3064	1982	1897	1944	2702	1960	2296	1686	2121	2308	1857
gene-LOC113219398	NC_037638.1	126477	134113	+	7637	1414	2469	1458	1286	1479	2247	973	1677	1111	1373	1936	1495
gene-LOC726544	NC_037638.1	134890	241308	-	106419	4959	9408	2690	2441	3215	4339	3784	5864	2472	3880	4694	3893
gene-Mir2-2	NC_037638.1	138173	138256	-	84	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir2-1	NC_037638.1	139117	139205	-	89	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir2b	NC_037638.1	139122	139199	+	78	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir13b	NC_037638.1	139337	139415	-	79	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir13a	NC_037638.1	139678	139777	-	100	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir2-3	NC_037638.1	139959	140058	-	100	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir71	NC_037638.1	140348	140447	-	100	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC410772	NC_037638.1	241926	245999	-	4074	3352	5111	3124	2841	2949	4630	3147	3663	2166	3037	3603	2518
gene-LOC551203	NC_037638.1	246604	422953	+	176350	5952	13295	6628	6048	5516	8716	5441	7641	4916	6327	7559	5096
gene-LOC100578621	NC_037638.1	256975	325770	-	68796	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC726446	NC_037638.1	367913	369386	+	1474	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100578600	NC_037638.1	389814	409415	-	19602	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC410771	NC_037638.1	424032	485247	+	61216	2191	5163	1247	1403	1483	2205	2060	3331	1330	2149	2744	2172
gene-LOC100578571	NC_037638.1	442753	446004	-	3252	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir3768	NC_037638.1	446683	446770	-	88	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102654047	NC_037638.1	558075	560102	+	2028	0	1	0	0	1	0	1	2	1	1	0	0
gene-LOC100577692	NC_037638.1	649937	702409	-	52473	1043	1901	669	784	686	1070	987	1457	1046	1457	1779	926
gene-LOC107965716	NC_037638.1	688496	736978	+	48483	64	83	26	21	39	32	47	48	37	54	66	40
gene-LOC410769	NC_037638.1	816289	820618	+	4330	4689	7495	2359	2268	2326	3633	3579	5361	2640	4075	5050	3567
gene-Emc	NC_037638.1	821805	824037	-	2233	15335	20269	9221	9275	9677	13393	11689	15743	8908	13334	15548	13266
gene-LOC113219286	NC_037638.1	843064	843789	+	726	1	1	2	0	1	4	1	1	1	3	2	0
gene-LOC100578334	NC_037638.1	863811	866026	-	2216	5	4	3	3	5	4	2	3	6	1	4	2
gene-LOC726756	NC_037638.1	867359	873957	+	6599	4797	6328	3461	3108	3448	6332	3836	4895	2685	4022	4661	3522
gene-Nedd9	NC_037638.1	880427	997306	+	116880	2543	5547	2141	2089	1648	2812	2286	3249	2023	2406	2738	2672
gene-Mir3766	NC_037638.1	918897	919031	+	135	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC726609	NC_037638.1	998602	1000877	-	2276	15498	20140	13250	13975	13706	19180	13208	15337	10340	13722	15729	11760
gene-LOC726788	NC_037638.1	1001014	1002244	-	1231	2594	3638	2221	2088	2312	3320	2433	2981	2031	2532	3032	2299
gene-LOC100578031	NC_037638.1	1004951	1025670	-	20720	4525	7994	2006	1973	2315	4218	3410	4951	1685	2748	3405	2641
gene-LOC107966044	NC_037638.1	1025777	1026312	+	536	533	814	387	458	529	705	479	610	340	462	559	500
gene-LOC410766	NC_037638.1	1030583	1035250	+	4668	10815	14904	9148	8984	9804	14591	10030	12719	7640	10312	12295	8865
gene-LOC551646	NC_037638.1	1035549	1040317	-	4769	4360	6848	4235	4017	3967	6595	3837	4987	2958	4022	5041	3940
gene-TRNAK-CUU	NC_037638.1	1040884	1040956	+	73	3	5	2	11	10	6	13	16	12	5	6	9
gene-LOC113219417	NC_037638.1	1043403	1044121	-	719	2598	3835	2714	2455	2543	4194	2196	3181	2224	2543	3509	2463
gene-LOC113219404	NC_037638.1	1044187	1050427	-	6241	18024	27001	17084	15377	16586	26488	15466	22123	12364	16511	21913	16702
gene-LOC551678	NC_037638.1	1051195	1053152	-	1958	5964	7780	5160	5079	5512	6983	5209	6716	4391	5874	5994	4805
gene-TRNAQ-CUG	NC_037638.1	1055955	1056026	+	72	90	163	39	113	113	111	70	122	132	141	177	123
gene-LOC726886	NC_037638.1	1056771	1147819	-	91049	1610	3607	955	970	954	1426	1451	2276	945	1526	1601	1154
gene-LOC100577848	NC_037638.1	1071171	1074278	+	3108	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219278	NC_037638.1	1148162	1152859	-	4698	352	508	214	202	215	325	305	335	229	283	317	243
gene-LOC408626	NC_037638.1	1154365	1171005	+	16641	7671	10943	5646	5563	6003	9078	6780	8642	4713	6906	7964	5914
gene-LOC102655614	NC_037638.1	1158893	1162766	-	3874	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC726912	NC_037638.1	1172799	1385267	+	212469	618	1557	406	409	473	657	622	865	459	635	702	659
gene-Mir2788	NC_037638.1	1173496	1173602	-	107	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir193	NC_037638.1	1179500	1179618	-	119	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655442	NC_037638.1	1213342	1214946	+	1605	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC107965930	NC_037638.1	1336633	1340082	-	3450	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219285	NC_037638.1	1402265	1413339	-	11075	131	143	77	93	61	142	299	156	185	122	97	117
gene-LOC100576602	NC_037638.1	1425678	1463376	+	37699	303	699	271	236	280	368	417	624	305	348	461	431
gene-LOC113218530	NC_037638.1	1431503	1437918	-	6416	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100576537	NC_037638.1	1447936	1455116	-	7181	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100576700	NC_037638.1	1491999	1644613	+	152615	1441	4926	1387	1586	1264	2350	1147	1518	977	1188	1499	1149
gene-TRNAS-CGA	NC_037638.1	1542258	1542339	-	82	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219393	NC_037638.1	1591262	1593237	-	1976	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102653619	NC_037638.1	1606222	1614722	-	8501	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC107963981	NC_037638.1	1629816	1631885	-	2070	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC724948	NC_037638.1	1651359	1654602	+	3244	4653	7512	4312	4531	4609	7123	4236	5519	3008	4254	5323	3782
gene-LOC100576789	NC_037638.1	1655933	1658950	+	3018	468	757	529	546	469	775	447	527	310	427	562	407
gene-LOC113219394	NC_037638.1	1659995	1670853	-	10859	1445	2240	1791	1397	1384	2367	1233	1472	1085	1412	1938	1281
gene-LOC100576820	NC_037638.1	1664088	1667022	+	2935	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC724874	NC_037638.1	1671098	1679110	+	8013	783	1356	843	902	675	1415	574	624	493	655	779	641
gene-Glob1	NC_037638.1	1672100	1674611	-	2512	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219395	NC_037638.1	1679734	1680960	-	1227	120	191	100	60	89	165	86	142	91	106	127	98
gene-LOC410763	NC_037638.1	1681133	1682491	-	1359	2554	3767	2454	2586	2463	3662	2122	2734	1910	2408	2901	2073
gene-LOC100576088	NC_037638.1	1682530	1683635	+	1106	2153	3045	1797	1905	1987	2813	1709	2340	1703	1844	2247	1782
gene-LOC410765	NC_037638.1	1684038	1686302	+	2265	955	1383	815	749	889	1364	811	1024	737	868	1070	832
gene-LOC113219396	NC_037638.1	1686731	1694432	-	7702	13676	19814	8051	7898	9027	14336	12057	14167	6191	9747	10904	8886
gene-LOC408625	NC_037638.1	1696663	1699582	-	2920	2135	3159	1789	1892	1872	2827	1929	2456	1413	1899	2290	1654
gene-LOC113218523	NC_037638.1	1700373	1736098	+	35726	5274	11503	5898	5193	4811	8259	4598	6147	4721	5987	7548	4608
gene-LOC102654759	NC_037638.1	1706523	1709448	-	2926	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219182	NC_037638.1	1735763	1739459	-	3697	9107	16269	14554	13469	12274	20169	8137	10531	9341	12244	15882	9067
gene-LOC724679	NC_037638.1	1742785	1756276	+	13492	836	1554	378	394	458	769	748	875	338	520	668	490
gene-LOC102654998	NC_037638.1	1765422	1774133	-	8712	352	661	403	333	340	585	288	383	247	337	376	291
gene-LOC409327	NC_037638.1	1770239	1789102	+	18864	5184	9633	3897	3588	3374	6709	4037	6045	3498	4780	6038	3752
gene-LOC113219405	NC_037638.1	1779414	1780586	+	1173	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC724537	NC_037638.1	1794215	1801257	+	7043	4834	7078	3770	3730	3966	6346	4852	5650	2807	4056	5079	3387
gene-LOC102655107	NC_037638.1	1801315	1802308	+	994	347	586	365	328	337	599	307	418	308	305	448	277
gene-LOC409620	NC_037638.1	1802345	1808551	-	6207	10658	14660	8439	8451	9157	13681	9967	12072	6647	9301	11363	8183
gene-LOC100577325	NC_037638.1	1810517	1813545	+	3029	7797	11064	5580	6111	6287	9973	7001	8242	3728	5818	7049	5512
gene-LOC113219401	NC_037638.1	1812159	1812431	-	273	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC551204	NC_037638.1	1815343	1816983	+	1641	4610	6331	4090	3807	4266	6125	3915	5098	3282	4247	5526	3904
gene-LOC724372	NC_037638.1	1816644	1818580	-	1937	1236	1582	919	805	947	1460	1094	1294	833	1124	1359	947
gene-LOC725343	NC_037638.1	1818581	1831142	+	12562	17333	14253	7764	6110	15151	10846	7244	27547	7397	14968	11997	10699
gene-LOC725306	NC_037638.1	1831067	1839446	-	8380	10964	17169	7615	6514	7655	12244	8659	12731	5580	8994	10717	7876
gene-LOC409930	NC_037638.1	1840159	1841273	-	1115	14048	16297	11565	11756	11901	14511	12344	14284	11597	13681	14203	12172
gene-LOC409931	NC_037638.1	1843269	1850394	-	7126	10035	13000	6509	6777	6744	10408	7332	10523	5476	9146	9403	7047
gene-LOC107964458	NC_037638.1	1845147	1846777	+	1631	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100578066	NC_037638.1	1851201	1926067	+	74867	2430	5606	1208	1718	1500	2092	2304	2824	1707	2143	2290	1789
gene-LOC107964442	NC_037638.1	1875391	1877882	-	2492	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219207	NC_037638.1	1889614	1891043	-	1430	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219214	NC_037638.1	1936228	1939362	+	3135	74	111	54	59	59	102	37	64	46	56	70	56
gene-LOC411665	NC_037638.1	1936664	1986516	-	49853	4113	5738	2734	2526	2714	4789	3090	4011	2132	2814	3281	3176
gene-LOC102655805	NC_037638.1	1940640	1942251	-	1612	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655775	NC_037638.1	1948729	1949231	+	503	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655747	NC_037638.1	1948753	1951575	-	2823	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655720	NC_037638.1	1954290	1955203	-	914	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655652	NC_037638.1	1960779	1964940	-	4162	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100578187	NC_037638.1	1968930	1971969	-	3040	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102656449	NC_037638.1	1988390	1990795	-	2406	65	74	23	13	31	37	15	50	30	25	35	34
gene-LOC725041	NC_037638.1	1991345	1995715	+	4371	167	237	68	68	78	98	96	128	84	105	101	81
gene-LOC100578245	NC_037638.1	2002613	2004111	-	1499	2330	3437	1955	1908	1909	2997	2025	2383	1522	2052	2436	1770
gene-LOC409852	NC_037638.1	2004935	2033651	-	28717	2110	5996	2466	2924	3152	3698	1028	2375	1599	2103	2339	2542
gene-TRNAL-AAG	NC_037638.1	2006267	2006348	-	82	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102656644	NC_037638.1	2011022	2016927	-	5906	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102654804	NC_037638.1	2034638	2038571	-	3934	652	1808	319	84	107	1293	378	963	212	313	451	818
gene-LOC413835	NC_037638.1	2043111	2048792	+	5682	12090	20061	10162	10553	10620	16478	10255	14833	8269	11061	14080	9522
gene-LOC413834	NC_037638.1	2050071	2065787	+	15717	7197	13944	4098	4253	4222	7415	6131	8315	3296	5093	5808	4789
gene-LOC113219407	NC_037638.1	2064923	2065787	+	865	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC409999	NC_037638.1	2070188	2074455	-	4268	1491	2817	1736	1618	1223	2468	1206	1357	847	1053	1036	1164
gene-LOC727331	NC_037638.1	2075704	2080745	+	5042	13505	17907	10620	10396	10870	15795	13010	14568	8080	11756	13216	10203
gene-LOC412118	NC_037638.1	2083650	2089200	-	5551	8152	12259	6356	7356	7148	11509	8186	8860	3609	5947	7084	5217
gene-LOC726902	NC_037638.1	2089684	2091155	+	1472	6235	7962	5380	5596	5517	7498	5255	6456	4879	5927	6621	5304
gene-LOC552064	NC_037638.1	2092045	2097631	+	5587	7416	10791	6190	6565	6589	10613	6766	8218	4440	6214	8031	5684
gene-LOC409479	NC_037638.1	2098371	2100044	+	1674	19609	26869	19272	19899	20121	27289	17945	20989	15660	19890	21253	16836
gene-Tpcn1	NC_037638.1	2100405	2105633	+	5229	11477	17365	9516	9559	10467	14751	10228	13181	7423	9940	11999	9413
gene-LOC552163	NC_037638.1	2106638	2111686	-	5049	9219	12103	7085	7437	7797	11290	8458	9928	5781	7879	8669	6744
gene-LOC727019	NC_037638.1	2113180	2114431	-	1252	2710	3820	2031	2046	2268	3207	2485	2945	1756	2439	2852	2173
gene-LOC100578696	NC_037638.1	2116573	2132584	+	16012	4656	6188	3105	3042	3707	4773	4388	4570	2161	3571	4078	2972
gene-LOC412925	NC_037638.1	2130927	2142404	-	11478	686	652	476	379	253	308	330	302	280	305	528	298
gene-LOC411675	NC_037638.1	2144629	2151064	+	6436	11633	17056	5360	4982	5712	10834	9009	12053	3706	7256	8665	5463
gene-LOC411808	NC_037638.1	2155197	2179386	-	24190	8764	13687	4539	3967	4498	8037	6129	9434	3806	5389	6951	5203
gene-LOC725638	NC_037638.1	2181145	2182662	+	1518	2504	3648	2250	2138	2367	3378	2034	2582	1862	2386	2963	2025
gene-LOC724901	NC_037638.1	2183256	2186156	-	2901	10261	14993	8411	8459	8782	12437	9623	10828	6406	9231	9963	7982
gene-LOC551574	NC_037638.1	2187051	2190455	-	3405	13172	18296	11871	11900	12566	17183	12037	14562	9344	12599	14262	11415
gene-LOC412610	NC_037638.1	2191810	2197321	+	5512	3669	5449	3536	3579	3479	5462	3023	4070	2551	3358	3885	3023
gene-LOC413784	NC_037638.1	2198059	2205031	+	6973	30578	42035	22415	21893	24253	34960	29542	34247	19906	30313	34179	22776
gene-LOC102655618	NC_037638.1	2205034	2207747	-	2714	3960	5890	3199	3014	3396	4848	3711	4570	2573	3465	4038	3320
gene-LOC412473	NC_037638.1	2208027	2209752	+	1726	3487	5095	2964	3123	3225	4460	3240	4063	2842	3606	4038	3081
gene-LOC550706	NC_037638.1	2209902	2216661	-	6760	16530	22151	14237	13944	15386	22757	14762	18402	10727	14831	18387	13108
gene-LOC725378	NC_037638.1	2217030	2220047	-	3018	4541	6673	3514	3530	3899	5923	4324	5089	2406	3574	4356	3399
gene-egh	NC_037638.1	2223306	2226752	-	3447	7237	9693	5164	5065	5874	8217	6996	7807	4309	5986	7296	5331
gene-LOC725884	NC_037638.1	2227209	2228672	+	1464	13903	17935	12533	12807	13260	17242	12723	13820	11419	13488	13677	11637
gene-LOC113219419	NC_037638.1	2227772	2227846	+	75	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC550716	NC_037638.1	2229247	2238562	+	9316	47521	67855	33205	33384	36687	53401	46588	51927	23064	36917	40101	33152
gene-LOC727419	NC_037638.1	2241599	2242631	-	1033	1807	2548	1540	1543	1617	2397	1598	2006	1368	1746	2044	1495
gene-LOC408624	NC_037638.1	2243024	2254072	+	11049	9577	13580	6705	7112	7592	11838	9048	10636	4987	7153	8947	6902
gene-LOC551279	NC_037638.1	2256219	2268670	+	12452	39634	58748	33801	30475	33023	49619	32435	43685	27074	38766	44889	34713
gene-LOC724238	NC_037638.1	2275775	2385878	-	110104	1874	5082	812	1101	918	1432	2322	3075	1374	2136	1951	1364
gene-LOC107964165	NC_037638.1	2275940	2277457	+	1518	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100576540	NC_037638.1	2301297	2304129	+	2833	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655654	NC_037638.1	2393088	2413382	-	20295	117	223	56	67	55	92	117	141	66	85	131	66
gene-LOC724331	NC_037638.1	2449902	2452507	+	2606	2237	3138	2014	1797	1913	2744	1961	2565	1388	2061	2297	1674
gene-LOC551450	NC_037638.1	2453199	2465740	+	12542	11085	16356	8851	8568	8622	13019	9690	12444	7045	9798	11292	8497
gene-LOC100578309	NC_037638.1	2465401	2468697	-	3297	1422	2089	1338	1442	1217	2185	1094	1391	762	1212	1373	1024
gene-LOC552162	NC_037638.1	2468673	2475071	-	6399	2715	3830	1938	2081	2082	3418	2456	3002	1587	2277	2689	1945
gene-LOC726235	NC_037638.1	2475809	2479497	+	3689	1938	3371	1957	2065	1993	3401	1871	2373	1397	1807	2378	1775
gene-LOC412000	NC_037638.1	2479748	2483349	-	3602	5295	8040	4704	4768	4945	7439	5127	6245	3282	4701	5860	3893
gene-LOC726291	NC_037638.1	2484315	2492934	+	8620	8553	12288	7175	6902	7162	10960	8188	9861	5704	7760	9163	6748
gene-LOC100578472	NC_037638.1	2485959	2488154	-	2196	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC726316	NC_037638.1	2492814	2493891	-	1078	4902	5903	4217	4262	4245	5580	3944	4848	3836	4580	5009	4173
gene-LOC411985	NC_037638.1	2494572	2501772	+	7201	10990	16542	9245	9693	9847	16188	9630	12025	7012	9791	12169	8445
gene-LOC412578	NC_037638.1	2504095	2505287	+	1193	2186	3330	2101	2088	2081	2965	1908	2523	1807	2123	2578	1826
gene-LOC102655778	NC_037638.1	2505276	2507841	-	2566	4588	6478	3840	3618	4015	5696	4110	5110	3338	4251	4867	3684
gene-LOC725647	NC_037638.1	2508405	2510166	-	1762	28075	36970	28146	28866	28814	38423	26352	29509	22394	28377	29740	24521
gene-LOC412834	NC_037638.1	2510674	2515826	+	5153	11415	16929	9513	9389	10385	15353	10963	13511	7801	10214	12350	9679
gene-LOC408623	NC_037638.1	2516017	2539536	+	23520	19851	45970	15871	12109	12903	20360	14063	36189	16605	21227	28533	17426
gene-LOC410761	NC_037638.1	2544212	2576544	-	32333	43	137	34	31	29	49	43	80	45	55	79	43
gene-LOC113219103	NC_037638.1	2584718	2585986	-	1269	1	0	0	1	0	1	1	0	0	0	0	0
gene-LOC100576147	NC_037638.1	2597189	2601290	+	4102	28	78	30	25	27	48	22	56	37	46	60	28
gene-LOC724992	NC_037638.1	2647416	2648436	+	1021	2429	3989	2111	1970	2149	3259	2253	3030	2008	2327	2937	2326
gene-LOC410758	NC_037638.1	2674336	3119466	+	445131	3500	11197	2998	3229	3121	4352	3470	5224	3561	4002	4540	3571
gene-LOC410757	NC_037638.1	3160299	3166163	+	5865	6306	9542	4684	4814	5159	8020	5791	6881	3004	5226	6343	4611
gene-LOC408622	NC_037638.1	3168356	3174896	-	6541	5993	10651	5411	4931	4834	7870	5165	8760	3960	6322	8309	4947
gene-LOC725922	NC_037638.1	3176209	3180013	+	3805	1035	1648	910	1047	1078	1631	1063	1306	737	1154	1443	845
gene-LOC411968	NC_037638.1	3181511	3186227	+	4717	32	28	43	37	52	48	32	35	13	42	31	31
gene-LOC102654966	NC_037638.1	3181727	3183286	-	1560	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC725982	NC_037638.1	3187619	3194351	+	6733	4796	6783	3518	3279	3885	5618	4782	5845	2815	4371	4996	3625
gene-LOC726015	NC_037638.1	3193856	3197709	+	3854	322	503	267	239	277	402	281	366	238	336	351	324
gene-LOC727399	NC_037638.1	3197131	3259835	+	62705	7620	16432	6556	5819	5877	8942	7404	10662	6497	9321	10822	6676
gene-LOC113219421	NC_037638.1	3210039	3210202	+	164	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655185	NC_037638.1	3212401	3219482	-	7082	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113219135	NC_037638.1	3226854	3230280	-	3427	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655581	NC_037638.1	3260952	3262514	-	1563	3306	5068	3777	3344	3531	4790	2966	4042	3967	4529	5650	3472
gene-LOC107965102	NC_037638.1	3263964	3264813	+	850	30	66	17	13	14	25	8	38	17	23	27	27
gene-LOC726810	NC_037638.1	3264852	3269007	+	4156	306	670	205	186	234	478	177	412	123	285	322	219
gene-LOC100578752	NC_037638.1	3268133	3271806	-	3674	4023	6398	3763	3670	3775	6094	3606	4170	2580	3860	4430	2936
gene-LOC552366	NC_037638.1	3272743	3274362	+	1620	231	389	81	69	751	130	97	104	55	76	88	66
gene-LOC412017	NC_037638.1	3276816	3279479	+	2664	2595	3627	1922	1977	2143	2979	2428	3039	1547	2526	2689	1869
gene-LOC412016	NC_037638.1	3279891	3281704	-	1814	1645	2597	1530	1518	1577	2375	1561	1900	1167	1739	2035	1411
gene-LOC113218608	NC_037638.1	3289407	3290622	-	1216	155	294	121	120	114	189	82	233	72	158	181	105
gene-LOC409780	NC_037638.1	3291485	3749589	-	458105	2861	7190	2175	2309	2374	3184	2296	3793	2782	3168	3745	2723
gene-LOC102656720	NC_037638.1	3303220	3304635	+	1416	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102656333	NC_037638.1	3321126	3325659	+	4534	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100577895	NC_037638.1	3917629	3919464	+	1836	12	10	4	6	7	5	8	5	5	4	2	3
gene-LOC100578042	NC_037638.1	3967580	3980231	+	12652	12	70	12	10	19	22	7	21	10	15	10	13
gene-LOC408618	NC_037638.1	3993015	4375035	-	382021	8613	18096	4609	5168	5194	6783	8393	11658	6775	7929	9166	7379
gene-LOC102654856	NC_037638.1	4006295	4022331	+	16037	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102655012	NC_037638.1	4043846	4058182	+	14337	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102656903	NC_037638.1	4100313	4103547	+	3235	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102656828	NC_037638.1	4197794	4202144	+	4351	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC107965033	NC_037638.1	4257014	4265368	+	8355	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113218984	NC_037638.1	4345801	4347796	+	1996	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC724233	NC_037638.1	4375803	4376815	+	1013	8880	11885	8694	8792	9049	11774	8501	9176	7880	9187	9414	7931
gene-LOC408619	NC_037638.1	4377949	4386117	+	8169	4510	10180	2614	2198	2205	4015	3495	6484	2073	3560	4327	2985
