# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/zootermopsis_nevadensis_genome/GCA_000696155.1_ZooNev1.0_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "36" "--primary" "SRR3139733_dupsRemoved.bam" "SRR3139734_dupsRemoved.bam" "SRR3139735_dupsRemoved.bam" "SRR3139736_dupsRemoved.bam" "SRR3139737_dupsRemoved.bam" "SRR3139738_dupsRemoved.bam" "SRR3139739_dupsRemoved.bam" "SRR3139740_dupsRemoved.bam" "SRR3139741_dupsRemoved.bam" "SRR3139742_dupsRemoved.bam" "SRR3139743_dupsRemoved.bam" "SRR3139744_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR3139733_dupsRemoved.bam	SRR3139734_dupsRemoved.bam	SRR3139735_dupsRemoved.bam	SRR3139736_dupsRemoved.bam	SRR3139737_dupsRemoved.bam	SRR3139738_dupsRemoved.bam	SRR3139739_dupsRemoved.bam	SRR3139740_dupsRemoved.bam	SRR3139741_dupsRemoved.bam	SRR3139742_dupsRemoved.bam	SRR3139743_dupsRemoved.bam	SRR3139744_dupsRemoved.bam
gene13	KK852404.1	72738	73058	+	321	1	1	0	1	0	1	0	0	3	2	0	1
gene14	KK852405.1	440	1519	-	1080	285	122	105	181	109	138	151	184	168	191	1901	101
gene15	KK852405.1	3295	12892	-	9598	104	40	86	55	30	89	96	42	51	98	681	49
gene16	KK852405.1	20707	30110	-	9404	587	6	288	6	18	6	448	51	355	30	342	5
gene17	KK852405.1	35259	44670	-	9412	8662	2532	7402	5076	6956	5318	5111	1698	2135	3390	4773	3930
gene18	KK852405.1	46810	48819	-	2010	436	74	190	156	108	129	297	163	222	166	223	141
gene19	KK852405.1	57349	58578	-	1230	1442	598	1343	1010	930	1718	206	193	134	486	448	283
gene20	KK852405.1	72872	95233	-	22362	1487	649	1175	1236	2089	1214	245	353	169	221	218	218
gene21	KK852405.1	108712	111574	+	2863	9	7	8	14	15	7	17	47	7	30	2522	12
gene22	KK852405.1	206445	208853	+	2409	45	25	87	7	12	141	41	8	11	28	32	41
gene23	KK852405.1	219703	226832	-	7130	2262	1019	1496	1662	1397	1929	1723	1130	707	2351	2217	1625
gene24	KK852405.1	235677	252081	-	16405	1160	316	933	479	396	1041	856	454	503	875	229	665
gene25	KK852405.1	253141	282696	-	29556	2030	700	1403	884	1184	1317	1228	761	715	1367	724	805
gene26	KK852405.1	286228	291272	-	5045	911	22	468	33	28	29	622	60	501	141	21	18
gene27	KK852405.1	291788	299542	+	7755	3246	924	1686	1313	1912	1286	2180	1565	1495	1690	1086	1119
gene28	KK852405.1	299859	315324	-	15466	3319	1364	2441	2111	2526	2775	2378	1864	1277	2879	2007	2306
gene29	KK852405.1	316484	323163	-	6680	1113	219	594	436	693	326	820	461	537	544	386	263
gene30	KK852405.1	323941	329490	+	5550	1920	738	1155	1151	1481	1431	859	818	579	761	813	883
gene31	KK852405.1	330207	339149	-	8943	4748	1867	2890	2642	3401	3589	2823	2497	1550	2625	3094	2708
gene32	KK852405.1	339321	340000	-	680	466	99	374	77	130	330	311	100	182	96	214	201
gene33	KK852405.1	340663	343909	+	3247	527	116	321	124	154	221	279	59	148	139	106	122
gene34	KK852405.1	349170	350382	-	1213	661	59	403	90	109	150	449	54	300	135	78	94
gene35	KK852405.1	360653	361682	+	1030	16	11	15	12	11	24	2	2	3	12	8	3
gene36	KK852405.1	363344	364721	+	1378	31	26	27	21	13	28	9	3	10	23	13	7
gene37	KK852405.1	365604	367787	+	2184	33	21	26	33	20	29	17	14	11	36	15	18
gene38	KK852405.1	368506	383349	-	14844	2388	1379	1674	1404	1312	1614	3747	3669	1090	2326	370	3056
gene39	KK852405.1	387892	389439	-	1548	312	3	178	3	8	6	253	20	201	78	10	6
gene40	KK852405.1	390555	394402	+	3848	72	23	160	18	20	162	54	10	38	52	55	41
gene41	KK852405.1	395060	395826	+	767	60	7	86	13	12	58	34	9	12	39	29	31
gene42	KK852406.1	11504	12012	-	509	0	3	1	2	1	1	4	1	1	2	4	1
gene43	KK852406.1	37632	38186	+	555	2	0	0	0	0	1	4	0	3	0	0	0
gene44	KK852406.1	39234	43330	-	4097	147	1	4	1	4	2	68	7	45	6	11	3
gene45	KK852406.1	137982	165066	-	27085	460	130	510	13	21	601	4226	1591	600	1661	115	5681
gene46	KK852406.1	206444	206625	+	182	0	0	0	0	0	2	0	0	0	0	2	0
gene47	KK852406.1	235446	235896	+	451	15	7	17	18	15	24	10	7	5	28	14	16
gene48	KK852406.1	248997	249203	-	207	1	0	0	0	0	1	0	0	0	0	0	0
gene49	KK852406.1	271743	272120	+	378	1	1	2	3	0	3	0	0	0	13	0	1
gene50	KK852406.1	444866	445551	+	686	9	9	32	10	15	33	10	0	8	8	3	16
gene51	KK852406.1	447390	447939	+	550	4	5	8	9	9	6	5	4	5	7	3	11
gene52	KK852407.1	245341	247626	+	2286	6	3	3	4	2	7	9	10	2	4	3	7
gene53	KK852408.1	54237	54830	+	594	59	17	78	3	2	87	37	4	22	7	38	33
gene54	KK852408.1	251407	268107	+	16701	554	87	375	56	40	267	515	64	272	78	268	120
gene55	KK852408.1	343373	352928	+	9556	545	148	401	170	125	349	574	285	340	201	640	313
gene56	KK852408.1	359861	364257	-	4397	1390	378	804	720	1194	689	898	794	654	1001	662	664
gene57	KK852408.1	364679	378320	+	13642	1190	289	1006	217	346	959	741	133	429	408	482	488
gene58	KK852408.1	383533	426124	+	42592	2019	623	1132	1027	1309	1107	1340	926	938	880	1756	823
gene59	KK852408.1	393214	408110	-	14897	0	0	0	0	0	0	0	0	0	0	0	0
gene60	KK852408.1	643836	644196	-	361	20	8	27	13	12	28	11	10	12	60	9	24
gene61	KK852408.1	688255	688491	+	237	4	0	4	0	1	8	1	0	0	1	0	6
gene62	KK852408.1	1077699	1085494	+	7796	44	12	32	4	10	26	37	6	22	8	7	7
gene63	KK852409.1	14421	31550	+	17130	94	34	59	54	83	65	35	4	14	16	12	7
gene64	KK852409.1	104785	108454	-	3670	545	307	367	433	217	505	502	288	198	864	563	483
gene65	KK852409.1	109600	114622	+	5023	1828	430	1070	709	856	762	1157	635	723	787	574	610
gene66	KK852409.1	119150	123837	+	4688	4383	1540	2887	1282	1184	2626	3481	1696	561	1427	706	3970
gene67	KK852409.1	122913	123842	-	930	25	10	20	28	29	10	20	27	11	18	6	31
gene68	KK852409.1	125807	128610	+	2804	782	295	414	573	796	357	394	527	195	404	345	317
gene69	KK852409.1	131399	135795	-	4397	1451	654	977	829	1127	1125	1058	1408	437	976	600	1180
gene70	KK852409.1	245895	256663	+	10769	57	46	127	38	12	119	23	9	20	48	21	6
gene71	KK852409.1	339978	343471	+	3494	151	47	208	36	22	177	74	6	49	45	59	16
gene72	KK852409.1	346048	352914	+	6867	459	174	507	165	107	400	257	41	176	171	174	34
gene73	KK852409.1	438456	518598	+	80143	725	86	861	66	132	348	549	79	411	220	169	128
gene74	KK852409.1	529287	541306	-	12020	25	13	8	18	4	14	10	5	2	44	8	5
gene75	KK852409.1	563007	570778	-	7772	2823	1060	1699	1436	1763	1702	1674	1459	768	1085	1248	1701
gene76	KK852409.1	588232	589131	+	900	197	115	190	43	78	233	170	28	29	90	71	111
gene77	KK852409.1	639498	644637	+	5140	495	236	350	213	292	432	211	80	79	142	134	102
gene78	KK852409.1	683156	707544	+	24389	5011	1949	3273	3338	4541	3363	1928	938	986	1523	1016	1209
gene79	KK852410.1	21044	26308	-	5265	74	34	86	85	77	124	69	84	47	233	73	47
gene80	KK852410.1	30054	35033	-	4980	410	23	184	35	68	97	286	62	307	180	50	53
gene81	KK852410.1	440486	448596	+	8111	259	117	244	153	210	160	170	195	77	142	1288	126
gene82	KK852411.1	80112	93962	+	13851	890	404	777	671	701	1131	454	189	255	443	329	497
gene83	KK852411.1	133182	146584	+	13403	62	4	44	2	14	16	29	7	19	3	2	5
gene84	KK852411.1	158310	169303	+	10994	107	241	61	323	71	107	62	50	33	609	45	47
gene85	KK852411.1	171155	184928	-	13774	902	203	527	382	395	393	604	324	459	734	258	417
gene86	KK852411.1	185565	195930	+	10366	3089	978	1796	1571	1925	1637	1913	1360	1069	1580	847	1331
gene87	KK852411.1	197797	217069	-	19273	2461	890	2347	1906	1921	2774	1466	820	1077	2911	1573	1380
gene88	KK852411.1	219355	230757	-	11403	2429	989	1905	2562	2581	1907	1618	1440	1175	4633	1571	1676
gene89	KK852411.1	231643	236517	+	4875	1531	261	777	455	693	415	941	494	885	542	399	373
gene90	KK852411.1	246283	253481	+	7199	1488	518	1093	794	837	1060	942	835	629	1099	920	988
gene91	KK852411.1	259410	264963	-	5554	980	204	591	453	495	530	618	355	511	725	387	325
gene92	KK852411.1	265211	279915	-	14705	1110	377	863	752	874	881	602	572	472	1041	509	543
gene93	KK852411.1	282378	282719	+	342	2	1	1	0	0	0	4	1	0	5	1	0
gene94	KK852411.1	283905	295686	+	11782	2442	696	1377	665	704	1177	1947	1251	1038	813	482	1435
gene95	KK852411.1	297819	306691	+	8873	835	316	577	953	941	600	508	731	423	1126	528	548
gene96	KK852411.1	557555	561850	+	4296	278	146	429	91	65	460	102	22	35	82	162	95
gene97	KK852411.1	563159	565257	+	2099	1086	468	1150	487	342	1330	376	88	148	314	786	483
gene98	KK852411.1	573610	574614	+	1005	2396	236	1497	210	277	394	1892	229	1522	381	216	173
gene99	KK852411.1	582758	585682	-	2925	1223	485	738	1001	1166	844	623	838	384	703	877	563
gene100	KK852411.1	586158	597765	+	11608	1382	568	1644	305	328	1733	1051	169	360	522	1081	1119
gene101	KK852411.1	623468	631564	-	8097	7	7	9	5	6	12	4	5	3	8	7	7
gene102	KK852411.1	830276	836662	+	6387	1296	296	647	429	158	219	952	265	873	1571	112	194
gene103	KK852411.1	840454	840827	+	374	3	6	3	5	5	12	6	6	4	18	5	14
gene104	KK852411.1	841463	847602	+	6140	100	20	27	89	2227	35	64	292	75	2775	43	53
gene105	KK852411.1	851708	856181	-	4474	191	25	125	12	22	89	228	70	125	34	68	75
gene106	KK852411.1	858136	860721	-	2586	21	10	11	6	5	15	8	5	5	8	5	2
gene107	KK852411.1	876018	876533	+	516	1705	656	1029	851	1276	1045	1353	1299	524	1067	2311	1293
gene108	KK852411.1	879630	880534	-	905	875	349	524	513	688	471	687	939	430	525	614	656
gene109	KK852411.1	881147	896641	+	15495	900	265	1218	293	320	1304	509	101	371	504	537	336
gene110	KK852411.1	903375	904781	-	1407	3029	609	1762	531	749	1029	2170	877	1376	789	1082	973
gene111	KK852411.1	912519	922221	-	9703	825	414	858	1006	1087	1120	567	783	394	1462	605	601
gene112	KK852411.1	924103	932379	+	8277	2970	497	1745	788	979	936	2105	714	1662	791	651	798
gene113	KK852411.1	938588	954940	+	16353	2810	1201	2070	1515	1357	2383	1962	1422	921	1994	2316	2163
gene114	KK852411.1	957331	964544	+	7214	1932	602	1320	675	772	1184	1450	838	684	844	1266	1179
gene115	KK852411.1	965919	966166	-	248	4	1	2	2	6	0	2	0	0	3	0	1
gene116	KK852411.1	967047	981777	+	14731	2321	904	1535	1082	1476	1621	1444	845	768	1094	1047	1137
gene117	KK852411.1	995674	1002530	-	6857	1	1	0	0	0	0	0	306	0	14	317	0
gene118	KK852412.1	38145	38565	-	421	18	5	18	11	8	25	16	7	9	11	10	13
gene119	KK852412.1	85087	85646	+	560	11	6	29	6	7	26	4	0	3	8	14	4
gene120	KK852412.1	91791	92369	+	579	70	30	111	14	21	171	19	10	19	40	45	13
gene121	KK852412.1	101175	103263	+	2089	138	84	91	208	202	117	107	182	62	466	90	107
gene122	KK852412.1	111507	111926	+	420	13	8	13	17	13	14	7	9	4	21	12	11
gene123	KK852412.1	113402	113731	+	330	9	8	13	22	16	11	8	10	7	33	13	12
gene124	KK852412.1	116413	116831	-	419	95	38	75	97	115	80	63	85	40	155	108	47
gene125	KK852412.1	122127	125348	-	3222	156	60	159	165	200	202	69	96	79	172	148	102
gene126	KK852412.1	127102	127670	-	569	47	14	91	54	55	107	22	14	25	89	50	40
gene127	KK852412.1	138631	151091	+	12461	60	20	62	50	215	187	31	23	146	111	86	20
gene128	KK852412.1	153197	153880	+	684	0	0	1	3	192	86	0	0	112	91	49	0
gene129	KK852412.1	194464	194751	-	288	3	7	4	9	5	5	3	2	2	24	5	1
gene130	KK852413.1	11697	15407	+	3711	520	133	289	186	231	227	333	225	228	220	208	189
gene131	KK852413.1	18065	20296	-	2232	65	25	36	60	85	29	44	61	24	53	31	33
gene132	KK852413.1	44031	85920	+	41890	2719	970	2465	1045	1652	2254	1909	726	1040	1634	1016	1183
gene133	KK852413.1	92647	94196	-	1550	1248	537	774	841	973	755	947	1182	421	738	663	996
gene134	KK852413.1	99133	99474	-	342	1134	345	488	604	582	521	737	873	476	547	351	489
gene135	KK852413.1	99606	100652	-	1047	1313	423	727	596	682	676	925	689	510	488	499	655
gene136	KK852413.1	232151	232663	-	513	11	2	10	8	4	12	6	0	4	4	4	1
gene137	KK852413.1	252965	253474	+	510	13	3	9	3	4	6	4	4	7	4	2	3
gene138	KK852413.1	281220	283799	+	2580	151	36	188	24	22	199	41	11	51	24	58	33
gene139	KK852413.1	297425	298542	-	1118	865	277	483	543	615	476	647	807	322	676	1274	588
gene140	KK852413.1	304260	315028	+	10769	1003	100	540	187	180	247	743	179	627	288	119	187
gene141	KK852413.1	320018	323927	-	3910	733	210	482	352	394	386	518	234	315	381	167	296
gene142	KK852413.1	328361	387381	+	59021	2299	928	3559	759	1070	3870	1536	258	973	1115	1107	1021
gene143	KK852413.1	396602	405647	+	9046	1215	643	958	970	946	1565	612	621	197	1026	337	612
gene144	KK852413.1	407730	409574	-	1845	773	156	432	307	333	318	541	262	424	259	163	228
gene145	KK852413.1	410958	411381	+	424	20	1	17	2	5	9	20	2	12	8	6	7
gene146	KK852413.1	417306	441202	+	23897	942	310	682	638	597	628	613	456	374	977	405	522
gene147	KK852413.1	448137	476040	+	27904	2971	1291	2482	1590	1462	2506	1839	1158	885	1786	1656	1791
gene148	KK852413.1	501078	506613	+	5536	787	258	391	552	546	414	445	583	315	500	286	327
gene149	KK852414.1	210123	234013	-	23891	326	90	151	202	238	133	278	139	243	170	105	67
gene150	KK852415.1	3095	5558	+	2464	13	9	16	8	6	20	15	9	7	6	11	16
gene151	KK852415.1	7195	11310	-	4116	33	9	21	30	14	20	32	28	30	34	11	16
gene152	KK852415.1	13029	15000	+	1972	0	1	1	1	1	9	5	1	1	5	3	2
gene153	KK852415.1	16280	18724	-	2445	5	1	5	3	7	3	5	10	5	12	5	2
gene154	KK852415.1	20467	23626	-	3160	11	3	7	1	1	9	1	0	3	10	4	3
gene155	KK852415.1	441127	504612	+	63486	773	333	668	311	1116	758	300	116	139	181	221	236
gene156	KK852415.1	509687	515555	-	5869	1017	413	874	559	710	924	1070	765	513	845	608	1120
gene157	KK852415.1	517914	522868	-	4955	111	56	102	137	193	118	72	62	50	208	107	102
gene158	KK852415.1	535176	551776	-	16601	953	240	720	378	383	687	874	722	327	564	400	326
gene159	KK852415.1	552068	556398	-	4331	218	85	265	61	89	250	122	19	87	136	89	52
gene160	KK852415.1	563333	575564	-	12232	2776	1028	1996	1392	1488	1939	1778	895	781	1098	1229	1457
gene161	KK852415.1	574600	575106	+	507	0	0	0	0	0	0	0	0	0	0	0	0
gene162	KK852415.1	579625	591238	-	11614	2120	456	1306	700	783	1087	1616	872	947	859	781	716
gene163	KK852415.1	595248	603712	-	8465	1325	311	873	455	501	770	870	289	558	690	662	509
gene164	KK852415.1	604489	613102	+	8614	1613	440	1265	469	645	1069	1234	408	962	692	1055	694
gene165	KK852415.1	618842	642966	-	24125	205	78	197	104	91	216	218	96	69	325	274	295
gene166	KK852415.1	729870	747650	+	17781	655	192	539	218	261	492	460	144	299	357	300	266
gene167	KK852415.1	750451	750863	+	413	156	46	72	147	173	92	105	216	64	237	121	113
gene168	KK852415.1	752394	756768	+	4375	1735	587	920	866	898	955	1339	1237	757	982	1470	1181
gene169	KK852415.1	757061	758798	-	1738	1647	521	811	1174	1297	802	1329	1861	902	1363	1096	1053
gene170	KK852415.1	763906	791710	+	27805	3515	874	2484	1134	1309	1935	2435	634	2040	1973	975	911
gene171	KK852415.1	796912	798410	-	1499	80	19	61	41	27	38	87	33	48	86	25	26
gene172	KK852415.1	799251	801449	-	2199	227	46	143	75	68	98	237	144	150	200	52	66
gene173	KK852415.1	823879	826739	+	2861	53	17	48	30	25	36	32	23	26	27	16	21
gene174	KK852415.1	829492	843388	+	13897	2351	659	1879	834	1071	1686	1437	441	909	731	809	831
gene175	KK852415.1	849654	857457	-	7804	2842	1163	1636	1680	2123	1664	1439	1379	738	1165	1053	1259
gene176	KK852415.1	865021	880899	+	15879	1808	733	1324	1193	1252	1414	1202	1014	643	1732	1060	1059
gene177	KK852415.1	882230	883879	-	1650	5361	1662	3204	1687	2629	2784	4406	2497	2088	2124	3392	3225
gene178	KK852415.1	884965	897909	+	12945	1013	436	1485	322	389	1577	601	142	330	527	644	563
gene179	KK852415.1	912979	923123	+	10145	499	130	1303	107	177	1493	343	75	328	367	162	118
gene180	KK852415.1	935608	941296	+	5689	3543	1167	2072	2080	1629	1908	1870	1526	1418	1299	1223	1429
gene181	KK852415.1	959037	1064405	+	105369	53576	27103	67631	35374	41515	72076	18469	12731	9734	17901	26168	21039
gene182	KK852415.1	1065632	1066106	-	475	37	7	15	35	37	21	9	18	6	36	13	11
gene183	KK852415.1	1068860	1077161	-	8302	1783	797	965	916	583	1965	869	1385	569	365	227	944
gene184	KK852415.1	1078891	1087398	-	8508	898	444	814	316	296	797	2113	2391	348	1125	403	2278
gene185	KK852415.1	1092586	1095498	-	2913	133	8	46	16	12	25	93	17	57	3	17	28
gene186	KK852415.1	1102923	1107889	-	4967	151	80	100	42	48	155	119	35	46	124	60	110
gene187	KK852415.1	1113225	1122664	-	9440	2025	975	1276	1623	1697	1287	708	1352	331	1316	160	835
gene188	KK852415.1	1133503	1142445	-	8943	908	412	555	607	853	467	1912	5127	878	5956	309	3729
gene189	KK852415.1	1144694	1151772	-	7079	6672	3601	5332	2209	3329	6154	10439	15292	2300	8476	744	15729
gene190	KK852415.1	1154562	1158122	-	3561	9123	6303	5921	11155	10483	7511	5504	9928	5819	9240	4627	6392
gene191	KK852415.1	1158455	1161518	-	3064	149	86	144	106	66	168	235	240	72	351	54	301
gene192	KK852415.1	1163190	1181405	-	18216	2252	1002	1827	1488	1498	2222	2012	2906	835	4067	1645	2927
gene193	KK852415.1	1194161	1197739	-	3579	4	1	3	5	22	5	4	2777	4	227	240	3
gene194	KK852415.1	1200802	1216808	+	16007	968	202	628	264	200	314	306	191	287	386	283	160
gene195	KK852415.1	1216912	1217601	+	690	202	22	101	109	68	56	74	92	80	155	126	42
gene196	KK852415.1	1219744	1235193	+	15450	3619	1213	2424	1675	2025	2427	2720	1948	1730	2198	3730	2115
gene197	KK852415.1	1240368	1240787	+	420	654	161	279	310	503	300	384	385	254	246	250	264
gene198	KK852415.1	1261010	1283385	+	22376	524	255	1084	179	165	1371	426	71	177	448	236	459
gene199	KK852415.1	1285700	1286647	-	948	557	279	552	237	248	677	405	120	161	397	261	510
gene200	KK852415.1	1293937	1311430	-	17494	403	224	599	410	392	793	379	313	297	1554	485	563
gene201	KK852415.1	1350854	1351558	-	705	3	0	0	0	0	1	0	0	1	0	2	0
gene202	KK852415.1	1356156	1358993	-	2838	0	0	0	0	0	0	1	0	0	0	0	1
gene203	KK852415.1	1365695	1368715	-	3021	10	0	4	0	1	0	2	1	1	1	1	0
gene204	KK852415.1	1376082	1376636	+	555	1	3	0	2	1	0	1	1	2	7	14	5
gene205	KK852415.1	1382513	1396903	-	14391	1220	661	749	700	346	1075	877	704	469	706	2340	940
gene206	KK852415.1	1427555	1434548	-	6994	726	416	497	732	650	635	733	719	244	847	964	797
gene207	KK852415.1	1436236	1439732	+	3497	2707	722	1888	691	906	1360	1753	675	1168	734	715	909
gene208	KK852415.1	1449237	1491073	-	41837	48	24	134	49	46	232	36	10	34	98	41	59
gene209	KK852415.1	1507174	1514275	+	7102	1674	382	994	542	635	680	1264	351	809	824	530	462
gene210	KK852415.1	1507584	1507790	-	207	0	0	0	0	0	0	0	0	0	0	0	0
gene211	KK852415.1	1517915	1519396	-	1482	32	9	21	37	56	27	28	51	36	69	35	21
gene212	KK852415.1	1519712	1521983	-	2272	46	19	15	45	41	29	23	37	24	93	34	28
gene213	KK852415.1	1529273	1620332	+	91060	5648	2475	5169	4175	3095	6619	2337	668	1192	1340	892	2000
gene214	KK852415.1	1588827	1589222	-	396	0	0	0	0	0	0	0	0	0	0	0	0
gene215	KK852415.1	1592114	1592473	-	360	0	0	0	0	0	0	0	0	0	0	0	0
gene216	KK852415.1	1624898	1638476	+	13579	2117	522	1226	798	1091	806	1583	1154	958	1280	890	1011
gene217	KK852416.1	11493	13535	+	2043	0	0	0	2	0	2	3	1	4	12	0	0
gene218	KK852416.1	25380	39998	+	14619	187	16	99	38	19	43	81	27	83	95	9	19
gene219	KK852416.1	64026	64686	+	661	0	0	0	0	0	0	0	0	1	2	0	0
gene220	KK852416.1	69638	70366	-	729	0	0	0	0	0	0	0	0	0	0	0	0
gene221	KK852417.1	5874	8554	-	2681	12973	1745	7117	1753	1794	2344	10987	4907	8090	2995	880	3531
gene222	KK852417.1	15427	21168	-	5742	1496	835	1590	1332	796	1649	826	892	348	2231	202	1090
gene223	KK852417.1	36996	53689	-	16694	936	198	501	392	365	399	545	302	373	508	164	242
gene224	KK852417.1	233384	233575	+	192	1	1	0	0	0	0	0	4	0	2	0	3
gene225	KK852417.1	266973	267530	-	558	63	12	63	12	21	51	30	2	22	15	10	14
gene226	KK852417.1	281724	283672	-	1949	1501	1170	801	158	269	799	1013	218	228	415	404	754
gene227	KK852417.1	489775	491748	-	1974	1271	436	958	468	647	1049	777	212	335	463	555	630
gene228	KK852417.1	495254	499459	-	4206	43	24	93	9	14	92	46	6	20	43	35	33
gene229	KK852417.1	513386	522404	-	9019	1208	203	1169	310	281	842	865	120	595	547	279	274
gene230	KK852417.1	560741	562792	+	2052	1295	522	828	753	1099	786	910	837	475	612	916	983
gene231	KK852417.1	570001	581828	-	11828	1008	300	1024	136	119	947	751	224	357	272	588	814
gene232	KK852417.1	586396	587514	+	1119	28	10	13	29	33	17	15	37	15	45	10	14
gene233	KK852417.1	588874	595158	-	6285	1623	287	948	424	624	512	1108	413	851	691	330	416
gene234	KK852417.1	597354	608777	-	11424	1328	230	707	487	654	517	880	398	671	711	276	425
gene235	KK852417.1	640256	657980	+	17725	200	87	160	162	320	196	105	84	57	61	162	82
gene236	KK852417.1	674139	720082	-	45944	2990	1187	3803	1444	2020	4497	1293	304	828	1103	1247	1112
gene237	KK852417.1	779973	784398	-	4426	64	42	72	120	94	93	39	105	56	168	177	43
gene238	KK852417.1	789007	793224	-	4218	1564	572	1157	783	534	1153	1206	874	761	1491	339	948
gene239	KK852417.1	805639	810271	-	4633	349	78	279	86	104	271	181	32	91	79	95	85
gene240	KK852417.1	835981	837802	-	1822	49	21	66	8	13	76	32	11	15	10	50	33
gene241	KK852417.1	1142607	1147803	+	5197	1056	298	751	474	528	738	648	310	414	366	533	497
gene242	KK852417.1	1154461	1166333	-	11873	19916	10221	21851	12039	13791	23787	11825	4689	3687	5058	4417	12356
gene243	KK852417.1	1217361	1224389	-	7029	23353	13022	13414	22774	24319	15656	21464	28492	11035	23283	5802	21892
gene244	KK852417.1	1232989	1234914	+	1926	13	4	17	15	2	18	3	4	0	3	1	3
gene245	KK852417.1	1235180	1235329	+	150	0	0	2	3	1	1	0	1	1	1	0	1
gene246	KK852417.1	1244248	1266674	-	22427	185	66	166	63	71	171	137	74	84	135	44	145
gene247	KK852417.1	1279500	1285890	+	6391	124	36	74	99	41	69	47	22	33	219	16	12
gene248	KK852417.1	1290505	1294998	+	4494	7	0	9	5	4	3	4	5	9	13	741	3
gene249	KK852417.1	1297392	1303560	+	6169	1504	755	852	715	577	1318	2145	2744	787	1186	122	1950
gene250	KK852417.1	1306787	1314566	+	7780	1836	1003	1328	1464	1454	2688	2302	2714	907	1646	988	2714
gene251	KK852417.1	1312007	1312584	-	578	0	0	0	0	0	0	0	0	0	0	0	0
gene252	KK852418.1	114	2380	+	2267	13	42	13	54	71	29	4	0	18	216	75	39
gene253	KK852418.1	15360	28236	-	12877	208	50	247	68	68	267	157	94	137	131	81	81
gene254	KK852419.1	208209	208442	+	234	15	7	9	5	4	10	12	2	7	4	0	5
gene255	KK852420.1	10873	15541	+	4669	209	19	129	23	42	61	96	20	109	101	15	18
gene256	KK852420.1	19996	20916	-	921	474	115	240	229	275	167	355	294	218	246	200	148
gene257	KK852420.1	28865	29344	+	480	522	339	277	780	468	297	272	294	136	354	156	162
gene258	KK852420.1	37417	47449	+	10033	32	27	24	34	34	26	17	15	11	80	11	12
gene259	KK852420.1	54628	58230	+	3603	347	121	227	293	279	290	240	304	160	355	290	194
gene260	KK852420.1	67088	73729	+	6642	90	26	55	44	72	46	39	50	25	63	69	61
gene261	KK852420.1	155636	159279	-	3644	0	0	1	1	3	2	0	1	0	0	1	0
gene262	KK852421.1	1900	3539	-	1640	102	0	103	2	1	2	109	8	63	1	9438	1
