# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/Ceratina_calcarata_genome_MIN500/GCF_001652005.1_ASM165200v1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR6819907_dupsRemoved.bam" "SRR6819908_dupsRemoved.bam" "SRR6819909_dupsRemoved.bam" "SRR6819910_dupsRemoved.bam" "SRR6819911_dupsRemoved.bam" "SRR6819912_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR6819907_dupsRemoved.bam	SRR6819908_dupsRemoved.bam	SRR6819909_dupsRemoved.bam	SRR6819910_dupsRemoved.bam	SRR6819911_dupsRemoved.bam	SRR6819912_dupsRemoved.bam
gene-LOC108632105	NW_017131077.1	17740	19693	+	1954	3775	3278	3780	3994	4197	4684
gene-LOC108632120	NW_017131077.1	23567	236723	-	213157	8300	7399	7346	12897	11759	7534
gene-LOC113465196	NW_017131080.1	195	512	-	318	57	81	75	61	59	95
gene-LOC108632158	NW_017131107.1	1	424	+	424	52	11	22	33	42	43
gene-LOC108632162	NW_017131111.1	13224	16715	+	3492	0	1	1	2	1	2
gene-LOC108632165	NW_017131111.1	17158	18258	+	1101	3	1	1	1	1	3
gene-LOC108632173	NW_017131121.1	58	514	+	457	395	298	445	369	356	495
gene-LOC113465199	NW_017131165.1	59	506	+	448	0	1	28	2	2	6
gene-LOC108632187	NW_017131185.1	1697	4872	+	3176	180	140	178	150	169	93
gene-LOC108632215	NW_017131216.1	13618	15379	-	1762	538	340	371	476	501	449
gene-LOC108632226	NW_017131223.1	19	515	+	497	441	376	436	303	342	443
gene-LOC108632251	NW_017131278.1	9298	13197	-	3900	7	3	3	4	1	3
gene-LOC108632271	NW_017131289.1	9201	17277	-	8077	379	263	374	240	228	224
gene-LOC108632281	NW_017131289.1	17638	19020	-	1383	311	283	345	346	303	381
gene-LOC108632296	NW_017131318.1	7391	8041	+	651	3	2	7	5	2	10
gene-LOC113465206	NW_017131359.1	572	4556	+	3985	0	0	1	6	1	4
gene-LOC108632299	NW_017131370.1	8762	11176	+	2415	1416	962	1264	831	1390	1299
gene-LOC108632304	NW_017131390.1	7	2044	+	2038	721	524	747	631	598	681
gene-LOC108632311	NW_017131391.1	4	2574	+	2571	481	379	480	406	431	481
gene-LOC113465210	NW_017131401.1	4639	6149	+	1511	11	24	6	12	16	16
gene-LOC108632327	NW_017131438.1	5	502	+	498	216	205	237	228	233	287
gene-LOC113465213	NW_017131443.1	1231	4345	-	3115	12	5	10	5	7	3
gene-LOC113465214	NW_017131443.1	6368	6843	-	476	5	6	3	1	0	0
gene-LOC113465219	NW_017131444.1	7	507	+	501	1	19	11	2	3	9
gene-LOC113465222	NW_017131474.1	4	493	+	490	15	25	1	17	21	6
gene-LOC108632335	NW_017131496.1	608	22777	-	22170	686	423	567	445	575	229
gene-LOC108632348	NW_017131496.1	58192	295833	+	237642	2451	2305	2271	3086	3421	2905
gene-LOC113465225	NW_017131496.1	295233	316162	-	20930	93	93	154	90	92	47
gene-LOC108632342	NW_017131496.1	302214	316625	+	14412	62	50	84	65	52	71
gene-LOC108632355	NW_017131496.1	316614	317757	-	1144	1202	1021	1359	943	1024	1392
gene-LOC113465227	NW_017131497.1	6938	8701	+	1764	329	297	293	203	221	1178
gene-LOC113465226	NW_017131497.1	28930	29765	-	836	6	7	3	3	0	8
gene-Trnav-cac	NW_017131497.1	31413	31485	-	73	0	0	0	0	0	0
gene-LOC108632371	NW_017131497.1	31856	35598	-	3743	1544	1513	1613	1708	1645	1853
gene-LOC108632387	NW_017131497.1	35710	39193	+	3484	3121	3022	3123	3457	3443	4068
gene-LOC108632378	NW_017131497.1	39626	43117	-	3492	4316	4335	4266	7593	7212	7018
gene-LOC108632395	NW_017131499.1	4	249	+	246	206	207	434	225	197	201
gene-LOC108632413	NW_017131518.1	7	17512	+	17506	161	155	160	237	274	136
gene-LOC113465229	NW_017131558.1	25	985	+	961	6	12	8	2	0	2
gene-LOC108632419	NW_017131558.1	2368	6785	+	4418	186	139	146	81	284	65
gene-LOC108632425	NW_017131558.1	7474	8997	+	1524	1133	1198	1204	1447	886	1122
gene-LOC113465230	NW_017131588.1	7	490	+	484	5	7	0	2	20	1
gene-LOC108632432	NW_017131600.1	84079	86123	+	2045	2	1	0	1	0	0
gene-LOC108632500	NW_017131600.1	120106	402517	+	282412	792	692	973	847	874	729
gene-LOC108632484	NW_017131600.1	405688	407579	-	1892	519	525	569	420	420	559
gene-LOC108632476	NW_017131600.1	409726	442017	+	32292	1534	1244	1768	1575	1605	1495
gene-LOC108632470	NW_017131600.1	412871	426878	-	14008	0	0	0	0	0	0
gene-LOC108632439	NW_017131600.1	443108	445356	-	2249	1477	1227	1197	1394	1392	1753
gene-LOC108632492	NW_017131600.1	448214	470433	+	22220	5318	3651	4449	2163	2098	1681
gene-LOC108632465	NW_017131600.1	471322	473538	-	2217	2624	2563	2786	2951	2762	3189
gene-LOC108632506	NW_017131601.1	3266	4407	-	1142	11091	19731	19152	1507	2112	3276
gene-LOC108632515	NW_017131607.1	44	466	-	423	138	125	163	181	171	196
gene-LOC108632524	NW_017131612.1	90	6827	+	6738	1709	1438	1873	1660	1475	1741
gene-LOC108632534	NW_017131612.1	6818	7885	-	1068	71	79	100	61	52	65
gene-LOC108632543	NW_017131634.1	4464	5442	+	979	41	17	22	58	39	30
gene-LOC113465246	NW_017131640.1	7	499	+	493	46	36	41	52	49	46
gene-LOC108632550	NW_017131654.1	1899	4736	-	2838	10	8	8	7	6	15
gene-LOC108632561	NW_017131654.1	5433	7202	-	1770	149	119	134	144	180	180
gene-LOC108632571	NW_017131666.1	17	496	+	480	300	184	302	165	178	158
gene-LOC113465253	NW_017131705.1	9	392	-	384	0	0	0	0	0	0
gene-LOC113465254	NW_017131707.1	1	500	-	500	0	0	0	0	0	0
gene-LOC113465257	NW_017131791.1	7	474	+	468	0	0	0	0	0	0
gene-LOC113465259	NW_017131806.1	69	498	-	430	0	0	0	0	0	0
gene-LOC108632585	NW_017131809.1	7	5638	+	5632	1693	1591	2277	2262	2102	2379
gene-LOC113465262	NW_017131809.1	2155	2968	+	814	0	0	0	0	0	0
gene-LOC108632592	NW_017131809.1	7077	7592	+	516	245	203	301	332	271	317
gene-LOC113465269	NW_017131840.1	5817	5903	-	87	2	0	0	0	1	0
gene-LOC108632623	NW_017131860.1	612	2100	-	1489	66	5	182	184	6	77
gene-LOC108632630	NW_017131860.1	6976	8529	-	1554	1	0	2	0	1	0
gene-LOC108632659	NW_017131870.1	6323	7474	-	1152	0	0	0	0	0	1
gene-LOC108632685	NW_017131892.1	734	12556	-	11823	4741	4496	5400	3113	6553	4456
gene-LOC108632680	NW_017131892.1	3847	8402	+	4556	0	0	0	0	0	0
gene-LOC108632671	NW_017131892.1	13321	14145	+	825	0	0	0	1	1	0
gene-LOC108632702	NW_017131903.1	1714	2413	+	700	4	1	4	8	5	1
gene-LOC108632732	NW_017131914.1	2946	8144	+	5199	2607	2171	3306	1345	1322	1401
gene-LOC108632725	NW_017131914.1	8750	16405	-	7656	3431	3007	3365	3057	3412	2681
gene-LOC108632754	NW_017131914.1	16008	18801	+	2794	3910	3511	3789	3520	3336	4225
gene-LOC108632750	NW_017131914.1	19045	20881	+	1837	615	450	560	313	346	315
gene-LOC108632739	NW_017131914.1	20860	29989	-	9130	4550	4201	5003	3967	3991	4720
gene-LOC108632709	NW_017131914.1	25156	28142	+	2987	0	0	0	0	0	0
gene-LOC108632833	NW_017131914.1	30145	36472	+	6328	3666	3397	3571	3765	3952	3212
gene-LOC108632785	NW_017131914.1	40671	63838	+	23168	11129	10078	10171	14676	12940	11979
gene-LOC108632777	NW_017131914.1	63438	69440	-	6003	3891	3358	3823	3602	3760	3387
gene-LOC113463835	NW_017131914.1	72075	75997	-	3923	941	1065	1019	1442	1149	1196
gene-LOC108632798	NW_017131914.1	85060	121529	-	36470	1070	925	1072	1835	1441	588
gene-LOC108632877	NW_017131915.1	9427	120127	+	110701	56707	47908	55020	52658	39160	32194
gene-LOC113463865	NW_017131915.1	49393	53090	-	3698	0	0	0	0	0	0
gene-LOC108633156	NW_017131915.1	122294	132017	+	9724	15674	14387	15341	14557	15037	14604
gene-LOC108621943	NW_017131915.1	132014	135604	-	3591	4364	3907	4498	4761	4448	4999
gene-LOC108622020	NW_017131915.1	136345	151701	-	15357	4956	5175	6661	4532	4498	4443
gene-LOC108622033	NW_017131915.1	138770	140933	+	2164	0	0	0	0	0	0
gene-LOC108632844	NW_017131915.1	155659	157756	+	2098	62	59	45	7445	164	702
gene-LOC108632853	NW_017131915.1	158743	165279	+	6537	262	215	282	191	189	215
gene-LOC108632862	NW_017131915.1	165264	170707	-	5444	1544	663	1384	630	736	2343
gene-LOC113463863	NW_017131915.1	171416	176160	-	4745	11	9	9	5	2	7
gene-LOC108632902	NW_017131915.1	180353	204517	-	24165	1875	1353	2231	1182	1243	947
gene-LOC108633149	NW_017131915.1	209763	212164	-	2402	854	762	925	635	610	784
gene-LOC108633116	NW_017131915.1	212113	215735	+	3623	5314	4845	6030	2314	2567	2779
gene-LOC113463875	NW_017131915.1	213736	214456	-	721	0	0	0	0	0	0
gene-LOC113463874	NW_017131915.1	217656	218865	-	1210	71	80	88	71	66	56
gene-LOC108633094	NW_017131915.1	218872	226664	+	7793	15323	15114	15337	6646	7800	8200
gene-LOC113463876	NW_017131915.1	226487	226971	-	485	167	129	184	104	103	130
gene-LOC108633082	NW_017131915.1	226994	231229	+	4236	2817	2355	2653	2223	2132	2318
gene-LOC108622004	NW_017131915.1	232268	236244	+	3977	2398	2034	2305	1573	1589	1819
gene-LOC108621993	NW_017131915.1	236041	241333	-	5293	4041	4105	4443	4073	3615	3849
gene-LOC108632890	NW_017131915.1	241749	244081	+	2333	3175	2784	3037	2676	2743	3481
gene-LOC108632883	NW_017131915.1	244188	247074	-	2887	364	314	403	164	274	261
gene-LOC108633026	NW_017131915.1	247183	251578	-	4396	5608	4733	5379	5259	5777	5931
gene-LOC108633015	NW_017131915.1	251579	254975	+	3397	4344	3673	4095	3611	3763	4165
gene-LOC108632967	NW_017131915.1	254887	259060	-	4174	2426	1983	2387	2018	2022	2139
gene-LOC108632914	NW_017131915.1	259138	271734	+	12597	12368	10511	11519	12409	12986	8057
gene-LOC108633008	NW_017131915.1	271842	278275	+	6434	4443	3772	4434	3285	3714	4099
gene-LOC108633075	NW_017131915.1	278444	284156	-	5713	5841	4690	5482	4534	4634	4167
gene-LOC108633038	NW_017131915.1	284254	289864	+	5611	2865	2454	2816	2043	2180	2497
gene-LOC108633019	NW_017131915.1	284580	287198	+	2619	0	0	0	0	0	0
gene-LOC108633055	NW_017131915.1	289793	292107	-	2315	6878	7008	6843	5103	5690	6404
gene-LOC108632927	NW_017131915.1	292180	300838	+	8659	3883	3070	3451	3052	3495	2689
gene-LOC108633066	NW_017131915.1	300789	302121	-	1333	2648	2353	2545	1747	1895	2105
gene-LOC108632941	NW_017131915.1	302293	311159	+	8867	6400	4960	5741	4251	4155	4162
gene-LOC108621983	NW_017131915.1	354221	402562	-	48342	6591	5710	6461	5389	6148	5780
gene-LOC108621977	NW_017131915.1	403644	408529	+	4886	8	8	6	11	13	15
gene-LOC108621953	NW_017131915.1	406307	495094	-	88788	3038	3126	3431	3782	4162	3404
gene-LOC108622038	NW_017131916.1	396	2861	-	2466	45	46	43	28	60	25
gene-LOC108622042	NW_017131916.1	2949	5394	-	2446	91	62	111	85	103	75
gene-LOC113463925	NW_017131916.1	9578	9960	-	383	6	7	7	5	6	8
gene-LOC108622056	NW_017131936.1	6286	9577	+	3292	1	0	1	0	0	0
gene-LOC108622066	NW_017131936.1	9584	11601	+	2018	0	0	1	0	0	0
gene-LOC113463941	NW_017131977.1	5904	6824	+	921	1	4	2	3	2	1
gene-LOC108622434	NW_017132019.1	1942	11738	+	9797	5966	4996	5504	4750	4825	4414
gene-LOC108622449	NW_017132019.1	11810	15324	-	3515	63	54	83	40	46	77
gene-LOC113463965	NW_017132019.1	15695	16463	+	769	2	2	1	3	0	3
gene-LOC108622169	NW_017132019.1	16466	23202	+	6737	532	455	443	172	198	273
gene-LOC113463952	NW_017132019.1	50687	54103	+	3417	135	160	226	53	61	86
gene-LOC108622104	NW_017132019.1	92864	93411	+	548	0	0	0	0	0	0
gene-Trnam-cau	NW_017132019.1	97125	97196	-	72	0	0	0	0	0	0
gene-LOC108622359	NW_017132019.1	111814	253891	+	142078	13115	10146	14876	10263	10558	9401
gene-LOC113463994	NW_017132019.1	227116	229870	-	2755	0	0	0	0	0	0
gene-LOC113463991	NW_017132019.1	240650	246563	+	5914	0	0	0	0	0	0
gene-LOC108622110	NW_017132019.1	262122	267251	+	5130	3115	2635	3398	2515	2023	1972
gene-LOC108622419	NW_017132019.1	269345	271125	-	1781	176	173	211	196	123	196
gene-LOC108622381	NW_017132019.1	271720	274154	+	2435	1260	1011	1204	1224	1212	1318
gene-LOC108622425	NW_017132019.1	274293	275692	+	1400	1536	1318	1628	1211	1239	1519
gene-LOC108622394	NW_017132019.1	275767	277786	-	2020	89	109	90	222	180	193
gene-LOC113463947	NW_017132019.1	277872	279661	-	1790	280	208	283	474	340	372
gene-LOC108622375	NW_017132019.1	279662	282131	+	2470	506	458	610	868	744	899
gene-LOC113463986	NW_017132019.1	282123	284679	-	2557	15	9	14	27	24	48
gene-LOC108622232	NW_017132019.1	289268	294042	+	4775	1941	1740	1767	1776	1827	1998
gene-LOC108622211	NW_017132019.1	294100	311330	-	17231	16698	12028	16189	13663	16184	12980
gene-LOC108622245	NW_017132019.1	313293	327699	-	14407	79	61	77	81	110	130
gene-LOC108622250	NW_017132019.1	345507	368772	+	23266	73	64	47	63	56	77
gene-LOC108622300	NW_017132019.1	383678	396756	-	13079	10	17	16	16	12	18
gene-LOC108622256	NW_017132019.1	411876	443231	+	31356	7933	7476	6883	13051	11148	8921
gene-LOC108622293	NW_017132019.1	444894	449197	-	4304	89	97	69	141	259	147
gene-LOC108622481	NW_017132019.1	452843	477657	-	24815	1589	1266	1893	1149	1762	1415
gene-LOC108622488	NW_017132019.1	491416	504055	-	12640	9	8	3	4	11	9
gene-LOC108622186	NW_017132019.1	509079	520052	-	10974	432	517	436	1349	1118	1078
gene-LOC108622534	NW_017132019.1	524497	546669	+	22173	4072	2982	3414	3112	3146	3391
gene-LOC108622135	NW_017132019.1	547222	550137	-	2916	4690	4097	4592	4052	3924	4967
gene-LOC108622160	NW_017132019.1	552434	554807	+	2374	10237	12542	10210	9381	9499	11642
