# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/chimp_genome/Pan_troglodytes.Pan_tro_3.0.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "chimp4x0516_heart_rna_dupsRemoved.bam" "chimp4x0516_kidney_rna_dupsRemoved.bam" "chimp4x0516_liver_rna_dupsRemoved.bam" "chimp4x0516_lung_rna_dupsRemoved.bam" "chimp4x0519_heart_rna_dupsRemoved.bam" "chimp4x0519_kidney_rna_dupsRemoved.bam" "chimp4x0519_liver_rna_dupsRemoved.bam" "chimp4x0519_lung_rna_dupsRemoved.bam" "chimpYN07-147_heart_rna_dupsRemoved.bam" "chimpYN07-147_kidney_rna_dupsRemoved.bam" "chimpYN07-147_liver_rna_dupsRemoved.bam" "chimpYN07-147_lung_rna_dupsRemoved.bam" "chimpYN07-387_heart_rna_dupsRemoved.bam" "chimpYN07-387_kidney_rna_dupsRemoved.bam" "chimpYN07-387_liver_rna_dupsRemoved.bam" "chimpYN07-387_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	chimp4x0516_heart_rna_dupsRemoved.bam	chimp4x0516_kidney_rna_dupsRemoved.bam	chimp4x0516_liver_rna_dupsRemoved.bam	chimp4x0516_lung_rna_dupsRemoved.bam	chimp4x0519_heart_rna_dupsRemoved.bam	chimp4x0519_kidney_rna_dupsRemoved.bam	chimp4x0519_liver_rna_dupsRemoved.bam	chimp4x0519_lung_rna_dupsRemoved.bam	chimpYN07-147_heart_rna_dupsRemoved.bam	chimpYN07-147_kidney_rna_dupsRemoved.bam	chimpYN07-147_liver_rna_dupsRemoved.bam	chimpYN07-147_lung_rna_dupsRemoved.bam	chimpYN07-387_heart_rna_dupsRemoved.bam	chimpYN07-387_kidney_rna_dupsRemoved.bam	chimpYN07-387_liver_rna_dupsRemoved.bam	chimpYN07-387_lung_rna_dupsRemoved.bam
gene:ENSPTRG00000042781	1	417286	418275	+	990	45	54	37	29	34	40	15	13	38	14	18	42	18	28	44	72
gene:ENSPTRG00000046221	1	426420	432644	-	6225	115	550	96	336	48	727	25	84	107	366	32	73	30	431	53	141
gene:ENSPTRG00000051432	1	437964	457999	-	20036	853	1557	672	1396	898	1620	888	1244	1060	1118	733	1698	530	1304	994	1476
gene:ENSPTRG00000050959	1	438104	438475	-	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000000017	1	465081	474995	+	9915	11	53	3	9	5	72	4	6	9	14	10	6	2	25	6	4
gene:ENSPTRG00000024081	1	476945	492402	-	15458	915	1523	766	1510	1271	1824	949	1463	1632	1200	940	2319	890	1593	1273	2050
gene:ENSPTRG00000000021	1	492706	496231	+	3526	112	153	108	131	85	129	65	142	85	76	59	128	62	102	114	182
gene:ENSPTRG00000051102	1	496163	509895	-	13733	2159	2476	1076	2285	1830	2487	1218	2232	2128	1861	1150	2553	1700	2141	1433	2732
gene:ENSPTRG00000046367	1	510372	514109	+	3738	1099	917	369	601	760	806	372	520	1015	453	526	485	914	631	698	695
gene:ENSPTRG00000000024	1	516584	521012	+	4429	369	289	144	314	318	375	152	311	338	219	175	277	282	254	139	360
gene:ENSPTRG00000000025	1	521027	534458	-	13432	1135	1525	806	1547	1169	1542	793	1156	1456	951	767	1523	1212	1342	1065	1861
gene:ENSPTRG00000045448	1	537216	545832	-	8617	594	918	192	832	1005	875	329	1374	1391	818	200	1577	624	886	240	1520
gene:ENSPTRG00000000027	1	567937	569978	-	2042	817	836	580	605	645	864	481	573	761	667	653	466	742	793	647	645
gene:ENSPTRG00000000028	1	580586	593692	-	13107	3129	4640	2933	5635	2709	4357	3028	3623	3331	3705	2698	4943	2185	4114	3101	4808
gene:ENSPTRG00000044477	1	595466	595813	+	348	31	67	29	47	39	95	47	79	64	77	51	66	29	81	61	99
gene:ENSPTRG00000000029	1	596040	601441	-	5402	1038	1472	800	1566	1010	1687	879	1077	1092	1246	917	1491	724	1326	965	1589
gene:ENSPTRG00000051520	1	612977	614974	-	1998	8	14	0	64	4	12	7	41	9	5	4	26	5	12	1	89
gene:ENSPTRG00000047774	1	620091	622608	+	2518	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1
gene:ENSPTRG00000049572	1	630453	637801	+	7349	246	741	82	668	478	1218	200	1215	589	1127	154	640	276	834	133	1353
gene:ENSPTRG00000000033	1	647192	657685	+	10494	57	103	53	96	62	97	57	72	66	56	60	156	45	99	73	127
gene:ENSPTRG00000000031	1	677495	692630	+	15136	155	313	177	280	347	667	309	587	447	490	320	851	236	574	348	732
gene:ENSPTRG00000044190	1	709011	728902	+	19892	553	863	529	838	511	888	448	672	645	524	573	1057	434	742	742	905
gene:ENSPTRG00000046881	1	728993	734862	-	5870	105	24	1	18	39	16	5	28	70	17	5	33	50	34	2	47
gene:ENSPTRG00000000034	1	736282	790287	-	54006	1209	1862	1147	2132	833	1577	879	1193	893	1127	897	1468	706	1223	1037	1529
gene:ENSPTRG00000041651	1	809317	809997	+	681	4	7	0	0	4	3	0	1	17	10	2	4	4	8	2	8
gene:ENSPTRG00000047681	1	826526	841699	+	15174	1806	1780	553	1831	1909	2274	956	2027	2565	1546	1158	3114	1829	2142	1580	3489
gene:ENSPTRG00000000035	1	842814	845848	+	3035	168	152	17	261	271	95	64	586	410	56	34	428	270	69	19	500
gene:ENSPTRG00000045688	1	846381	870947	-	24567	2013	2134	1227	2734	1541	1794	1085	1982	1733	1307	960	2582	1254	1466	1273	2300
gene:ENSPTRG00000000037	1	870883	890600	-	19718	875	2683	901	2204	875	2196	1159	1156	1279	1685	979	2080	578	1787	1202	1852
gene:ENSPTRG00000000038	1	909581	933079	-	23499	1278	2781	3344	3209	1143	2148	1995	1988	926	1539	2741	2757	593	1875	3525	3241
gene:ENSPTRG00000048657	1	937736	985434	-	47699	2880	3738	2007	3662	3026	3700	2706	3807	3346	3605	1904	5583	2496	3221	2269	4171
gene:ENSPTRG00000000040	1	1067568	1071336	+	3769	4	7	3	11	4	5	3	12	7	4	4	5	1	15	6	9
gene:ENSPTRG00000000041	1	1071548	1073239	-	1692	6	34	40	20	3	37	13	25	5	17	13	10	7	27	23	17
gene:ENSPTRG00000044755	1	1076225	1147364	-	71140	9	79	12	264	19	25	19	116	17	15	31	212	11	18	22	57
gene:ENSPTRG00000023374	1	1178232	1187822	+	9591	2	2	0	6	9	1	1	34	4	3	0	4	4	1	1	8
gene:ENSPTRG00000049601	1	1210404	1216311	+	5908	27	63	12	187	16	71	30	53	22	53	36	84	10	53	35	143
gene:ENSPTRG00000046709	1	1298435	1360682	+	62248	540	1248	172	3355	262	1205	336	940	283	695	422	1296	220	945	462	2348
gene:ENSPTRG00000000044	1	1360134	1370460	-	10327	496	1517	447	1268	520	1475	430	1091	750	879	603	994	367	996	505	1101
gene:ENSPTRG00000000047	1	1405573	1504427	+	98855	464	930	264	746	437	522	289	640	613	377	268	1641	383	577	635	1286
gene:ENSPTRG00000000048	1	1518905	1603408	-	84504	119	1439	112	1102	115	1487	443	322	102	749	187	364	121	1171	207	396
gene:ENSPTRG00000000049	1	1604373	1617619	+	13247	1850	2926	1541	2627	1564	2570	1828	1970	1765	2155	1819	2532	1217	2311	2025	2535
gene:ENSPTRG00000000050	1	1617006	1624787	-	7782	225	405	173	253	194	447	169	205	288	325	204	256	193	342	201	298
gene:ENSPTRG00000000051	1	1681607	1719208	+	37602	17	756	27	156	26	1066	47	89	19	328	38	203	8	488	62	316
gene:ENSPTRG00000000052	1	1722784	1741103	-	18320	453	575	266	446	626	740	302	539	605	406	262	690	485	590	405	661
gene:ENSPTRG00000024233	1	1743204	1744717	-	1514	0	0	0	3	2	0	0	11	5	1	6	16	4	1	0	1
gene:ENSPTRG00000000053	1	1772435	1779888	+	7454	560	1322	961	1568	718	915	973	1749	623	653	1385	1965	327	692	1514	1773
gene:ENSPTRG00000000054	1	1803362	1809383	+	6022	213	707	175	369	185	354	111	346	269	343	155	775	128	332	225	617
gene:ENSPTRG00000000055	1	1807239	1849396	-	42158	31	32	3	47	21	168	9	138	29	36	19	175	16	18	7	189
gene:ENSPTRG00000033888	1	1874015	1908955	-	34941	18	65	8	209	8	40	9	47	14	16	23	109	13	31	9	24
gene:ENSPTRG00000000057	1	2143039	2144172	+	1134	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
gene:ENSPTRG00000044415	1	2184998	2185435	-	438	125	236	0	19	42	263	1	40	41	156	1	56	35	134	0	69
gene:ENSPTRG00000000059	1	2192319	2576884	+	384566	1951	3432	24	1737	1099	2160	81	727	1208	1637	126	1154	1588	1838	65	1518
gene:ENSPTRG00000050952	1	2575185	2575609	+	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000000060	1	2601412	2619676	+	18265	35	1860	1157	1231	16	877	273	382	31	502	256	338	12	897	486	692
gene:ENSPTRG00000045016	1	2629563	2761577	-	132015	126	531	80	1249	351	768	438	890	493	777	161	1778	192	1081	108	1479
gene:ENSPTRG00000052696	1	2773638	2774016	-	379	5	28	3	1	17	69	7	17	23	40	13	14	3	38	8	17
gene:ENSPTRG00000000063	1	2775339	2780462	+	5124	1248	1735	1680	1005	1040	1719	1320	980	1218	1497	1466	1112	1003	1475	1680	1284
gene:ENSPTRG00000000064	1	2781112	2804631	-	23520	569	1090	463	1072	468	813	373	603	589	639	294	879	316	820	522	946
gene:ENSPTRG00000000062	1	2806851	2888845	+	81995	26	48	29	381	24	23	16	93	23	22	35	138	14	25	17	85
gene:ENSPTRG00000000067	1	2905027	2924357	+	19331	2	7	6	13	10	4	8	7	5	3	30	8	1	4	14	4
gene:ENSPTRG00000050245	1	2925397	2928702	+	3306	3	84	25	31	5	112	39	21	9	73	113	10	7	124	108	40
gene:ENSPTRG00000000068	1	2932977	2949260	-	16284	1496	1510	1019	1439	1199	1414	870	1051	1209	960	742	1127	1040	1139	1202	1347
gene:ENSPTRG00000000069	1	2967445	3010856	-	43412	1023	1903	870	1795	951	1783	1118	1264	1281	1574	932	1913	883	1533	1201	1718
gene:ENSPTRG00000000070	1	3010890	3046502	+	35613	250	551	165	382	299	524	179	262	327	376	193	494	197	406	252	430
gene:ENSPTRG00000024207	1	3050214	3062753	-	12540	217	444	268	470	193	409	201	400	286	323	230	320	134	293	287	480
gene:ENSPTRG00000000072	1	3838225	3977531	+	139307	133	1316	10	63	155	1076	79	162	192	1165	56	325	59	1287	38	40
gene:ENSPTRG00000050114	1	4668519	4668743	+	225	61	82	41	114	45	86	41	62	49	72	58	86	40	76	52	94
gene:ENSPTRG00000044476	1	4670956	4671295	+	340	9	30	11	10	9	23	8	10	9	18	3	14	9	28	11	11
gene:ENSPTRG00000048943	1	5108753	5242386	-	133634	291	811	259	587	517	1067	684	508	389	648	536	883	234	803	723	744
gene:ENSPTRG00000052739	1	5268508	5344699	+	76192	1513	535	320	1942	1915	647	677	1981	993	474	239	2407	940	891	492	2947
gene:ENSPTRG00000000075	1	5345291	5438110	-	92820	57	294	16	61	27	228	12	25	37	125	25	47	60	161	20	50
gene:ENSPTRG00000000076	1	5439428	5457629	-	18202	1714	2327	1248	2058	1616	2429	1557	2196	1665	2270	1397	2014	1395	1959	1411	2029
gene:ENSPTRG00000000078	1	5464444	5477861	+	13418	3576	1412	463	593	2128	1653	732	504	2859	1466	594	809	2157	1309	605	711
gene:ENSPTRG00000000079	1	5478253	5493114	-	14862	1814	2522	635	1478	1161	2177	755	927	1957	2047	476	1348	1141	1828	769	1590
gene:ENSPTRG00000047979	1	5478279	5478500	-	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000000081	1	5501500	5502675	+	1176	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000000082	1	5504517	5518071	-	13555	64	896	915	362	347	520	87	934	459	136	259	593	79	105	177	838
gene:ENSPTRG00000000084	1	5521322	5657975	-	136654	143	466	349	327	238	797	395	631	305	428	468	775	149	376	881	801
gene:ENSPTRG00000000085	1	5676710	5684944	-	8235	0	332	7	232	146	124	20	404	3	64	3	125	1	89	16	331
gene:ENSPTRG00000048964	1	5688301	5729687	+	41387	27	1882	706	172	52	2134	668	102	41	1038	1471	88	35	1512	1269	104
gene:ENSPTRG00000034540	1	5729931	5735285	-	5355	305	274	44	291	553	484	154	566	780	428	179	894	480	513	122	849
gene:ENSPTRG00000000088	1	5736332	5788801	-	52470	1009	823	150	542	1083	539	202	639	1245	458	130	1227	976	584	208	1029
gene:ENSPTRG00000000089	1	5790651	5824104	-	33454	352	575	379	762	444	705	444	737	563	523	356	683	287	457	476	579
gene:ENSPTRG00000000090	1	5824173	5847716	+	23544	15	52	28	33	11	27	19	20	13	19	41	25	8	24	29	13
gene:ENSPTRG00000030844	1	5847950	5857269	+	9320	666	2010	790	1390	734	2049	877	1510	814	1064	974	1746	482	1747	1350	1571
gene:ENSPTRG00000000091	1	5858690	5870860	-	12171	2192	2387	884	1601	2063	2759	1311	1111	1864	1775	914	1810	1773	1778	1314	1659
gene:ENSPTRG00000000092	1	5886116	5896647	+	10532	493	618	385	517	471	617	337	686	371	413	205	709	387	570	269	1023
gene:ENSPTRG00000000093	1	5897250	5906760	+	9511	381	511	168	440	324	561	223	522	404	367	211	418	272	465	262	540
gene:ENSPTRG00000000094	1	5906845	5974960	-	68116	2287	3245	946	1676	1656	2359	915	1132	1875	1899	882	1347	1552	1776	1341	1410
gene:ENSPTRG00000000096	1	6066668	7049258	+	982591	1584	1672	623	1346	1156	1948	834	1870	1315	1705	783	2373	1061	1439	700	1797
gene:ENSPTRG00000000098	1	7050843	7060985	+	10143	2061	2064	1061	2321	1725	2024	1213	2216	1938	2012	671	2733	1437	1596	812	2464
gene:ENSPTRG00000000099	1	7063900	7124724	+	60825	1759	2502	1270	3317	1261	2040	1205	1824	819	1451	531	1625	439	681	991	983
gene:ENSPTRG00000000100	1	7123487	7133745	-	10259	7	9	2	11	6	14	17	12	9	11	11	46	1	21	4	15
gene:ENSPTRG00000045878	1	7194711	7219752	-	25042	13	24	19	25	62	34	73	42	47	26	40	73	20	36	31	77
gene:ENSPTRG00000000102	1	7238836	7262461	+	23626	756	816	707	857	643	995	781	809	783	865	787	822	620	806	768	738
gene:ENSPTRG00000000103	1	7280952	7302784	-	21833	1032	1559	6105	5668	1038	4027	5230	1754	595	840	2831	3989	531	1180	5373	2318
gene:ENSPTRG00000000104	1	7635346	7661714	+	26369	92	112	460	141	79	282	296	53	92	203	47	54	49	202	250	78
gene:ENSPTRG00000000106	1	7667313	8015132	-	347820	4992	6279	1833	4776	2954	5060	1635	2988	2929	3929	2148	4370	2638	3787	2753	3756
gene:ENSPTRG00000000109	1	8175200	8189101	-	13902	2825	4523	3144	3057	2343	3795	3167	2629	2314	3191	2320	2782	1608	3501	2819	3003
gene:ENSPTRG00000000111	1	8253091	8306362	+	53272	20	18	18	41	16	20	35	58	22	41	28	218	16	32	23	82
gene:ENSPTRG00000023465	1	8334190	8357648	-	23459	4	29	3	11	6	39	7	5	8	20	12	8	2	16	4	9
gene:ENSPTRG00000000112	1	8368217	8418743	-	50527	802	1530	127	115	685	1509	117	140	583	866	139	119	692	937	171	155
gene:ENSPTRG00000030841	1	8433758	8459651	-	25894	646	417	253	444	338	216	241	294	368	138	145	510	336	143	222	441
gene:ENSPTRG00000000113	1	8573434	8600142	+	26709	2289	1653	2476	1531	1377	1002	3434	675	1755	863	1921	1890	1386	1270	2941	1450
gene:ENSPTRG00000000114	1	8649948	8704816	+	54869	286	457	1138	845	287	490	3478	758	275	243	166	434	188	265	203	856
gene:ENSPTRG00000000115	1	8876593	8935254	+	58662	375	1145	532	707	313	919	367	612	314	604	147	631	295	666	349	425
gene:ENSPTRG00000049393	1	8941229	8967549	+	26321	951	1077	165	628	669	894	149	570	805	619	138	802	665	810	246	692
gene:ENSPTRG00000000120	1	9072598	9111648	+	39051	483	775	249	1150	414	784	472	968	378	837	290	2269	201	860	524	1331
gene:ENSPTRG00000000121	1	9111754	9207811	-	96058	2059	3708	452	2848	2019	3093	784	2370	2469	2620	433	3258	1726	2611	664	3441
gene:ENSPTRG00000051669	1	9163848	9164232	+	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000047623	1	9211124	9211507	-	384	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1
gene:ENSPTRG00000046205	1	9231018	9302212	-	71195	2604	1443	989	3572	1072	1341	478	1196	1478	842	437	1317	1306	854	598	1776
gene:ENSPTRG00000044719	1	9320574	9337645	-	17072	1191	1379	622	1093	841	1503	900	994	1066	1423	714	1363	631	1063	709	1140
gene:ENSPTRG00000000124	1	9337138	9386760	+	49623	733	609	180	273	621	675	348	335	722	602	249	414	572	554	308	436
gene:ENSPTRG00000000125	1	9398759	9429463	+	30705	345	322	78	80	445	214	65	96	512	228	35	39	299	144	35	101
gene:ENSPTRG00000000126	1	9447583	9604242	+	156660	1750	1701	731	1584	1361	1785	1084	990	1494	1443	735	1944	1315	1284	838	1491
gene:ENSPTRG00000000127	1	9626002	9811012	+	185011	3773	2814	1251	2771	2612	2287	1612	1439	3551	2203	783	2815	3145	1929	1518	2212
gene:ENSPTRG00000041336	1	9833823	9863220	+	29398	921	1332	1084	1964	752	1384	826	1379	748	1179	549	2073	418	1123	804	2166
gene:ENSPTRG00000000130	1	9872840	9905850	+	33011	94	675	97	348	157	1029	142	289	104	549	86	368	67	411	125	236
gene:ENSPTRG00000000131	1	9914572	9926302	-	11731	378	639	222	418	438	578	268	437	460	491	199	933	282	508	352	837
gene:ENSPTRG00000000132	1	9928624	10084510	+	155887	662	1039	769	876	664	1089	811	833	714	809	1048	1144	519	1057	1461	1055
gene:ENSPTRG00000000133	1	10092698	10147611	-	54914	2039	1296	204	3119	1211	1085	234	1262	1418	639	91	2972	1076	1069	137	2041
gene:ENSPTRG00000000134	1	10400247	10436007	-	35761	13	14	6	28	13	30	14	16	11	10	9	28	6	17	18	22
gene:ENSPTRG00000000136	1	10463719	10476430	+	12712	1500	1886	1048	1402	1339	1793	1247	1529	1689	1640	1067	1957	1136	1469	1097	1854
gene:ENSPTRG00000000137	1	10477961	10497818	-	19858	270	498	2064	531	139	247	1541	213	154	157	1851	168	72	184	2020	261
gene:ENSPTRG00000000138	1	10504186	10511372	-	7187	315	289	130	221	280	226	160	253	387	248	191	234	235	189	160	269
gene:ENSPTRG00000000140	1	10518041	10558195	-	40155	1295	1493	765	1705	979	1181	823	1502	1109	980	494	1524	816	998	731	1573
gene:ENSPTRG00000000142	1	10564866	10724457	-	159592	2135	2699	1606	2254	1892	2511	2129	1271	2294	2451	1414	2432	1998	2128	1958	2395
gene:ENSPTRG00000000143	1	10646600	10655055	+	8456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000000144	1	10735160	10756905	+	21746	495	867	700	681	456	621	571	448	509	411	267	738	311	447	584	584
gene:ENSPTRG00000052265	1	10740612	10741232	-	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000000145	1	10975135	11011397	+	36263	6	4	0	4	5	5	6	5	2	5	12	12	4	6	5	2
gene:ENSPTRG00000000146	1	11122124	11128552	-	6429	63	483	303	203	136	312	225	91	147	212	416	78	94	256	208	240
gene:ENSPTRG00000000147	1	11128577	11136004	+	7428	798	1616	450	830	778	1616	612	967	872	1146	703	883	639	1239	601	1041
gene:ENSPTRG00000000148	1	11138502	11149302	+	10801	280	269	360	236	273	315	343	311	329	195	348	381	263	233	301	343
gene:ENSPTRG00000000149	1	11149432	11156450	-	7019	435	376	452	404	299	284	308	456	321	198	323	480	286	270	295	414
gene:ENSPTRG00000000150	1	11166564	11195849	+	29286	14	20	4	13	15	11	5	19	14	18	30	43	4	13	13	11
gene:ENSPTRG00000000151	1	11211008	11225659	+	14652	297	877	222	572	374	986	221	651	556	775	186	860	269	869	146	885
gene:ENSPTRG00000000152	1	11236744	11264429	+	27686	331	261	166	485	119	284	93	292	145	291	92	158	104	225	64	238
gene:ENSPTRG00000000153	1	11261754	11279220	-	17467	1684	1199	589	1664	664	812	422	554	678	785	231	1033	646	723	318	1163
gene:ENSPTRG00000000154	1	11281060	11317954	+	36895	1323	2199	726	2723	965	1851	834	1148	1050	1320	611	1696	680	1372	846	1846
gene:ENSPTRG00000000155	1	11320533	11322825	-	2293	378	1	3	10	1126	5	3	6	1006	3	7	5	1102	1	1	60
gene:ENSPTRG00000000156	1	11332353	11333860	-	1508	96	3	1	4	1150	1	11	11	1255	0	5	4	1006	2	3	57
gene:ENSPTRG00000000157	1	11381361	11411665	-	30305	946	945	539	737	672	937	482	743	874	664	525	706	647	693	649	952
gene:ENSPTRG00000000158	1	11419815	11461422	+	41608	1519	1315	1235	857	1840	1737	1744	1839	2205	1450	1747	2070	1431	1299	1986	1880
gene:ENSPTRG00000000159	1	11466102	11499284	+	33183	7529	3833	2618	3477	5953	3641	2866	2337	6165	2857	2224	2812	6021	2560	3703	3086
gene:ENSPTRG00000000160	1	11505096	11517903	+	12808	409	780	520	844	369	827	387	740	494	434	431	660	248	532	351	709
gene:ENSPTRG00000000161	1	11549311	11629227	+	79917	41	42	39	206	46	101	49	181	56	65	47	324	28	72	49	125
gene:ENSPTRG00000000164	1	11653884	11695936	+	42053	1531	1230	939	2361	1842	1222	1320	3238	1338	1142	650	6843	865	1165	1581	3803
gene:ENSPTRG00000000165	1	11716745	12000468	+	283724	3043	3637	1701	3151	1880	4280	1922	1921	2726	6255	1085	2964	2473	3036	1525	2603
gene:ENSPTRG00000000167	1	12057049	12108995	-	51947	2235	4467	2314	3089	1428	3963	1898	1791	1380	4562	2529	1232	1052	2195	2970	1503
gene:ENSPTRG00000030826	1	12135046	12157239	+	22194	7	16	3	7	2	12	4	6	5	24	6	8	2	13	6	9
gene:ENSPTRG00000000168	1	12206240	12218882	+	12643	4	2	0	1	0	3	2	4	1	3	8	3	3	1	2	5
gene:ENSPTRG00000000170	1	12236283	12251403	+	15121	5	2	5	38	1	8	4	25	4	2	9	36	0	1	4	9
gene:ENSPTRG00000030821	1	12263786	12267911	+	4126	0	1	1	1	1	0	1	0	2	0	1	0	0	0	0	0
gene:ENSPTRG00000031360	1	12284586	12288066	+	3481	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0
gene:ENSPTRG00000030818	1	12310241	12314001	-	3761	0	1	1	1	1	0	1	0	0	2	1	1	1	0	0	0
gene:ENSPTRG00000030823	1	12379330	12382112	+	2783	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000030824	1	12398564	12401332	-	2769	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
gene:ENSPTRG00000030819	1	12444000	12447639	-	3640	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
gene:ENSPTRG00000030820	1	12490638	12493668	+	3031	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0
gene:ENSPTRG00000041322	1	12511473	12522402	+	10930	2	9	1	6	8	4	4	3	3	2	5	8	1	4	4	7
gene:ENSPTRG00000000182	1	12576537	12615362	-	38826	38	17	5	24	18	17	11	13	31	9	18	20	23	14	11	36
gene:ENSPTRG00000042868	1	12656769	12658822	+	2054	2	4	2	3	2	6	8	3	2	3	1	4	3	6	1	4
gene:ENSPTRG00000000184	1	12687538	12721680	+	34143	110	41	17	938	91	131	62	842	189	102	40	777	47	77	25	998
gene:ENSPTRG00000000185	1	12815510	12925646	+	110137	1816	2340	1130	2900	1472	2587	1405	1932	1628	1983	753	3169	1060	2120	1203	2267
gene:ENSPTRG00000000186	1	12992121	14243464	+	1251344	473	3935	326	1567	410	2975	626	1363	475	2864	944	1690	217	2734	722	1216
