# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/macaca_genome/Macaca_mulatta.Mmul_10.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "macacYN07-314_heart_rna_dupsRemoved.bam" "macacYN07-314_kidney_rna_dupsRemoved.bam" "macacYN07-314_liver_rna_dupsRemoved.bam" "macacYN07-314_lung_rna_dupsRemoved.bam" "macacYN07-315_heart_rna_dupsRemoved.bam" "macacYN07-315_kidney_rna_dupsRemoved.bam" "macacYN07-315_liver_rna_dupsRemoved.bam" "macacYN07-315_lung_rna_dupsRemoved.bam" "macacYN07-317_heart_rna_dupsRemoved.bam" "macacYN07-317_kidney_rna_dupsRemoved.bam" "macacYN07-317_liver_rna_dupsRemoved.bam" "macacYN07-317_lung_rna_dupsRemoved.bam" "macacYN07-330_heart_rna_dupsRemoved.bam" "macacYN07-330_kidney_rna_dupsRemoved.bam" "macacYN07-330_liver_rna_dupsRemoved.bam" "macacYN07-330_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	macacYN07-314_heart_rna_dupsRemoved.bam	macacYN07-314_kidney_rna_dupsRemoved.bam	macacYN07-314_liver_rna_dupsRemoved.bam	macacYN07-314_lung_rna_dupsRemoved.bam	macacYN07-315_heart_rna_dupsRemoved.bam	macacYN07-315_kidney_rna_dupsRemoved.bam	macacYN07-315_liver_rna_dupsRemoved.bam	macacYN07-315_lung_rna_dupsRemoved.bam	macacYN07-317_heart_rna_dupsRemoved.bam	macacYN07-317_kidney_rna_dupsRemoved.bam	macacYN07-317_liver_rna_dupsRemoved.bam	macacYN07-317_lung_rna_dupsRemoved.bam	macacYN07-330_heart_rna_dupsRemoved.bam	macacYN07-330_kidney_rna_dupsRemoved.bam	macacYN07-330_liver_rna_dupsRemoved.bam	macacYN07-330_lung_rna_dupsRemoved.bam
gene:ENSMMUG00000064657	1	618274	619248	-	975	0	0	0	0	1	1	0	0	0	0	0	0	0	13	0	0
gene:ENSMMUG00000005566	1	645437	646546	-	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000064874	1	661164	662090	-	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000039595	1	710011	710949	+	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000038524	1	769522	770457	+	936	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000049432	1	825399	826361	-	963	0	5	1	3	0	8	0	2	0	0	0	3	0	6	0	1
gene:ENSMMUG00000050812	1	833912	835873	-	1962	0	1	0	0	0	1	1	2	0	4	1	0	0	2	1	3
gene:ENSMMUG00000059065	1	848726	849664	+	939	0	3	2	0	0	0	1	0	0	0	0	0	0	2	1	0
gene:ENSMMUG00000053957	1	874840	875778	-	939	0	4	0	0	0	4	4	4	0	0	0	0	1	1	1	4
gene:ENSMMUG00000057748	1	895998	896936	-	939	0	5	1	1	0	5	3	0	0	0	0	0	1	4	3	8
gene:ENSMMUG00000050041	1	907326	908264	-	939	0	8	1	6	0	26	8	16	0	1	0	0	1	9	2	5
gene:ENSMMUG00000052261	1	931817	932755	-	939	0	0	1	2	0	4	1	4	0	0	0	0	0	2	0	1
gene:ENSMMUG00000060886	1	984122	985060	+	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gene:ENSMMUG00000062168	1	1003761	1004699	-	939	0	1	0	1	0	10	1	4	0	0	0	0	0	1	0	3
gene:ENSMMUG00000056262	1	1080903	1102802	-	21900	2	5	1	11	0	1	4	17	2	1	2	12	1	4	1	19
gene:ENSMMUG00000038159	1	1146217	1147161	-	945	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0
gene:ENSMMUG00000005570	1	1160011	1180468	-	20458	16	7	4	149	22	7	3	585	34	7	8	468	17	3	14	592
gene:ENSMMUG00000006214	1	1198069	1223285	+	25217	2	4	1	15	2	4	3	16	3	6	4	17	2	8	2	14
gene:ENSMMUG00000056211	1	1217358	1220851	-	3494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000049478	1	1229179	1230054	-	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000062849	1	1251363	1252322	+	960	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene:ENSMMUG00000064145	1	1278606	1279550	-	945	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gene:ENSMMUG00000059455	1	1290883	1292883	+	2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000016175	1	1302679	1303605	+	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000016176	1	1334218	1335141	+	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000058340	1	1390572	1391542	+	971	0	0	0	4	0	1	0	4	0	1	0	7	0	1	0	2
gene:ENSMMUG00000005955	1	1441551	1493490	-	51940	44	43	33	101	85	33	14	197	58	20	18	232	13	16	8	143
gene:ENSMMUG00000012954	1	1480123	1481145	+	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000060427	1	1493737	1495197	+	1461	12	1	0	16	17	5	0	15	19	3	0	18	1	4	0	4
gene:ENSMMUG00000005949	1	1559934	1560887	+	954	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
gene:ENSMMUG00000005946	1	1562783	1595289	-	32507	52	27	46	283	90	61	77	627	57	94	176	494	40	76	55	436
gene:ENSMMUG00000019585	1	1683011	1712638	+	29628	129	193	52	443	272	311	83	1092	190	284	119	798	177	282	82	589
gene:ENSMMUG00000058602	1	1766717	1767751	+	1035	0	4	2	1	4	6	6	3	0	3	29	12	1	4	3	8
gene:ENSMMUG00000059322	1	1789175	1812316	+	23142	183	411	148	1175	248	587	188	1845	201	669	313	1685	189	519	295	1642
gene:ENSMMUG00000004566	1	1827888	1851741	+	23854	15	53	19	145	30	75	35	244	20	116	52	210	23	60	29	198
gene:ENSMMUG00000058214	1	1887415	1904761	-	17347	26	70	10	59	21	69	8	47	17	84	15	31	25	86	17	57
gene:ENSMMUG00000023311	1	1902690	1910632	+	7943	66	227	57	259	123	294	105	448	97	366	161	418	108	272	105	413
gene:ENSMMUG00000050290	1	1935519	1964328	+	28810	18	59	37	76	50	66	57	144	25	84	75	100	21	57	57	118
gene:ENSMMUG00000054567	1	1952470	1953612	-	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000031191	1	1961561	2015105	+	53545	31	91	30	90	52	142	55	174	49	149	90	212	36	142	62	162
gene:ENSMMUG00000016408	1	2071570	2168210	+	96641	729	2665	989	1328	1319	4377	1850	2759	1255	4964	2420	2399	934	3061	1833	2497
gene:ENSMMUG00000049281	1	2210612	2212349	-	1738	0	0	1	0	0	2	0	2	0	4	0	2	0	2	1	0
gene:ENSMMUG00000022208	1	2273725	2328297	-	54573	901	923	670	1120	1441	1118	1107	2316	1163	1258	1315	1562	1072	1022	1063	1526
gene:ENSMMUG00000060928	1	2358741	2361942	-	3202	143	139	155	115	124	163	136	111	94	142	156	103	86	142	140	114
gene:ENSMMUG00000011380	1	2395778	2510336	-	114559	325	864	400	908	608	950	668	2245	458	1502	1087	1698	505	1070	712	1452
gene:ENSMMUG00000059690	1	2427058	2429350	+	2293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000055490	1	2510498	2540181	+	29684	626	986	871	805	1017	1334	1334	1230	845	1485	1908	1127	659	1084	1442	955
gene:ENSMMUG00000005777	1	2568685	3324607	+	755923	398	1224	290	631	813	1586	509	1254	587	2171	756	1195	467	888	535	1200
gene:ENSMMUG00000017324	1	3386414	3939026	-	552613	93	1113	79	635	148	1006	126	1111	123	1166	190	909	92	619	122	663
gene:ENSMMUG00000011424	1	3964561	4127294	-	162734	1176	1131	347	1659	1986	1502	658	3692	1262	1588	773	2686	1602	1454	681	3267
gene:ENSMMUG00000053368	1	4127062	4134266	+	7205	15	39	4	42	26	30	13	91	27	58	19	90	28	44	19	73
gene:ENSMMUG00000021098	1	4234745	4252527	+	17783	2564	4255	2478	4826	3625	5094	3726	7086	3532	5952	4811	6590	3365	4646	3677	6079
gene:ENSMMUG00000031175	1	4254577	4263278	-	8702	1329	1881	1053	2629	1855	2456	1805	3961	1556	2752	2249	3669	1701	2244	1823	3354
gene:ENSMMUG00000062648	1	4363427	4364610	-	1184	199	163	198	198	246	206	221	231	262	263	344	247	199	170	217	198
gene:ENSMMUG00000022310	1	4401250	4464048	-	62799	727	741	528	1993	1246	1050	914	2604	957	1300	1160	3058	908	977	807	2491
gene:ENSMMUG00000000021	1	4478525	4653134	-	174610	290	611	365	553	533	886	664	1068	380	930	741	800	354	645	618	748
gene:ENSMMUG00000062093	1	4580551	4583289	+	2739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000000016	1	4663495	4707156	+	43662	200	897	271	931	319	1172	518	1900	293	1305	899	1525	174	914	390	1554
gene:ENSMMUG00000000015	1	4725778	4754700	-	28923	5	11	11	19	14	30	23	47	14	23	35	40	14	13	15	32
gene:ENSMMUG00000015664	1	5061719	5067900	-	6182	384	447	273	622	704	498	538	1100	504	638	671	998	468	519	502	775
gene:ENSMMUG00000063991	1	5121444	5123023	-	1580	1	1	2	4	1	3	1	6	0	3	3	5	1	2	2	3
gene:ENSMMUG00000049847	1	5224356	5225709	-	1354	0	1	1	0	1	4	2	2	1	1	1	2	0	2	0	3
gene:ENSMMUG00000019995	1	5268539	5626496	+	357958	358	562	190	982	591	642	352	2103	461	1006	462	2165	304	799	224	2134
gene:ENSMMUG00000019994	1	5629548	5879337	-	249790	549	1156	1228	1608	929	1494	2425	3179	861	2168	3052	3344	742	1388	1915	2603
gene:ENSMMUG00000019914	1	5880084	6009260	+	129177	921	701	484	1338	1656	1134	971	2628	1145	1269	1161	2333	1096	925	779	2186
gene:ENSMMUG00000059561	1	6052431	6053284	-	854	0	1	0	0	0	1	0	0	1	1	0	2	0	3	2	2
gene:ENSMMUG00000062759	1	6100043	6100412	+	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gene:ENSMMUG00000004265	1	6565019	6980524	+	415506	35	107	52	207	81	122	97	450	42	161	98	496	32	139	89	531
gene:ENSMMUG00000053723	1	7074446	7077267	+	2822	1	3	0	2	1	0	1	8	1	0	1	3	1	0	1	4
gene:ENSMMUG00000060345	1	7119481	7120776	-	1296	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000008761	1	7179725	7224643	-	44919	5	11	10	36	16	29	19	90	11	43	72	57	10	14	18	43
gene:ENSMMUG00000008763	1	7274107	7430387	-	156281	24	66	45	73	48	116	82	125	36	170	116	140	32	71	71	111
gene:ENSMMUG00000005669	1	7442726	7489468	+	46743	247	608	232	573	479	857	378	1127	340	1050	752	901	266	643	406	818
gene:ENSMMUG00000005668	1	7492090	7550644	-	58555	28	1659	1626	223	82	2326	2277	324	137	2400	5064	284	49	1390	2186	260
gene:ENSMMUG00000005667	1	7562328	7605199	+	42872	1188	1335	1712	599	1606	1796	2106	976	1355	1830	2553	820	1376	1438	2015	674
gene:ENSMMUG00000054974	1	7589581	7592763	-	3183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000010729	1	7723305	8288779	+	565475	57	732	133	199	101	1098	516	332	89	1274	798	455	81	655	580	300
gene:ENSMMUG00000064824	1	8440878	8564991	+	124114	19	182	386	372	36	65	577	301	39	80	1038	381	25	81	595	378
gene:ENSMMUG00000059650	1	8580597	8978595	-	397999	413	450	448	549	551	533	482	702	500	590	639	640	500	496	520	590
gene:ENSMMUG00000021442	1	9168318	9443716	-	275399	13	73	30	56	28	78	72	88	36	119	50	117	36	79	20	62
gene:ENSMMUG00000060243	1	9206071	9208668	+	2598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000015083	1	10574272	10575410	-	1139	0	1	1	2	0	3	4	1	0	2	6	3	0	0	1	2
gene:ENSMMUG00000049264	1	10854733	10855739	-	1007	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0
gene:ENSMMUG00000002105	1	11168446	11176372	+	7927	0	1	0	1	1	0	0	3	1	0	0	2	1	1	2	0
gene:ENSMMUG00000001060	1	11228940	12011887	-	782948	13530	2521	154	319	24457	3586	160	667	21260	6152	206	531	16500	2690	133	1133
gene:ENSMMUG00000010073	1	12143227	12249321	-	106095	1902	2070	891	878	3610	2772	1739	1840	1918	2919	2298	1576	2168	2292	1192	1375
gene:ENSMMUG00000020471	1	12281245	12356048	-	74804	6054	74	277	1011	6681	113	278	1435	6687	82	448	1886	6485	141	262	1783
gene:ENSMMUG00000043556	1	12409873	12410190	-	318	208	154	9	295	221	230	20	336	234	228	38	314	285	241	23	333
gene:ENSMMUG00000015135	1	12443997	12500676	+	56680	515	1234	709	1242	988	1584	1299	2345	773	1832	1950	2210	712	1259	1079	1799
gene:ENSMMUG00000015132	1	12499522	12523875	-	24354	592	1043	1352	1282	1093	1445	2393	2709	862	1657	2858	2593	652	1092	2266	1878
gene:ENSMMUG00000021238	1	12560087	12733610	-	173524	459	126	137	205	773	221	176	455	426	225	270	473	671	315	491	735
gene:ENSMMUG00000044139	1	12733407	12799395	+	65989	338	414	694	532	655	844	1055	1454	582	1012	1466	1226	594	547	1052	963
gene:ENSMMUG00000056299	1	12758965	12761748	-	2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000014263	1	12809297	12880155	-	70859	376	1476	185	713	801	2076	300	1493	692	2575	697	1599	738	1564	372	1217
gene:ENSMMUG00000012716	1	12965399	13060648	+	95250	2522	515	3198	2887	3518	565	5469	4763	2688	1058	7013	5525	3090	804	3737	3839
gene:ENSMMUG00000012729	1	13193679	13366571	+	172893	282	562	560	943	468	718	855	1779	356	970	1330	1720	372	638	784	1541
gene:ENSMMUG00000053807	1	13380522	13472367	+	91846	9	36	17	48	21	38	30	57	19	43	36	55	13	24	20	71
gene:ENSMMUG00000008427	1	13521543	13583032	+	61490	627	412	232	404	1040	530	510	881	886	633	760	770	835	554	516	841
gene:ENSMMUG00000008426	1	13581792	13663638	-	81847	1221	2062	1480	2456	2205	2856	2473	4381	1770	3087	3022	3943	1887	2558	2161	3149
gene:ENSMMUG00000053318	1	13666294	13667936	-	1643	2	3	2	3	2	1	3	4	1	4	5	2	2	1	1	4
gene:ENSMMUG00000007145	1	13680061	13699780	-	19720	593	935	321	805	893	1353	611	1621	680	1282	632	1258	678	1053	476	1121
gene:ENSMMUG00000007141	1	13699581	13866806	+	167226	626	1611	1073	2229	1171	2251	1708	4008	964	2506	1831	3358	933	1864	1292	3157
gene:ENSMMUG00000039424	1	13870713	13897391	+	26679	204	332	219	526	397	470	362	927	272	583	537	805	287	427	423	641
gene:ENSMMUG00000058824	1	13899737	13918485	+	18749	1317	1651	753	1920	2060	2172	1311	2913	1510	2217	1700	2498	1365	1628	1076	2063
gene:ENSMMUG00000049832	1	14429498	14434043	+	4546	921	1077	957	1744	1470	1496	1465	2621	1116	1896	2495	2833	1141	1491	1202	2301
gene:ENSMMUG00000021703	1	14560879	14644427	+	83549	348	774	605	855	477	920	717	1281	405	1344	1491	1424	494	898	809	1056
gene:ENSMMUG00000021702	1	14652155	14662577	-	10423	243	270	205	300	427	326	286	576	285	405	372	499	271	328	246	414
gene:ENSMMUG00000052207	1	14685735	14686651	-	917	0	0	0	0	2	0	0	0	0	0	2	2	0	1	0	0
gene:ENSMMUG00000006226	1	14705215	15112635	-	407421	37	126	22	83	140	117	90	143	60	150	112	118	61	199	61	102
gene:ENSMMUG00000052225	1	15329846	15331761	+	1916	0	4	0	2	14	11	0	7	16	16	0	13	1	8	1	0
gene:ENSMMUG00000022429	1	15334490	15387870	-	53381	99	620	4	11	530	635	10	444	601	920	14	338	52	735	10	130
gene:ENSMMUG00000009226	1	15634805	15689299	-	54495	33	796	284	281	113	1176	557	562	34	1157	580	497	61	1086	554	352
gene:ENSMMUG00000012615	1	15720660	16030095	+	309436	66	209	76	127	106	217	87	255	106	254	136	204	88	238	94	175
gene:ENSMMUG00000063981	1	16030412	16064566	-	34155	621	742	505	616	1161	1081	680	1050	837	1173	798	915	636	796	570	734
gene:ENSMMUG00000012068	1	16381653	16612596	+	230944	3068	907	509	1124	4056	1113	2311	2498	4172	1563	814	2348	3604	1128	578	1955
gene:ENSMMUG00000013119	1	16955796	17353450	-	397655	250	173	291	193	460	225	283	335	425	256	538	296	256	182	251	338
gene:ENSMMUG00000016204	1	17387717	17454250	-	66534	845	1275	599	1237	1398	1667	957	1961	1091	1825	1110	1723	928	1487	694	1574
gene:ENSMMUG00000053396	1	17565743	17620532	+	54790	448	388	574	305	784	521	695	625	638	666	1000	499	549	475	499	499
gene:ENSMMUG00000005244	1	17633547	17648430	-	14884	124	177	140	278	210	289	189	473	169	323	250	441	155	228	163	414
gene:ENSMMUG00000005243	1	17648985	17651581	+	2597	77	189	164	204	115	231	242	456	105	327	412	386	91	246	261	354
gene:ENSMMUG00000050564	1	17699895	17701172	+	1278	0	2	2	1	3	3	1	1	1	0	3	5	1	1	2	3
gene:ENSMMUG00000005801	1	17707251	17741871	-	34621	1076	1226	1235	1618	1708	1589	1633	2694	1324	1672	1859	2563	1329	1531	1532	2524
gene:ENSMMUG00000005803	1	17741902	17760515	+	18614	127	282	311	491	214	396	477	885	165	427	628	750	133	314	385	552
gene:ENSMMUG00000017449	1	17767101	17827735	-	60635	9	852	59	30	30	982	95	60	13	2147	101	43	25	1806	162	64
gene:ENSMMUG00000008191	1	17952191	17970937	+	18747	98	94	46	656	230	252	71	1060	164	249	300	1294	98	253	53	893
gene:ENSMMUG00000005892	1	17988403	18009751	-	21349	366	479	247	620	590	688	373	1105	443	741	549	896	452	603	385	726
gene:ENSMMUG00000005888	1	18009968	18112017	+	102050	342	750	543	1181	620	983	807	2010	479	1145	1156	2073	424	880	756	1833
gene:ENSMMUG00000005886	1	18113468	18153592	+	40125	1430	668	321	2089	2170	860	634	3099	1521	975	730	2300	1442	906	732	2933
gene:ENSMMUG00000005882	1	18188503	18241380	-	52878	4	23	2	829	9	109	13	3844	9	71	17	1419	4	201	13	876
gene:ENSMMUG00000005881	1	18234632	18296759	+	62128	312	1183	3816	291	671	947	4941	283	464	799	6006	93	310	712	4970	210
gene:ENSMMUG00000005877	1	18305302	18357234	-	51933	367	713	296	757	687	987	539	1424	480	1132	791	1323	416	863	466	1127
gene:ENSMMUG00000002287	1	18580299	18684386	+	104088	32	27	17	36	117	58	82	71	95	104	128	134	38	55	80	118
gene:ENSMMUG00000002285	1	18724643	18942693	-	218051	1178	923	1267	1555	1874	1348	1711	2773	1834	1582	3216	2905	1461	1100	1573	2362
gene:ENSMMUG00000009509	1	19343044	19377737	-	34694	150	305	287	359	268	305	390	678	204	419	739	715	173	331	338	539
gene:ENSMMUG00000009508	1	19378058	19413256	+	35199	286	408	432	755	498	518	680	1490	384	661	857	1322	394	524	574	1279
gene:ENSMMUG00000022094	1	19442427	19484193	+	41767	407	430	487	782	702	776	875	1781	490	761	1049	1136	493	712	882	1454
gene:ENSMMUG00000022091	1	19494417	19563906	+	69490	541	605	343	510	840	767	546	932	643	805	637	703	696	617	459	676
gene:ENSMMUG00000054977	1	19537963	19573357	-	35395	13	25	5	25	21	22	9	34	13	20	7	48	25	27	7	29
gene:ENSMMUG00000022086	1	19571568	19574402	+	2835	1452	27	129	58	1349	43	30	155	1394	34	37	57	1310	62	30	177
gene:ENSMMUG00000055996	1	19655436	19657178	-	1743	0	1	1	0	0	0	1	0	0	0	3	1	1	1	0	0
gene:ENSMMUG00000017722	1	19662479	19684744	+	22266	79	101	40	177	113	121	76	273	115	171	183	274	103	171	162	295
gene:ENSMMUG00000017720	1	19700563	19734769	-	34207	792	741	548	700	1252	970	930	1276	1006	1193	1109	1260	857	818	687	1096
gene:ENSMMUG00000031107	1	19942361	19942681	+	321	3	3	1	4	5	7	6	7	3	8	5	2	2	5	1	1
gene:ENSMMUG00000057995	1	20230674	20239521	-	8848	94	98	303	225	96	161	624	407	165	171	559	456	85	218	471	403
gene:ENSMMUG00000002585	1	20391971	20398101	-	6131	3	0	1	133	9	1	2	942	2	2	1	261	17	9	1	431
gene:ENSMMUG00000005185	1	20603066	20610870	+	7805	12	60	26	56	42	78	47	203	19	108	132	201	14	250	52	85
gene:ENSMMUG00000005186	1	20672995	20851390	-	178396	1647	1031	599	2360	2112	977	775	3388	1526	1090	858	2618	1410	1132	817	2783
gene:ENSMMUG00000058513	1	20824104	20828290	+	4187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000001152	1	20851627	20889105	+	37479	27	14	4	48	59	22	7	78	24	19	61	59	18	9	4	50
gene:ENSMMUG00000061702	1	21309856	21310266	+	411	215	269	175	342	284	268	247	434	259	334	294	415	247	283	216	344
gene:ENSMMUG00000056247	1	21820327	21822022	+	1696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000031260	1	22021322	22022760	-	1439	125	180	138	199	193	228	188	250	173	244	237	245	146	189	167	208
gene:ENSMMUG00000019108	1	22042790	22374817	+	332028	1762	1733	1037	2246	2642	2569	2238	3419	2030	3328	2674	3513	1769	2638	2236	3562
gene:ENSMMUG00000006300	1	22681177	22832373	-	151197	2	3	86	13	7	7	690	9	8	11	102	13	9	6	421	12
gene:ENSMMUG00000002892	1	22867684	22977410	-	109727	330	28	14	388	575	37	13	1230	334	46	29	1894	290	80	13	691
gene:ENSMMUG00000015518	1	23020662	23040274	+	19613	0	4	0	0	4	0	0	1	6	0	0	1	1	2	0	0
gene:ENSMMUG00000015948	1	23114051	23139490	+	25440	1084	1726	500	1363	1432	2090	578	2316	1129	2283	958	1926	1182	1702	547	1682
gene:ENSMMUG00000015946	1	23146234	23186874	-	40641	747	2645	2135	1436	1477	2788	1979	2572	1097	3572	2874	2078	1220	2178	1927	2063
gene:ENSMMUG00000062066	1	23186927	23204342	+	17416	68	109	148	138	137	172	156	245	100	203	257	216	80	138	118	192
gene:ENSMMUG00000005585	1	23224616	23265641	-	41026	644	1222	1072	965	851	1516	1451	1628	796	1767	1707	1334	689	1175	1206	1270
gene:ENSMMUG00000053859	1	23319854	23404156	+	84303	467	498	259	635	1397	680	454	1294	1274	639	816	932	576	522	313	787
gene:ENSMMUG00000057426	1	23564387	23654080	-	89694	21	51	74	44	53	79	78	112	34	85	265	69	26	88	89	115
gene:ENSMMUG00000017789	1	24195864	24210983	+	15120	56	279	89	125	96	402	101	302	100	493	216	269	98	426	133	264
gene:ENSMMUG00000017790	1	24203965	24232516	-	28552	204	599	300	486	424	838	534	1007	299	986	709	757	338	774	524	778
gene:ENSMMUG00000023462	1	24275126	24344159	-	69034	20	296	112	28	44	620	184	34	37	603	126	19	21	428	196	36
gene:ENSMMUG00000023463	1	24344412	24377395	+	32984	12	6	10	4	8	12	6	10	23	5	4	8	20	9	11	9
gene:ENSMMUG00000065239	1	24408978	24447354	-	38377	2	4	5	4	15	24	2	6	1	7	5	10	6	25	8	8
gene:ENSMMUG00000051788	1	24452338	24491509	+	39172	2452	2	19	10	2845	99	4	23	3189	1	6	6	2020	73	4	28
gene:ENSMMUG00000008155	1	24592489	24776940	+	184452	70	181	82	221	132	275	160	351	110	326	224	366	86	195	162	363
gene:ENSMMUG00000008158	1	24792928	24881348	-	88421	23	32	45	211	46	47	54	539	29	86	201	466	32	53	74	501
gene:ENSMMUG00000063120	1	24900876	24917066	-	16191	1358	2017	2118	1673	1666	2244	2517	2165	1681	2905	3124	2395	1601	2175	2341	2095
gene:ENSMMUG00000062713	1	24965130	24967499	+	2370	0	1	0	2	1	1	1	0	0	2	0	0	0	0	0	0
