# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/bumblebee_genome/GCF_000214255.1_Bter_1.0_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR8929838_dupsRemoved.bam" "SRR8929839_dupsRemoved.bam" "SRR8929840_dupsRemoved.bam" "SRR8929841_dupsRemoved.bam" "SRR8929842_dupsRemoved.bam" "SRR8929843_dupsRemoved.bam" "SRR8929848_dupsRemoved.bam" "SRR8929849_dupsRemoved.bam" "SRR8929852_dupsRemoved.bam" "SRR8929853_dupsRemoved.bam" "SRR8929854_dupsRemoved.bam" "SRR8929855_dupsRemoved.bam" "SRR8929856_dupsRemoved.bam" "SRR8929857_dupsRemoved.bam" "SRR8929858_dupsRemoved.bam" "SRR8929859_dupsRemoved.bam" "SRR8929860_dupsRemoved.bam" "SRR8929861_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8929838_dupsRemoved.bam	SRR8929839_dupsRemoved.bam	SRR8929840_dupsRemoved.bam	SRR8929841_dupsRemoved.bam	SRR8929842_dupsRemoved.bam	SRR8929843_dupsRemoved.bam	SRR8929848_dupsRemoved.bam	SRR8929849_dupsRemoved.bam	SRR8929852_dupsRemoved.bam	SRR8929853_dupsRemoved.bam	SRR8929854_dupsRemoved.bam	SRR8929855_dupsRemoved.bam	SRR8929856_dupsRemoved.bam	SRR8929857_dupsRemoved.bam	SRR8929858_dupsRemoved.bam	SRR8929859_dupsRemoved.bam	SRR8929860_dupsRemoved.bam	SRR8929861_dupsRemoved.bam
gene13	NC_015762.1	362267	365759	-	3493	400	393	425	275	376	336	489	364	307	364	325	342	356	314	338	298	465	379
gene14	NC_015762.1	365916	368227	+	2312	1715	1871	1659	961	1472	1470	1748	1897	1010	1434	1427	1469	1636	1388	1831	1298	1844	1532
gene15	NC_015762.1	368158	369886	+	1729	30	42	22	29	27	21	33	24	14	20	28	22	23	32	22	27	33	29
gene16	NC_015762.1	368891	372293	-	3403	91	84	88	123	112	95	169	86	138	105	64	115	97	83	102	110	141	129
gene17	NC_015762.1	372508	374297	+	1790	212	150	122	174	266	115	270	134	152	379	174	263	231	355	348	235	229	264
gene18	NC_015762.1	373933	380570	-	6638	539	542	485	240	405	441	504	453	393	444	445	372	408	502	455	360	499	468
gene19	NC_015762.1	385861	388241	-	2381	0	1	1	2	2	0	5	1	1	0	1	0	0	2	2	0	0	1
gene20	NC_015762.1	389374	395744	-	6371	1723	1474	1231	1187	1176	1275	1425	947	1329	1027	1241	1012	1125	1179	1199	1179	1455	1311
gene21	NC_015762.1	396227	400687	+	4461	769	837	780	285	652	824	855	668	605	647	599	563	651	553	592	558	784	699
gene22	NC_015762.1	401019	406437	+	5419	826	845	859	562	590	526	748	498	675	595	618	518	475	698	492	510	762	747
gene23	NC_015762.1	406760	408282	-	1523	252	281	293	184	293	299	350	277	222	265	240	249	285	229	309	255	319	297
gene24	NC_015762.1	408406	414643	+	6238	1608	1523	1416	974	1309	1201	1472	996	1381	1224	1243	1149	1172	1165	1199	1212	1586	1286
gene25	NC_015762.1	414979	417353	-	2375	950	938	866	714	754	826	920	815	662	733	808	690	766	704	725	703	884	780
gene26	NC_015762.1	417846	421694	+	3849	574	649	615	473	547	536	683	530	524	493	576	503	512	510	558	530	659	542
gene27	NC_015762.1	421533	425963	-	4431	529	558	521	311	416	473	544	443	431	429	457	402	457	392	432	401	560	438
gene28	NC_015762.1	426589	433194	+	6606	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1
gene29	NC_015762.1	433861	434157	+	297	139	125	128	151	163	178	196	154	148	130	138	116	151	131	126	138	159	165
gene30	NC_015762.1	434519	436308	-	1790	424	358	226	289	165	190	231	148	260	169	189	148	217	215	229	191	229	183
gene31	NC_015762.1	436428	438609	+	2182	355	348	333	301	324	333	371	337	310	257	292	249	263	299	297	302	378	323
gene32	NC_015762.1	439177	443540	+	4364	408	442	438	256	349	420	464	391	336	375	358	344	356	362	375	343	413	380
gene33	NC_015762.1	443725	444689	-	965	1264	1358	1231	1200	1181	1375	1680	1287	1114	1218	1129	1120	1215	1170	1158	1198	1457	1381
gene34	NC_015762.1	446711	450665	-	3955	1154	1256	1039	896	1134	1437	1435	1224	1078	1118	996	939	1161	1078	1186	976	1590	1252
gene35	NC_015762.1	450609	454916	+	4308	139	127	124	113	109	155	153	131	86	100	106	82	122	104	114	106	160	150
gene36	NC_015762.1	455217	456311	-	1095	92	92	97	89	87	99	149	107	86	67	89	69	75	85	94	65	121	143
gene37	NC_015762.1	457929	459249	+	1321	1180	1361	1339	976	1341	1355	1859	1214	1022	1121	1117	1172	1222	1171	1169	1356	1583	1509
gene38	NC_015762.1	464047	464438	+	392	7	7	9	1	0	8	5	5	3	5	3	5	3	3	8	1	11	3
gene39	NC_015762.1	464432	466247	+	1816	12	8	5	8	7	17	3	8	7	11	5	4	10	12	13	4	18	5
gene40	NC_015762.1	466447	468610	+	2164	194	222	221	191	178	215	289	195	206	160	221	180	194	196	196	189	220	217
gene41	NC_015762.1	468792	470045	-	1254	1158	1250	1047	1087	1036	1024	1405	992	922	997	953	941	994	1067	926	1000	1177	1159
gene42	NC_015762.1	470693	472241	-	1549	103	86	86	102	75	91	103	77	63	69	70	60	69	75	54	89	96	73
gene43	NC_015762.1	472697	474763	+	2067	121	139	119	102	112	144	163	129	129	122	112	115	130	115	119	116	143	137
gene44	NC_015762.1	476139	484200	-	8062	650	622	667	291	499	531	691	522	477	477	503	426	441	486	430	414	578	547
gene46	NC_015762.1	489026	493050	+	4025	499	518	459	394	684	337	848	526	304	560	574	462	592	646	603	584	618	736
gene47	NC_015762.1	492943	495549	-	2607	307	308	332	240	242	256	335	196	257	197	249	207	230	249	251	202	247	225
gene48	NC_015762.1	496167	499647	+	3481	930	1040	1123	697	948	942	1268	903	826	855	905	799	825	909	857	932	1139	1028
gene49	NC_015762.1	500211	503802	+	3592	462	441	441	317	350	353	443	317	357	288	370	315	308	337	373	313	420	398
gene50	NC_015762.1	504987	506269	+	1283	598	533	488	603	518	608	789	491	493	498	559	463	483	548	484	462	567	611
gene51	NC_015762.1	507878	510952	+	3075	263	263	233	170	186	255	212	207	187	189	198	181	175	185	207	170	235	189
gene52	NC_015762.1	512380	515253	-	2874	432	385	400	283	273	367	438	304	327	286	352	224	324	329	281	282	356	363
gene53	NC_015762.1	516833	519564	-	2732	372	401	370	284	305	328	365	302	294	258	331	250	268	311	277	248	287	322
gene54	NC_015762.1	520007	524751	+	4745	304	273	281	169	240	358	356	310	243	232	292	220	235	252	254	244	322	287
gene55	NC_015762.1	524736	526476	-	1741	79	83	82	54	76	112	101	71	69	70	89	70	72	78	84	59	91	85
gene56	NC_015762.1	527800	529220	+	1421	498	546	470	437	581	541	738	470	440	410	453	393	484	510	441	446	554	590
gene57	NC_015762.1	531341	532774	+	1434	82	88	85	78	73	91	118	67	45	39	79	57	60	73	55	97	78	98
gene58	NC_015762.1	533085	538872	-	5788	1706	1716	1528	943	1246	1664	1678	1421	1424	1415	1716	1268	1496	1050	1537	1435	1843	1304
gene59	NC_015762.1	539112	542269	+	3158	531	567	542	379	428	476	582	446	432	426	489	420	418	422	461	423	558	485
gene60	NC_015762.1	542244	544247	-	2004	724	742	675	635	680	791	830	696	600	580	655	584	683	635	681	622	853	723
gene61	NC_015762.1	544665	545676	+	1012	1679	1487	1389	1888	1516	1385	1645	1150	1492	1327	1358	1267	1281	1453	1181	1476	1602	1490
gene62	NC_015762.1	545786	548438	-	2653	672	710	625	463	618	605	777	504	525	485	554	494	507	581	509	609	701	677
gene63	NC_015762.1	548562	551642	+	3081	262	268	264	174	248	269	336	243	195	216	209	180	199	214	232	233	260	263
gene64	NC_015762.1	552558	557292	+	4735	417	462	472	281	377	411	543	393	421	334	370	314	368	428	354	405	478	409
gene65	NC_015762.1	557915	560366	+	2452	55	57	52	63	40	68	81	56	39	42	43	47	37	67	60	52	63	57
gene66	NC_015762.1	563284	566568	-	3285	314	339	373	161	321	350	386	324	297	356	313	328	309	312	328	294	392	372
gene67	NC_015762.1	567258	594273	-	27016	1057	1480	1144	602	838	996	1049	924	974	1039	961	798	888	825	915	744	1377	951
gene68	NC_015762.1	636302	638221	+	1920	89	90	88	109	89	69	78	76	74	94	89	58	89	97	76	71	123	116
gene69	NC_015762.1	638429	642075	+	3647	465	461	482	409	414	466	516	428	381	419	482	393	422	439	398	367	434	452
gene70	NC_015762.1	642513	652418	+	9906	193	221	202	192	178	161	174	138	181	179	165	134	137	169	156	160	177	129
gene71	NC_015762.1	669472	721372	-	51901	9	6	5	0	2	10	4	6	4	4	9	2	2	7	6	3	5	6
gene72	NC_015762.1	696274	746331	+	50058	241	243	227	24	116	240	185	190	154	194	198	126	153	193	168	93	179	141
gene73	NC_015762.1	789824	861498	+	71675	346	369	353	107	285	310	353	305	242	349	371	276	271	294	316	252	349	272
gene74	NC_015762.1	795874	805991	-	10118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene75	NC_015762.1	852325	876499	-	24175	191	301	207	51	148	155	123	173	190	161	122	129	131	92	146	88	153	104
gene76	NC_015762.1	896949	905376	+	8428	564	608	490	292	385	443	433	382	451	432	487	376	380	425	395	371	483	440
gene77	NC_015762.1	905431	907589	-	2159	3378	3586	3252	3456	2730	3084	3401	2855	3295	2704	2809	2310	3007	2793	2898	2509	3540	2986
gene78	NC_015762.1	908216	926916	+	18701	1794	2009	1620	1201	1247	1488	1495	1306	1538	1439	1317	1187	1378	1404	1349	1070	1752	1344
gene79	NC_015762.1	930444	945077	-	14634	1230	1465	1291	295	1054	1281	1338	1133	1018	1208	1191	1012	962	942	1031	979	1169	1166
gene80	NC_015762.1	945565	948077	+	2513	3	4	3	2	3	8	5	6	3	6	4	2	2	0	3	5	8	6
gene81	NC_015762.1	945627	949659	+	4033	272	276	244	198	237	221	326	187	193	194	262	204	223	242	204	198	289	269
gene82	NC_015762.1	949451	952347	-	2897	390	359	370	324	291	342	423	314	272	332	346	282	312	314	316	262	385	293
gene83	NC_015762.1	952229	957110	+	4882	203	168	149	139	142	184	181	133	136	119	146	95	123	150	125	136	133	175
gene84	NC_015762.1	957955	960733	-	2779	368	454	473	255	385	442	499	365	373	410	398	322	422	388	361	349	505	446
gene85	NC_015762.1	961095	968684	+	7590	543	640	538	113	447	525	557	433	438	563	517	425	452	391	465	395	549	490
gene86	NC_015762.1	978900	1019725	-	40826	858	866	894	83	634	967	812	696	603	749	742	490	567	673	559	490	626	676
gene87	NC_015762.1	1023791	1028852	+	5062	1	5	14	0	5	1	0	4	2	4	4	0	2	3	5	1	1	2
gene88	NC_015762.1	1079853	1086065	-	6213	86	103	99	54	135	106	137	150	66	97	83	94	100	136	115	107	153	114
gene89	NC_015762.1	1087966	1088610	-	645	61	81	127	96	215	132	231	78	46	106	168	151	57	182	99	214	113	209
gene90	NC_015762.1	1088724	1089321	+	598	21	18	42	12	42	29	41	11	5	29	53	37	22	43	29	48	28	46
gene91	NC_015762.1	1090861	1091334	-	474	7	5	12	8	16	10	15	3	1	13	15	28	2	13	5	20	5	33
gene92	NC_015762.1	1091493	1091959	+	467	9	2	17	10	22	14	23	9	4	28	23	28	11	28	13	16	16	30
gene93	NC_015762.1	1094899	1095877	+	979	95	47	56	69	118	79	88	76	53	99	108	127	70	97	115	126	186	110
gene94	NC_015762.1	1098305	1098833	-	529	14	5	16	6	17	19	14	8	4	13	33	21	14	17	8	31	10	27
gene95	NC_015762.1	1101405	1101819	+	415	8	25	23	18	23	15	41	18	6	11	31	28	16	47	16	48	25	41
gene96	NC_015762.1	1102793	1105013	+	2221	183	155	173	134	119	182	137	124	133	123	117	115	143	140	160	99	159	106
gene97	NC_015762.1	1105186	1115798	-	10613	333	521	751	623	1156	1340	988	574	893	1053	666	1236	1737	928	1044	586	939	832
gene98	NC_015762.1	1120469	1174007	+	53539	452	356	470	104	251	450	362	392	306	353	339	222	268	380	292	131	176	288
gene99	NC_015762.1	1181860	1183853	-	1994	5	8	7	1	8	16	5	9	3	6	9	5	5	13	4	4	2	7
gene100	NC_015762.1	1189416	1199493	-	10078	583	600	521	255	416	403	482	383	430	446	415	343	349	416	467	344	510	398
gene101	NC_015762.1	1200738	1206141	+	5404	258	231	227	300	194	210	254	198	222	247	202	129	211	217	245	179	268	209
gene102	NC_015762.1	1205496	1211478	-	5983	4415	4408	4477	2582	4044	3983	4730	3885	3889	4373	3771	3657	3638	3440	3935	3887	4819	3923
gene103	NC_015762.1	1212348	1216140	+	3793	963	1074	898	643	763	933	920	828	766	744	913	723	816	778	792	725	938	833
gene104	NC_015762.1	1217099	1219039	+	1941	107	112	80	88	101	100	104	84	68	65	77	68	82	96	85	85	116	98
gene105	NC_015762.1	1219320	1221975	-	2656	2423	2785	2455	1776	2079	2297	2566	2175	1817	2016	2223	1979	2231	2080	2190	1919	2526	2083
gene106	NC_015762.1	1222351	1225829	+	3479	106	80	64	51	48	63	66	70	70	43	50	49	56	43	71	62	76	44
gene107	NC_015762.1	1229526	1282718	-	53193	172	155	135	17	94	163	78	143	104	116	107	74	91	97	89	65	119	91
gene108	NC_015762.1	1283105	1285182	+	2078	490	474	427	428	393	385	493	379	373	337	404	345	401	425	441	371	514	382
gene109	NC_015762.1	1285284	1291182	-	5899	579	486	483	442	486	414	607	536	555	401	459	357	517	500	494	373	557	530
gene110	NC_015762.1	1294008	1296637	+	2630	293	281	292	132	206	275	269	274	184	205	260	187	256	236	247	170	294	205
gene111	NC_015762.1	1296869	1299299	-	2431	191	286	291	180	194	155	218	153	176	191	214	182	136	176	147	165	242	159
gene112	NC_015762.1	1298982	1304924	-	5943	521	611	554	263	478	430	571	402	388	504	365	408	479	341	457	383	503	433
gene113	NC_015762.1	1306969	1320849	+	13881	2309	2275	2586	1990	2686	3039	3424	2439	2733	2461	2190	2246	2451	2419	2367	2081	2627	2487
gene114	NC_015762.1	1320891	1323391	-	2501	311	409	319	263	312	259	300	230	379	291	307	231	220	289	259	281	277	279
gene115	NC_015762.1	1324020	1328281	+	4262	1604	1358	1236	1377	1071	1041	1207	856	1327	947	1113	872	993	1022	1071	1097	1302	1067
gene116	NC_015762.1	1328505	1330295	+	1791	41	28	40	22	30	30	55	42	39	37	26	34	45	25	39	43	42	36
gene117	NC_015762.1	1425059	1427546	+	2488	13	9	19	4	17	16	21	31	8	11	17	18	20	24	25	17	16	28
gene118	NC_015762.1	1427754	1429775	-	2022	1	1	0	0	2	2	0	2	0	0	0	3	1	1	0	2	3	2
gene119	NC_015762.1	1430339	1431724	-	1386	17	9	2	2	5	4	2	10	1	0	6	1	2	4	9	0	3	2
gene120	NC_015762.1	1432697	1468497	+	35801	2467	3851	3880	1921	3443	3819	3232	3039	1755	3573	2532	2789	3063	3937	3292	3699	2751	3877
gene121	NC_015762.1	1446217	1452662	-	6446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene122	NC_015762.1	1467600	1478806	-	11207	2279	2234	2452	617	1661	2480	2172	2203	1687	2089	2536	1605	1668	1802	2025	1488	2269	1562
gene123	NC_015762.1	1479667	1479740	-	74	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene124	NC_015762.1	1481596	1482505	+	910	1	2	3	2	2	1	1	0	3	4	3	1	1	2	5	5	4	0
gene125	NC_015762.1	1483095	1485942	+	2848	1	3	1	3	2	4	2	3	5	0	1	3	5	3	3	2	1	5
gene126	NC_015762.1	1495577	1498623	-	3047	51	58	45	54	19	39	32	27	63	42	22	31	24	47	36	13	53	46
gene127	NC_015762.1	1499084	1566957	+	67874	6009	6440	5141	1711	4147	4719	5940	4952	5449	6505	4581	4170	3695	2323	4616	3745	5740	4673
gene128	NC_015762.1	1566783	1567926	+	1144	87	113	84	0	73	111	105	110	108	140	78	80	83	41	103	65	91	113
gene129	NC_015762.1	1567882	1593799	+	25918	9787	10572	8387	855	6509	8768	8653	9774	9211	10735	6936	6519	8354	4509	9768	6475	10568	8628
gene130	NC_015762.1	1589076	1608203	+	19128	9208	9732	8554	5621	6703	6994	8036	8248	8407	8385	6440	6672	8419	6140	8527	6180	10629	7785
gene131	NC_015762.1	1609917	1625633	+	15717	1522	1511	1390	737	859	1492	1185	1273	1048	975	992	748	1085	1221	1099	578	770	1032
gene132	NC_015762.1	1625691	1630507	+	4817	41	36	36	19	51	40	35	23	40	14	26	23	34	29	51	9	16	40
gene133	NC_015762.1	1630656	1637009	-	6354	657	688	726	432	670	765	805	650	566	680	618	561	584	581	676	600	779	698
gene134	NC_015762.1	1637149	1643479	+	6331	785	793	743	222	654	776	841	657	621	724	675	587	609	595	651	630	763	689
gene135	NC_015762.1	1687838	1998509	-	310672	371	352	306	134	221	358	269	252	270	287	250	220	283	226	270	217	354	228
gene136	NC_015762.1	2008676	2009645	+	970	343	300	314	255	301	287	445	238	262	238	253	250	275	289	285	292	349	367
gene137	NC_015762.1	2009798	2013341	-	3544	270	256	251	167	222	237	261	269	200	251	205	208	225	193	255	193	297	223
gene138	NC_015762.1	2013500	2015342	+	1843	96	110	84	65	84	99	113	82	96	64	90	68	64	77	76	79	94	84
gene139	NC_015762.1	2015140	2017091	-	1952	352	367	397	292	334	326	410	326	303	257	328	277	297	327	302	289	331	345
gene140	NC_015762.1	2017223	2020199	+	2977	524	541	520	293	497	527	734	498	485	460	490	448	445	445	405	485	598	605
gene141	NC_015762.1	2020629	2022705	-	2077	315	299	292	251	303	374	380	248	276	237	278	284	281	309	242	256	305	299
gene142	NC_015762.1	2022785	2034592	+	11808	697	712	580	230	509	646	601	553	533	550	563	506	554	471	614	486	597	555
gene143	NC_015762.1	2035073	2036875	+	1803	2551	2226	2150	3028	2236	2303	2798	1843	2508	2072	2025	1880	2128	2220	2110	2216	2732	2554
gene144	NC_015762.1	2036966	2039593	-	2628	276	324	291	232	301	313	428	266	263	236	271	261	258	275	256	254	365	338
gene145	NC_015762.1	2039670	2044888	+	5219	238	263	234	81	226	251	245	200	192	221	227	224	202	188	226	193	229	251
gene146	NC_015762.1	2046718	2047617	-	900	422	388	327	467	408	448	571	331	314	327	370	347	359	382	301	368	439	483
gene147	NC_015762.1	2048021	2493142	+	445122	2559	2783	2448	1021	2186	2032	2326	2471	1976	2698	2182	2049	2245	2139	2456	2040	3036	2370
gene148	NC_015762.1	2497226	2510227	+	13002	521	554	640	624	647	572	704	450	477	666	661	655	541	579	560	635	713	637
gene149	NC_015762.1	2497874	2501727	-	3854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene150	NC_015762.1	2510241	2511384	-	1144	200	233	191	191	183	236	281	167	165	142	203	173	168	170	149	214	223	260
gene151	NC_015762.1	2511306	2512396	+	1091	135	141	152	97	131	132	140	88	110	83	139	92	113	100	106	110	143	122
gene152	NC_015762.1	2512485	2513426	-	942	278	276	276	295	317	269	360	222	250	210	288	251	231	319	230	290	328	322
gene153	NC_015762.1	2513790	2518830	+	5041	1127	1216	1163	565	1154	1407	1432	1081	953	1017	1066	965	994	1190	998	1065	1294	1246
gene154	NC_015762.1	2519622	2525883	+	6262	463	536	529	400	427	496	513	409	407	460	452	419	451	464	427	398	497	419
gene155	NC_015762.1	2527575	2554201	+	26627	52	68	54	28	36	52	55	45	51	65	45	36	53	47	66	40	87	66
gene156	NC_015762.1	2564212	2727213	-	163002	696	774	731	131	559	626	612	607	524	642	628	460	454	417	474	503	580	547
gene157	NC_015762.1	2727671	2729917	-	2247	184	164	173	145	151	136	174	132	138	112	142	134	140	153	119	153	169	156
gene158	NC_015762.1	2732506	2737316	+	4811	2	3	2	0	0	0	1	1	0	4	1	2	1	0	1	0	5	1
gene160	NC_015762.1	2740496	2741920	+	1425	124	129	121	99	130	87	133	94	115	92	82	101	93	115	89	86	127	122
gene161	NC_015762.1	2742605	2768829	-	26225	736	692	688	223	582	835	757	681	493	621	566	476	585	649	617	442	556	690
gene162	NC_015762.1	2753681	2755030	+	1350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene163	NC_015762.1	2772995	2774340	+	1346	388	370	307	298	331	269	355	238	241	264	299	310	250	301	289	310	342	309
gene164	NC_015762.1	2774288	2775961	-	1674	227	222	214	215	224	218	297	181	186	173	207	175	190	215	165	195	255	218
gene165	NC_015762.1	2775954	2777043	+	1090	114	112	87	90	105	98	119	90	78	84	93	78	87	94	90	88	139	119
gene166	NC_015762.1	2777690	2781001	+	3312	26	39	24	46	53	22	50	29	36	31	32	28	17	45	32	40	40	30
gene167	NC_015762.1	2785332	2817207	-	31876	68	42	54	37	30	38	50	32	34	54	38	36	38	40	33	42	73	26
gene168	NC_015762.1	2819143	2821184	+	2042	200	199	188	169	161	201	205	153	140	161	166	127	160	150	207	156	266	162
gene169	NC_015762.1	2821170	2822425	-	1256	164	163	164	193	179	181	255	151	167	148	143	151	166	173	163	153	193	188
gene170	NC_015762.1	2822290	2823624	+	1335	248	250	227	236	235	194	282	175	204	182	214	189	168	199	202	222	216	260
gene171	NC_015762.1	2823796	2843863	-	20068	340	483	484	135	310	206	266	465	196	380	558	241	206	276	368	430	568	175
gene172	NC_015762.1	2851353	2853162	+	1810	145	129	134	152	106	102	125	79	115	98	104	82	103	103	100	83	99	108
gene173	NC_015762.1	2854072	3220176	-	366105	630	629	560	158	365	686	420	537	497	551	491	353	437	457	483	272	444	446
gene174	NC_015762.1	3451943	3533402	-	81460	0	1	3	0	0	2	0	1	1	0	1	1	0	0	0	1	0	1
gene175	NC_015762.1	3618297	3620829	+	2533	376	338	339	390	304	300	415	243	309	225	297	253	299	273	266	316	335	292
gene176	NC_015762.1	3620820	3624290	-	3471	114	105	103	82	78	100	138	65	76	68	95	57	74	88	78	67	88	91
gene177	NC_015762.1	3624999	3629618	-	4620	449	397	409	331	337	425	547	322	394	267	381	270	283	383	312	369	427	420
gene178	NC_015762.1	3629891	3631290	+	1400	200	223	250	203	237	262	353	204	213	202	230	214	190	201	222	221	244	254
gene179	NC_015762.1	3631480	3632146	+	667	131	151	99	140	135	135	174	127	140	134	128	111	105	136	125	117	152	144
gene180	NC_015762.1	3632053	3633303	-	1251	450	531	351	312	317	421	417	385	278	359	382	297	341	351	384	306	411	366
gene181	NC_015762.1	3633321	3633822	-	502	136	158	124	65	111	123	127	131	107	110	114	88	110	97	126	113	118	124
gene182	NC_015762.1	3634467	3644418	+	9952	1535	1558	842	483	779	1824	1019	1440	753	885	1220	708	1028	669	1325	567	917	471
gene183	NC_015762.1	3645307	3646796	-	1490	534	498	499	448	509	537	678	439	451	393	490	440	432	553	385	524	520	577
gene184	NC_015762.1	3647057	3648233	+	1177	229	237	214	180	203	205	239	185	162	188	203	167	177	185	206	181	252	206
gene185	NC_015762.1	3648138	3650317	-	2180	217	215	224	182	187	214	242	200	166	158	166	160	173	172	188	185	224	206
gene186	NC_015762.1	3650660	3651153	+	494	179	164	159	180	168	158	249	149	130	139	154	141	161	153	131	176	226	193
gene187	NC_015762.1	3651169	3652708	-	1540	112	117	109	113	101	131	174	107	100	83	94	88	123	121	95	107	120	113
gene188	NC_015762.1	3652816	3654748	+	1933	628	656	641	551	617	620	708	611	526	552	596	517	601	580	636	562	732	593
gene189	NC_015762.1	3654719	3656059	-	1341	75	56	58	60	93	65	99	68	47	41	75	60	58	66	49	55	54	46
gene190	NC_015762.1	3655849	3658015	+	2167	317	298	343	314	347	393	450	352	276	275	318	303	273	325	287	357	394	372
gene191	NC_015762.1	3658374	3659257	-	884	132	120	128	125	137	132	195	117	96	104	137	116	116	132	113	125	146	155
gene192	NC_015762.1	3659289	3662990	+	3702	461	423	427	296	318	376	441	335	333	298	381	336	340	377	334	328	383	366
gene193	NC_015762.1	3663556	3666916	-	3361	361	413	367	229	353	327	363	321	264	320	300	296	334	326	317	281	363	315
gene194	NC_015762.1	3667876	3670007	-	2132	484	512	384	541	372	359	369	263	403	406	479	334	303	383	344	453	374	438
gene195	NC_015762.1	3669613	3670213	+	601	22	28	30	29	20	18	36	24	28	28	15	25	21	20	17	20	33	36
gene196	NC_015762.1	3670520	3683049	+	12530	5639	6652	4616	1094	2061	8134	3235	6023	2097	2950	4837	1700	3818	1722	4004	1452	4000	1874
gene197	NC_015762.1	3683185	3685112	-	1928	329	346	314	244	301	292	398	243	225	213	253	225	249	257	227	244	331	355
gene198	NC_015762.1	3685400	3692475	-	7076	459	520	473	234	384	494	526	377	347	421	422	338	365	370	372	384	456	423
gene199	NC_015762.1	3692529	3695164	+	2636	306	328	314	327	292	255	322	261	260	234	281	232	238	289	272	285	302	276
