# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/Ooceraea_biroi_genome/GCF_003672135.1_Obir_v5.4_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR2969431_dupsRemoved.bam" "SRR2969433_dupsRemoved.bam" "SRR2969435_dupsRemoved.bam" "SRR2969436_dupsRemoved.bam" "SRR2969437_dupsRemoved.bam" "SRR2969438_dupsRemoved.bam" "SRR2969440_dupsRemoved.bam" "SRR2969447_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2969431_dupsRemoved.bam	SRR2969433_dupsRemoved.bam	SRR2969435_dupsRemoved.bam	SRR2969436_dupsRemoved.bam	SRR2969437_dupsRemoved.bam	SRR2969438_dupsRemoved.bam	SRR2969440_dupsRemoved.bam	SRR2969447_dupsRemoved.bam
gene-LOC105285468	NC_039506.1	412793	450860	-	38068	20	43	6	28	11	10	16	29
gene-LOC105285445	NC_039506.1	458174	503061	-	44888	1255	883	586	1033	647	681	952	945
gene-LOC113562127	NC_039506.1	534042	537304	-	3263	807	711	521	421	600	515	1116	867
gene-LOC113562288	NC_039506.1	541732	542562	+	831	0	0	0	0	0	1	3	0
gene-LOC113562287	NC_039506.1	545053	551825	+	6773	63	63	25	28	36	28	61	76
gene-LOC105285447	NC_039506.1	559004	580516	+	21513	88	71	42	41	44	42	93	65
gene-LOC113562164	NC_039506.1	609439	611633	+	2195	110	161	124	96	71	147	84	246
gene-LOC113562147	NC_039506.1	614991	620741	+	5751	17	11	16	9	17	4	8	5
gene-LOC105285450	NC_039506.1	621875	626760	+	4886	94	43	103	62	58	16	103	77
gene-LOC113561806	NC_039506.1	634119	635144	-	1026	437	373	245	247	255	256	401	394
gene-LOC105285454	NC_039506.1	635521	637076	-	1556	7272	8139	4709	4217	4801	5403	6464	8535
gene-LOC105285455	NC_039506.1	638014	681492	-	43479	2243	2704	2133	2376	2319	2175	2224	2126
gene-LOC113562328	NC_039506.1	689399	696831	-	7433	10	17	9	1	8	6	12	11
gene-LOC113562514	NC_039506.1	710760	714823	+	4064	1038	958	517	515	514	607	930	919
gene-LOC113561370	NC_039506.1	721010	827029	-	106020	4761	3382	4055	3971	3673	3044	4649	2692
gene-LOC113563220	NC_039506.1	842192	851547	-	9356	5	3	4	4	3	9	6	2
gene-LOC113562455	NC_039506.1	882928	923736	+	40809	56	75	80	71	76	56	78	59
gene-LOC113561445	NC_039506.1	926117	968035	-	41919	17957	10848	11114	8514	10977	5492	18108	8987
gene-LOC113562456	NC_039506.1	968531	974493	-	5963	51	26	60	64	36	35	38	28
gene-LOC105285465	NC_039506.1	975508	979159	-	3652	6551	4051	3712	2705	4741	2505	8579	3924
gene-LOC113561804	NC_039506.1	989905	1003224	-	13320	1854	2014	1142	1293	809	1105	1588	2073
gene-LOC113563226	NC_039506.1	1010456	1015629	+	5174	3	0	1	0	3	1	2	0
gene-LOC113563227	NC_039506.1	1016111	1021594	+	5484	9	0	1	1	5	0	2	0
gene-LOC105286742	NC_039506.1	1022113	1028788	-	6676	509	556	557	476	632	517	511	469
gene-LOC105286748	NC_039506.1	1034877	1051332	+	16456	176	163	149	95	174	79	215	124
gene-LOC105286747	NC_039506.1	1056151	1064257	+	8107	905	706	454	352	588	404	921	661
gene-LOC105286745	NC_039506.1	1073239	1084369	+	11131	39	13	13	10	22	10	35	25
gene-LOC105286744	NC_039506.1	1086676	1087852	+	1177	14	6	15	6	8	8	11	5
gene-LOC113561379	NC_039506.1	1087708	1093746	+	6039	18502	14349	16051	13712	19613	14322	22479	12900
gene-LOC105286750	NC_039506.1	1095614	1100480	+	4867	11506	11044	10512	7745	11743	8839	13390	9954
gene-LOC105286751	NC_039506.1	1101431	1104726	-	3296	1185	1197	719	688	865	677	1250	1081
gene-LOC105286752	NC_039506.1	1104828	1109853	-	5026	233	248	201	209	214	227	314	215
gene-LOC113562614	NC_039506.1	1110457	1112038	+	1582	6815	4958	3916	2497	4334	2673	7234	4084
gene-LOC105286753	NC_039506.1	1112141	1115824	+	3684	1592	1297	1042	966	959	827	1551	1201
gene-LOC113561443	NC_039506.1	1116271	1134722	-	18452	1148	1199	988	944	873	698	837	706
gene-LOC105286757	NC_039506.1	1135510	1140854	+	5345	1359	1156	1010	892	1168	822	1791	977
gene-LOC113563559	NC_039506.1	1143087	1158057	-	14971	1850	1670	1195	1065	1137	981	1781	1456
gene-LOC113562013	NC_039506.1	1167455	1174230	-	6776	830	754	415	474	453	518	812	792
gene-LOC105286761	NC_039506.1	1178352	1182330	+	3979	676	846	422	507	393	540	682	848
gene-LOC113563593	NC_039506.1	1182815	1204717	+	21903	2221	2430	1288	1553	1220	1361	2039	1759
gene-LOC113563228	NC_039506.1	1209424	1210350	+	927	43	59	34	28	28	58	45	65
gene-LOC113562616	NC_039506.1	1212985	1218497	+	5513	2520	2865	1407	1662	1481	2041	2402	2973
gene-LOC105286768	NC_039506.1	1219191	1224110	-	4920	3058	2853	2024	1982	1854	2191	3326	2904
gene-LOC105286767	NC_039506.1	1224153	1226411	+	2259	11	10	22	12	18	4	31	12
gene-LOC105286766	NC_039506.1	1226545	1245217	-	18673	122	132	89	105	89	44	129	75
gene-LOC109611478	NC_039506.1	1245202	1246259	-	1058	3	2	2	2	2	0	0	1
gene-LOC105286769	NC_039506.1	1246926	1254279	-	7354	1788	1369	1258	995	1551	858	1770	970
gene-LOC105286773	NC_039506.1	1276058	1279061	-	3004	1433	1496	677	932	886	973	1670	1660
gene-LOC105287325	NC_039506.1	1279061	1289519	+	10459	102	76	61	61	56	79	123	109
gene-LOC109611476	NC_039506.1	1279657	1286860	-	7204	0	0	0	0	0	0	0	0
gene-LOC113562536	NC_039506.1	1290275	1295969	+	5695	576	450	427	433	400	369	654	433
gene-LOC113562445	NC_039506.1	1301553	1305884	+	4332	873	1524	595	789	616	1102	844	1741
gene-LOC105286777	NC_039506.1	1306009	1310062	-	4054	567	507	340	318	304	365	593	470
gene-LOC105286778	NC_039506.1	1310161	1316639	+	6479	662	777	710	659	820	665	825	609
gene-LOC113562446	NC_039506.1	1318448	1323643	-	5196	1624	1383	1742	1267	1355	896	1722	1010
gene-LOC105286783	NC_039506.1	1323803	1340668	+	16866	524	523	404	473	269	293	316	346
gene-LOC113561377	NC_039506.1	1340089	1347189	-	7101	34919	27921	19444	16354	24063	17834	41596	29562
gene-LOC105286781	NC_039506.1	1345706	1346696	+	991	0	0	0	0	0	0	0	0
gene-LOC105286780	NC_039506.1	1358301	1363068	+	4768	5	2	3	6	0	1	0	0
gene-LOC113561583	NC_039506.1	1369364	1372754	-	3391	387	322	296	305	390	253	489	284
gene-LOC105286785	NC_039506.1	1373052	1377610	+	4559	2130	2257	1131	1201	1337	1293	2434	2127
gene-LOC105286786	NC_039506.1	1378751	1381679	-	2929	1270	1508	840	746	904	840	1375	1414
gene-LOC105286788	NC_039506.1	1384052	1390738	+	6687	9467	9445	6335	6782	7006	8159	11312	10077
gene-LOC105286792	NC_039506.1	1391214	1400913	-	9700	339	317	239	220	273	248	407	331
gene-LOC113562117	NC_039506.1	1406440	1408997	-	2558	729	732	459	468	480	599	719	760
gene-LOC113562000	NC_039506.1	1409378	1412230	+	2853	183	143	94	121	108	110	198	162
gene-LOC113563233	NC_039506.1	1417760	1422516	-	4757	605	631	355	437	386	417	683	679
gene-LOC109611029	NC_039506.1	1421088	1421723	-	636	0	0	0	0	0	0	0	0
gene-LOC113562372	NC_039506.1	1453661	1457846	-	4186	7	19	10	10	13	9	6	8
gene-LOC113563303	NC_039506.1	1468188	1470988	+	2801	5	8	13	27	12	9	4	4
gene-LOC105280235	NC_039506.1	1483118	1487117	+	4000	2487	2206	1368	1422	1624	1556	2813	2252
gene-LOC105280236	NC_039506.1	1487779	1489683	+	1905	2517	2753	1381	1434	1607	1836	2695	2723
gene-LOC105280242	NC_039506.1	1490139	1498383	+	8245	6915	4029	4070	4142	4410	3247	8617	4491
gene-LOC105280239	NC_039506.1	1496871	1502037	-	5167	86	59	54	31	63	51	102	71
gene-LOC105280238	NC_039506.1	1502678	1532034	-	29357	126	145	81	112	95	62	113	63
gene-LOC105280237	NC_039506.1	1518464	1520843	+	2380	0	0	0	0	0	0	0	0
gene-LOC105280243	NC_039506.1	1533152	1539364	+	6213	496	422	417	280	563	385	923	644
gene-LOC105280244	NC_039506.1	1540640	1547998	-	7359	1701	1209	1704	1378	1192	856	1873	1273
gene-LOC105280245	NC_039506.1	1548607	1554408	+	5802	400	305	288	216	274	208	727	538
gene-LOC105280246	NC_039506.1	1556090	1559390	+	3301	317	477	121	98	198	206	260	580
gene-LOC105280248	NC_039506.1	1559629	1564387	+	4759	14	5	2	3	3	3	4	0
gene-LOC105280249	NC_039506.1	1566263	1570662	+	4400	22	14	22	14	10	13	2	11
gene-LOC105280250	NC_039506.1	1571090	1579424	-	8335	21	49	15	34	14	30	16	17
gene-LOC105280251	NC_039506.1	1588975	1592599	+	3625	1	11	0	3	2	0	0	1
gene-LOC105280252	NC_039506.1	1609821	1619937	+	10117	126	154	42	63	60	38	92	69
gene-LOC105280253	NC_039506.1	1621287	1627507	+	6221	1541	1483	1057	1327	1002	1101	1639	1387
gene-LOC105280254	NC_039506.1	1627551	1630427	+	2877	132	109	171	221	229	206	145	174
gene-LOC105280255	NC_039506.1	1630171	1648445	+	18275	588	597	501	557	524	438	667	558
gene-LOC105280256	NC_039506.1	1648791	1651014	-	2224	120	245	102	159	94	150	105	199
gene-LOC105280257	NC_039506.1	1651252	1656305	-	5054	3380	4940	1815	2343	1626	2627	2847	4608
gene-LOC105280259	NC_039506.1	1656645	1659417	-	2773	6028	5587	4387	3635	4674	4106	6012	5162
gene-LOC105280260	NC_039506.1	1659798	1664519	+	4722	5956	5672	3852	3240	4312	3552	7291	5924
gene-LOC105280261	NC_039506.1	1664607	1665611	+	1005	4655	4106	3263	2192	3959	2853	5590	3945
gene-LOC105280268	NC_039506.1	1666513	1674865	-	8353	6648	6048	3279	3712	4239	4852	7801	7852
gene-LOC109611032	NC_039506.1	1673527	1674202	+	676	0	0	0	0	0	0	0	0
gene-LOC105280267	NC_039506.1	1675027	1676938	+	1912	168	119	109	72	111	90	159	111
gene-LOC105280264	NC_039506.1	1697392	1703100	-	5709	53	21	89	84	69	40	61	26
gene-LOC105280263	NC_039506.1	1710738	1725812	-	15075	1256	1898	953	1115	713	945	975	1098
gene-LOC105280262	NC_039506.1	1726070	1728383	+	2314	544	469	1265	1085	1827	1836	963	753
gene-LOC105280269	NC_039506.1	1728863	1739284	-	10422	3292	3044	2575	2011	2972	1959	3476	2538
gene-LOC105280270	NC_039506.1	1740134	1743061	-	2928	2512	2473	1513	1244	1914	1717	2976	2507
gene-LOC105280271	NC_039506.1	1744452	1811959	+	67508	5368	4629	3493	4173	3494	2761	5055	3891
gene-LOC105280272	NC_039506.1	1812143	1818351	+	6209	2399	2320	1531	1716	1454	1659	2561	2118
gene-LOC113563424	NC_039506.1	1818429	1820871	-	2443	2	3	9	2	4	4	4	1
gene-LOC105280274	NC_039506.1	1820979	1827906	-	6928	24	33	18	21	23	21	6	17
gene-LOC105280276	NC_039506.1	1827998	1832049	+	4052	2494	2657	1465	1492	1614	1596	2583	2412
gene-LOC105280275	NC_039506.1	1831788	1843188	-	11401	1999	1629	1606	1028	1922	980	2220	1274
gene-LOC105280277	NC_039506.1	1843321	1844977	+	1657	2205	2579	1385	1140	1427	1561	2229	2613
gene-LOC105280279	NC_039506.1	1844714	1846282	-	1569	1298	1249	739	693	799	844	1297	1379
gene-LOC105280280	NC_039506.1	1846650	1853079	+	6430	19333	19901	13692	11387	15262	13738	22976	19434
gene-LOC105280282	NC_039506.1	1853642	1892156	-	38515	637	409	457	395	474	284	732	429
gene-LOC105280281	NC_039506.1	1894429	1901254	+	6826	151	161	147	164	121	117	156	137
gene-LOC105280284	NC_039506.1	1901586	1902584	-	999	169	199	131	183	169	201	168	212
gene-LOC105280285	NC_039506.1	1902857	1907312	-	4456	1684	1806	1393	1375	1552	1718	1915	1959
gene-LOC105280286	NC_039506.1	1907553	1911987	+	4435	3479	2812	2091	1782	2708	1827	4074	2672
gene-LOC105280289	NC_039506.1	1912688	1914891	-	2204	1602	1255	924	736	1208	937	1895	1210
gene-LOC105280288	NC_039506.1	1915007	1918898	+	3892	837	945	597	712	549	621	1062	816
gene-LOC105280287	NC_039506.1	1919007	1920581	-	1575	1897	2124	1170	1189	1299	1384	2052	2250
gene-LOC105280290	NC_039506.1	1937406	1959163	+	21758	0	1	2	4	6	0	2	2
gene-LOC105280293	NC_039506.1	1965235	1968839	-	3605	248	125	207	117	220	203	461	126
gene-LOC105280292	NC_039506.1	1969343	1983319	+	13977	4022	3681	3510	3081	3805	2388	5285	3359
gene-LOC105280291	NC_039506.1	1984409	1992359	+	7951	4	21	3	10	4	14	5	14
gene-LOC105280294	NC_039506.1	2008235	2100012	+	91778	4367	3419	3087	3673	3178	2535	4173	2670
gene-LOC113563190	NC_039506.1	2063195	2064822	+	1628	0	0	0	0	0	0	0	0
gene-LOC105280295	NC_039506.1	2101968	2104994	-	3027	17912	16662	10660	8859	12407	11438	20319	16492
gene-LOC105280296	NC_039506.1	2106150	2112574	-	6425	3341	3040	2271	2204	2374	2232	3566	2873
gene-LOC105280297	NC_039506.1	2112931	2114297	+	1367	8213	9979	5138	5066	4956	6539	7515	10116
gene-LOC105280298	NC_039506.1	2114658	2117635	+	2978	56	30	49	46	97	128	47	30
gene-LOC105280302	NC_039506.1	2118552	2123198	+	4647	3285	2901	1669	1858	1806	1818	3793	3037
gene-LOC105280301	NC_039506.1	2122984	2134858	-	11875	227	216	164	186	176	149	266	194
gene-LOC105280299	NC_039506.1	2134864	2140898	+	6035	157	68	84	74	96	71	143	128
gene-LOC105280478	NC_039506.1	2166464	2169943	+	3480	130	149	100	89	178	104	215	146
gene-LOC105280305	NC_039506.1	2169852	2172659	-	2808	2125	2203	1289	1426	1320	1423	2232	2605
gene-LOC105280304	NC_039506.1	2172791	2181709	+	8919	4467	4144	3574	3949	3637	3681	5457	3842
gene-LOC105280306	NC_039506.1	2183297	2187485	-	4189	3355	2727	2425	2322	2738	2233	3984	2665
gene-LOC105280309	NC_039506.1	2187523	2189888	+	2366	2338	2439	1213	1193	1260	1503	2143	2479
gene-LOC105280308	NC_039506.1	2189918	2196768	-	6851	1320	2539	1188	1752	796	1751	1288	2361
gene-LOC105280307	NC_039506.1	2196910	2198565	+	1656	2219	2143	1410	1179	1625	1425	2593	2140
gene-LOC105280310	NC_039506.1	2199151	2201066	+	1916	1948	1969	991	991	999	1000	1834	2101
gene-LOC105280312	NC_039506.1	2201372	2203087	+	1716	2438	2056	1402	1145	1820	1492	2836	2135
gene-LOC105280311	NC_039506.1	2203015	2205481	-	2467	623	534	322	331	267	349	492	503
gene-LOC105280313	NC_039506.1	2205755	2207400	+	1646	17	13	6	9	8	8	4	7
gene-LOC105280314	NC_039506.1	2207410	2214200	-	6791	10817	8726	7058	7651	7936	7223	12090	8111
gene-LOC105280315	NC_039506.1	2215226	2252416	+	37191	7552	6575	4362	4286	4050	3335	6373	5256
gene-LOC113562084	NC_039506.1	2257772	2260054	-	2283	458	448	416	367	365	314	419	316
gene-LOC105280317	NC_039506.1	2260192	2273835	-	13644	6746	7250	5186	6607	4987	5509	6420	5736
gene-LOC105280319	NC_039506.1	2274108	2276090	-	1983	2667	2724	2052	1590	1926	2262	2529	2468
gene-LOC105280320	NC_039506.1	2276912	2300921	+	24010	7770	9933	14127	14167	13324	15009	8442	8276
gene-LOC105280321	NC_039506.1	2333611	2401780	+	68170	11277	10121	6265	7443	7393	5714	10064	8152
gene-LOC105280324	NC_039506.1	2402885	2444520	+	41636	16673	11336	12439	10532	17852	8298	20969	8577
gene-LOC105280479	NC_039506.1	2445587	2449424	-	3838	7418	6213	3760	4516	4610	4221	8140	7053
gene-LOC105280327	NC_039506.1	2449546	2452215	+	2670	719	713	350	525	406	541	829	662
gene-LOC105280326	NC_039506.1	2452175	2458187	-	6013	2977	2557	1621	1628	1800	1643	3461	2508
gene-LOC105280330	NC_039506.1	2458575	2478096	+	19522	513	479	189	214	449	313	722	817
gene-LOC105280329	NC_039506.1	2459485	2466721	-	7237	0	0	0	0	0	0	0	0
gene-LOC105280328	NC_039506.1	2470171	2476431	+	6261	0	0	0	0	0	0	0	0
gene-LOC105280331	NC_039506.1	2480118	2483270	+	3153	706	991	414	560	589	817	661	1231
gene-LOC105280332	NC_039506.1	2483709	2486134	+	2426	18	41	10	7	12	19	14	29
gene-LOC105280333	NC_039506.1	2487151	2493327	+	6177	54	39	53	45	55	58	132	41
gene-LOC105280338	NC_039506.1	2493838	2516693	-	22856	881	1322	652	986	441	755	709	1036
gene-LOC105280336	NC_039506.1	2503856	2509057	+	5202	0	0	0	0	0	0	0	0
gene-LOC105280334	NC_039506.1	2516785	2519076	-	2292	1745	1035	838	585	911	553	1551	956
gene-LOC105280339	NC_039506.1	2519421	2537908	-	18488	345	351	170	202	150	214	256	395
gene-LOC113562924	NC_039506.1	2527225	2529552	+	2328	0	0	0	0	0	0	0	0
gene-LOC105280342	NC_039506.1	2540858	2549143	-	8286	18250	15333	10559	10228	12745	10712	21028	15161
gene-LOC109611036	NC_039506.1	2549428	2550648	+	1221	11	11	6	5	11	4	8	5
gene-LOC105280340	NC_039506.1	2581872	2624750	-	42879	50	67	28	40	37	30	71	57
gene-LOC105280344	NC_039506.1	2625554	2768329	+	142776	1206	1593	732	795	807	587	1181	937
gene-LOC105280346	NC_039506.1	2975735	2977762	+	2028	1275	1180	643	880	612	803	1205	1254
gene-LOC113563432	NC_039506.1	2977805	2978381	-	577	44	32	24	31	17	29	47	46
gene-LOC105280347	NC_039506.1	2978018	2980152	-	2135	425	355	235	278	232	226	431	353
gene-LOC105280348	NC_039506.1	2980439	2984235	+	3797	419	302	212	285	227	282	451	409
gene-LOC105280480	NC_039506.1	2984300	2986478	-	2179	1	4	5	0	2	1	2	5
gene-LOC105280349	NC_039506.1	3011217	3026661	+	15445	1	21	2	4	7	4	2	2
gene-LOC105280350	NC_039506.1	3029817	3036266	-	6450	1	18	1	18	1	5	1	2
gene-LOC113562264	NC_039506.1	3069623	3073830	-	4208	48	51	31	24	33	38	63	42
gene-LOC105280351	NC_039506.1	3088072	3094391	+	6320	3468	2581	2016	1652	2352	1672	3880	2477
gene-LOC105280352	NC_039506.1	3094525	3095899	+	1375	88	69	99	126	200	201	138	120
gene-LOC105280353	NC_039506.1	3095779	3097173	-	1395	212	209	503	622	537	838	78	132
gene-LOC105280355	NC_039506.1	3097601	3098659	-	1059	2096	2694	1404	1270	1397	1651	2136	2633
gene-LOC105280354	NC_039506.1	3098732	3101084	+	2353	657	677	377	335	393	328	681	653
gene-LOC105280356	NC_039506.1	3101075	3102288	-	1214	1679	1659	1080	912	1193	955	2093	1652
gene-LOC105280357	NC_039506.1	3103161	3124793	-	21633	675	957	519	867	599	955	739	962
gene-LOC105280361	NC_039506.1	3124773	3142829	+	18057	27030	33593	15291	20026	17148	21032	26494	33164
gene-LOC105280362	NC_039506.1	3143814	3148120	+	4307	3531	3178	2058	1977	2138	2243	3970	3057
gene-LOC105280368	NC_039506.1	3148348	3150565	-	2218	35	68	46	53	44	45	40	49
gene-LOC105280367	NC_039506.1	3150975	3158734	+	7760	80	64	44	61	65	41	75	67
gene-LOC105280366	NC_039506.1	3158442	3160048	-	1607	368	275	187	192	203	205	321	333
gene-LOC105280364	NC_039506.1	3160386	3194398	+	34013	1783	1553	1397	1529	1525	1204	2455	1589
gene-LOC105280363	NC_039506.1	3195459	3201030	-	5572	968	756	538	597	599	495	991	839
gene-LOC105280370	NC_039506.1	3201345	3205959	+	4615	2747	2699	1841	1647	1920	1646	3204	2484
gene-LOC105280369	NC_039506.1	3205709	3207155	-	1447	142	236	76	107	104	111	146	189
gene-LOC105280374	NC_039506.1	3207271	3209474	+	2204	482	462	308	283	337	343	449	471
gene-LOC105280373	NC_039506.1	3208967	3211558	-	2592	2222	1959	888	1360	899	1219	2003	2326
gene-LOC113562728	NC_039506.1	3213140	3214872	+	1733	1143	1191	596	639	646	818	1118	1275
gene-LOC105280376	NC_039506.1	3216399	3221054	+	4656	5248	4793	3886	3878	4346	3656	6765	4519
gene-LOC105280375	NC_039506.1	3220554	3246907	-	26354	2497	2011	1865	2144	1823	1747	2447	1735
gene-LOC105280378	NC_039506.1	3247135	3248424	+	1290	341	385	179	202	144	206	272	419
gene-LOC105280377	NC_039506.1	3248415	3250438	-	2024	2233	1981	1203	1100	1322	1272	2515	2124
gene-LOC105280380	NC_039506.1	3253036	3254447	-	1412	192	130	119	95	92	77	133	101
gene-LOC105280381	NC_039506.1	3254637	3259912	+	5276	2122	1884	1361	1514	1610	1509	3218	2167
gene-LOC105280382	NC_039506.1	3260635	3264641	-	4007	1446	1272	783	991	954	958	1609	1405
gene-LOC105280383	NC_039506.1	3267119	3278572	-	11454	2257	2404	1918	1788	1496	1235	1863	1620
gene-LOC105280388	NC_039506.1	3279869	3281821	+	1953	751	746	440	431	501	483	824	787
gene-LOC105280387	NC_039506.1	3281407	3285301	-	3895	437	457	337	325	415	273	593	433
gene-LOC105280385	NC_039506.1	3285478	3307934	+	22457	168	137	162	122	148	99	173	83
gene-LOC105280384	NC_039506.1	3303674	3303972	-	299	0	0	0	0	0	0	0	0
gene-LOC105280390	NC_039506.1	3309878	3331658	+	21781	9849	10572	6510	7898	6182	8127	10562	10609
gene-LOC105280389	NC_039506.1	3331536	3332675	-	1140	1829	1663	1061	850	1186	1063	1935	1656
gene-LOC105280391	NC_039506.1	3332820	3336428	+	3609	2675	2595	1398	1635	1563	1739	2690	2761
gene-LOC105280393	NC_039506.1	3336855	3341146	+	4292	2295	3832	1484	2449	1150	2886	1819	3709
gene-LOC105280396	NC_039506.1	3341314	3342815	-	1502	1801	1761	1037	985	1100	1160	1812	1802
gene-LOC105280395	NC_039506.1	3342881	3348391	+	5511	5641	5905	3371	3841	3607	3968	5998	5722
gene-LOC105280394	NC_039506.1	3347117	3353849	-	6733	4668	4771	3430	3126	3658	3520	5666	4715
gene-LOC105280397	NC_039506.1	3353936	3370487	+	16552	2101	3024	1737	2245	1459	1967	1948	2623
gene-LOC105280398	NC_039506.1	3370804	3373861	-	3058	2710	2525	1623	1374	1743	1538	2863	2757
gene-LOC105280399	NC_039506.1	3374506	3382545	-	8040	2123	2255	1233	1383	1185	1399	2156	2279
gene-LOC113563435	NC_039506.1	3381118	3381753	-	636	0	0	0	0	0	0	0	0
gene-LOC105280402	NC_039506.1	3383759	3459176	+	75418	648	733	649	843	560	522	576	506
gene-LOC105280481	NC_039506.1	3430985	3432679	-	1695	0	0	0	0	0	0	0	0
gene-LOC105280400	NC_039506.1	3451150	3461705	-	10556	537	519	402	399	407	421	717	539
gene-LOC105280482	NC_039506.1	3473616	3508054	+	34439	33831	30265	19176	17665	20038	15212	31994	24787
gene-LOC105280483	NC_039506.1	3510457	3516115	+	5659	166	172	98	111	139	116	152	112
gene-LOC105280404	NC_039506.1	3517292	3520248	+	2957	5382	6622	3445	3627	3165	4031	4949	7227
gene-LOC105280405	NC_039506.1	3520799	3526220	+	5422	1571	1343	1035	1205	1126	1117	1866	1228
gene-LOC105280418	NC_039506.1	3526615	3539270	-	12656	1177	1315	1190	946	1457	1084	1230	1092
gene-LOC105280417	NC_039506.1	3542060	3552850	+	10791	269	232	207	194	253	275	334	242
gene-LOC105280415	NC_039506.1	3554710	3564021	-	9312	4675	4203	3086	3518	2769	3544	3706	4319
gene-LOC105280413	NC_039506.1	3564635	3571603	+	6969	8193	7775	4772	4644	4766	5262	8077	8150
gene-LOC105280412	NC_039506.1	3571730	3573037	+	1308	1133	996	768	768	735	678	1174	1003
gene-LOC113561681	NC_039506.1	3573402	3574498	+	1097	818	756	684	534	640	510	1001	739
gene-LOC105280410	NC_039506.1	3575547	3588126	-	12580	6651	6843	4536	5461	4433	5064	6871	5431
gene-LOC105280409	NC_039506.1	3587228	3593807	-	6580	5977	5158	4011	5034	3976	4580	6990	4841
gene-LOC105280407	NC_039506.1	3593831	3604780	+	10950	4620	4209	3022	2791	3366	3059	4925	3876
gene-LOC105280408	NC_039506.1	3593982	3599964	-	5983	0	0	0	0	0	0	0	0
gene-LOC105280422	NC_039506.1	3605259	3607572	-	2314	3530	3058	2351	2032	2797	2072	4496	3168
gene-LOC105280420	NC_039506.1	3608689	3618147	-	9459	27998	19793	20184	14593	28476	16540	39921	20311
gene-LOC105280419	NC_039506.1	3618662	3620262	+	1601	6564	7888	3879	3759	3898	5388	5744	9164
gene-LOC105280424	NC_039506.1	3620612	3622819	-	2208	2250	1591	1172	922	1355	1008	2504	1646
gene-LOC105280484	NC_039506.1	3622871	3626097	+	3227	9043	8509	5714	4560	6322	6493	8783	10057
gene-LOC105280423	NC_039506.1	3626034	3640839	-	14806	2106	1993	1339	1112	1523	1400	2198	2141
gene-LOC105280427	NC_039506.1	3641160	3655471	+	14312	397	350	294	276	306	242	453	227
gene-LOC113561647	NC_039506.1	3644434	3645215	-	782	0	0	0	0	0	0	0	0
gene-LOC105280425	NC_039506.1	3655495	3658319	-	2825	4006	3056	2597	1841	3385	2192	5583	3299
