# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/silkworm_genome/GCF_000151625.1_ASM15162v1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "36" "--primary" "SRR10836807_dupsRemoved.bam" "SRR10836808_dupsRemoved.bam" "SRR10836809_dupsRemoved.bam" "SRR10836810_dupsRemoved.bam" "SRR10836811_dupsRemoved.bam" "SRR10836812_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10836807_dupsRemoved.bam	SRR10836808_dupsRemoved.bam	SRR10836809_dupsRemoved.bam	SRR10836810_dupsRemoved.bam	SRR10836811_dupsRemoved.bam	SRR10836812_dupsRemoved.bam
gene-LOC105841271	NW_004581490.1	1	843	-	843	0	0	0	1	0	0
gene-LOC692937	NW_004581490.1	2143	3447	-	1305	2807	3136	2634	2285	0	2116
gene-Bbx-b3	NW_004581491.1	1575	1966	+	392	0	0	0	1	0	0
gene-LOC101739341	NW_004581503.1	5	1497	-	1493	612	717	590	477	0	455
gene-LOC110384817	NW_004581508.1	1	995	-	995	46	57	34	58	0	47
gene-LOC101739902	NW_004581520.1	1984	2759	+	776	0	0	0	1	0	0
gene-LOC101740036	NW_004581522.1	113	3147	-	3035	4	2	1	0	0	1
gene-LOC110384850	NW_004581531.1	9	444	-	436	16	16	12	8	0	6
gene-LOC101740305	NW_004581531.1	643	1182	-	540	7	8	9	3	0	4
gene-Mir3310	NW_004581537.1	1355	1502	-	148	0	0	0	3	0	0
gene-LOC101740436	NW_004581541.1	250	2963	+	2714	29	25	12	36	0	42
gene-LOC105841374	NW_004581549.1	108	1880	+	1773	0	0	1	0	0	0
gene-LOC101740706	NW_004581559.1	9	759	+	751	16	23	26	38	0	37
gene-LOC101740844	NW_004581563.1	14	1094	+	1081	3	2	4	0	0	0
gene-LOC101741276	NW_004581587.1	2518	3592	-	1075	43	37	37	60	0	48
gene-LOC101741370	NW_004581607.1	29	956	+	928	0	1	1	0	0	1
gene-LOC101741509	NW_004581610.1	642	1188	-	547	93	100	99	138	0	134
gene-LOC101741607	NW_004581614.1	695	2247	-	1553	12	5	7	10	0	10
gene-LOC110384977	NW_004581631.1	657	2149	-	1493	0	0	0	1	0	0
gene-TRNAD-GUC	NW_004581632.1	1748	1819	-	72	0	0	0	0	0	0
gene-LOC101741996	NW_004581660.1	1004	2080	-	1077	25	28	27	60	0	50
gene-LOC110384999	NW_004581661.1	238	892	-	655	95	86	83	126	0	136
gene-LOC101742138	NW_004581666.1	7	262	+	256	5	0	5	6	0	5
gene-LOC101745169	NW_004581679.1	6718	10079	+	3362	290	351	319	465	0	428
gene-LOC101747196	NW_004581679.1	76496	80984	+	4489	122	150	120	82	0	73
gene-LOC105842040	NW_004581679.1	86426	87400	-	975	31	34	31	90	0	71
gene-UGT48C1	NW_004581679.1	200107	205327	+	5221	4	4	0	2	0	1
gene-LOC101745314	NW_004581679.1	237290	257717	+	20428	21	27	13	66	0	56
gene-LOC101735404	NW_004581679.1	257867	278008	-	20142	121	151	132	140	0	134
gene-LOC101745456	NW_004581679.1	292935	297604	-	4670	38	45	31	51	0	54
gene-LOC101745698	NW_004581679.1	306869	367248	-	60380	2403	2740	2287	767	0	707
gene-TRNAS-UGA	NW_004581679.1	384598	384679	-	82	0	0	0	0	0	0
gene-LOC101745986	NW_004581679.1	390520	396887	+	6368	2820	3275	2756	3264	0	3139
gene-LOC101745847	NW_004581679.1	396883	404773	-	7891	338	364	346	927	0	873
gene-LOC101735537	NW_004581679.1	405966	454259	-	48294	625	694	587	1309	0	1182
gene-LOC101735678	NW_004581679.1	456679	464156	+	7478	139	132	116	301	0	270
gene-LOC101735819	NW_004581679.1	467972	486276	-	18305	531	585	504	835	0	798
gene-LOC101746129	NW_004581679.1	487275	490947	+	3673	870	1030	840	692	0	660
gene-Nc	NW_004581679.1	491825	496944	-	5120	330	377	314	564	0	567
gene-LOC101746272	NW_004581679.1	500733	501490	+	758	529	566	455	385	0	384
gene-LOC101735951	NW_004581679.1	502540	523882	-	21343	1135	1265	1164	2632	0	2414
gene-LOC101736079	NW_004581679.1	524834	529871	+	5038	231	264	242	372	0	380
gene-LOC105841811	NW_004581679.1	539898	599641	+	59744	138	139	89	221	0	242
gene-LOC101746408	NW_004581679.1	600636	618691	-	18056	3757	4153	3616	3955	0	3721
gene-LOC100101162	NW_004581679.1	619831	624087	+	4257	318	317	274	508	0	494
gene-LOC101746688	NW_004581679.1	631943	639874	-	7932	2752	3171	2690	2956	0	2828
gene-LOC101736218	NW_004581679.1	642545	662555	-	20011	939	1001	866	1644	0	1493
gene-LOC101736349	NW_004581679.1	664627	682417	+	17791	462	497	480	602	0	549
gene-LOC110385807	NW_004581679.1	686221	687714	+	1494	95	111	77	66	0	68
gene-LOC101746927	NW_004581679.1	688304	690243	-	1940	369	450	366	389	0	382
gene-LOC101747060	NW_004581679.1	696155	702512	+	6358	138	166	113	151	0	147
gene-LOC101735536	NW_004581679.1	703064	708680	-	5617	1	1	0	2	0	0
gene-LOC101735677	NW_004581679.1	709619	714950	-	5332	0	1	0	1	0	0
gene-LOC101735818	NW_004581679.1	715160	716682	+	1523	0	0	0	1	0	0
gene-LOC101736469	NW_004581679.1	717802	740578	-	22777	3	3	6	7	0	3
gene-LOC101736603	NW_004581679.1	744016	750838	+	6823	35	40	37	146	0	120
gene-LOC101735950	NW_004581679.1	759332	764015	+	4684	477	539	442	695	0	721
gene-LOC101736743	NW_004581679.1	767710	775357	-	7648	434	472	458	624	0	619
gene-LOC101736870	NW_004581679.1	781903	785978	+	4076	192	208	174	347	0	301
gene-LOC101736166	NW_004581679.1	785978	786739	-	762	227	270	252	338	0	314
gene-LOC110386072	NW_004581679.1	787748	794055	-	6308	0	0	1	1	0	0
gene-LOC105841880	NW_004581679.1	792106	1213270	+	421165	146	160	134	147	0	135
gene-Mir1926	NW_004581679.1	1013970	1014059	-	90	0	0	0	0	0	0
gene-Mir927	NW_004581679.1	1013971	1014058	+	88	0	0	0	0	0	0
gene-LOC110386083	NW_004581679.1	1015812	1018157	+	2346	0	0	0	0	0	0
gene-LOC101737135	NW_004581679.1	1254834	1272165	+	17332	4	10	5	10	0	3
gene-LOC105842347	NW_004581679.1	1272165	1291018	+	18854	17	19	13	30	0	32
gene-LOC101737279	NW_004581679.1	1294872	1299642	-	4771	0	0	3	1	0	0
gene-LOC101737422	NW_004581679.1	1306571	1349114	-	42544	14	15	19	19	0	18
gene-LOC101736301	NW_004581679.1	1366748	1370176	+	3429	542	539	488	807	0	766
gene-LOC101736427	NW_004581679.1	1371884	1387179	-	15296	630	655	579	733	0	738
gene-LOC101736555	NW_004581679.1	1387544	1392452	+	4909	8	6	4	5	0	1
gene-LOC101736696	NW_004581679.1	1403681	1406774	-	3094	4	3	2	0	0	1
gene-LOC101736829	NW_004581679.1	1409543	1411144	-	1602	206	233	170	185	0	189
gene-LOC101736958	NW_004581679.1	1411377	1414281	+	2905	375	383	325	414	0	372
gene-LOC101737705	NW_004581679.1	1421034	1440487	-	19454	125	129	112	424	0	411
gene-LOC101737091	NW_004581679.1	1442212	1453889	+	11678	803	911	757	1102	0	1097
gene-LOC101737329	NW_004581679.1	1455924	1478316	+	22393	24	17	21	9	0	15
gene-LOC101737472	NW_004581679.1	1478739	1484498	+	5760	435	440	376	467	0	447
gene-LOC101737843	NW_004581679.1	1489599	1502469	-	12871	140	125	121	439	0	368
gene-LOC101737615	NW_004581679.1	1503850	1509034	+	5185	693	747	663	1197	0	1140
gene-LOC101737977	NW_004581679.1	1508719	1527278	-	18560	19	10	11	15	0	10
gene-LOC101737757	NW_004581679.1	1528031	1537642	+	9612	19	31	28	45	0	38
gene-LOC101738027	NW_004581679.1	1542800	1568509	-	25710	577	653	532	678	0	607
gene-LOC101737894	NW_004581679.1	1554831	1562547	+	7717	0	0	0	0	0	0
gene-LOC101738424	NW_004581679.1	1571428	1577450	-	6023	1745	2128	1693	2836	0	2613
gene-LOC101738557	NW_004581679.1	1582857	1585813	+	2957	799	873	703	788	0	839
gene-LOC101738107	NW_004581679.1	1591836	1617062	-	25227	164	127	108	371	0	353
gene-LOC110386377	NW_004581679.1	1635348	1639483	+	4136	18	17	15	31	0	32
gene-LOC778504	NW_004581679.1	1643608	1648543	-	4936	2070	2361	1988	2302	0	2147
gene-LOC101738239	NW_004581679.1	1652849	1662449	+	9601	33	56	29	155	0	145
gene-LOC110386403	NW_004581679.1	1658162	1659855	-	1694	0	0	0	0	0	0
gene-LOC101738776	NW_004581679.1	1676374	1682134	-	5761	8	2	3	2	0	4
gene-LOC101738913	NW_004581679.1	1685413	1690419	+	5007	163	181	156	366	0	356
gene-LOC101739203	NW_004581679.1	1700234	1705445	+	5212	3	12	3	7	0	5
gene-LOC101739342	NW_004581679.1	1719577	1725122	-	5546	201	200	200	245	0	219
gene-LOC101739486	NW_004581679.1	1725295	1739620	+	14326	298	305	273	274	0	251
gene-LOC101738512	NW_004581679.1	1739956	1747387	+	7432	433	497	410	636	0	626
gene-RpL10	NW_004581679.1	1749271	1751102	-	1832	5276	5848	5026	5199	0	4835
gene-LOC101739623	NW_004581679.1	1754649	1774712	+	20064	907	1014	869	1363	0	1347
gene-Fmbp-1	NW_004581679.1	1774375	1775848	-	1474	520	638	522	856	0	866
gene-LOC101740168	NW_004581679.1	1777819	1790180	+	12362	2027	2205	1988	2188	0	2045
gene-LOC101740037	NW_004581679.1	1790176	1791367	-	1192	722	780	683	820	0	836
gene-LOC101739903	NW_004581679.1	1793128	1804314	+	11187	2367	2607	2186	3554	0	3424
gene-LOC101739767	NW_004581679.1	1805197	1815419	+	10223	365	454	356	611	0	546
gene-LOC101740306	NW_004581679.1	1815415	1818088	-	2674	394	397	354	562	0	533
gene-LOC101738641	NW_004581679.1	1818856	1834424	+	15569	60	80	61	247	0	222
gene-Mir2808a-2	NW_004581679.1	1828705	1828781	+	77	0	0	0	0	0	0
gene-LOC101740437	NW_004581679.1	1839672	1846129	-	6458	223	266	240	333	0	305
gene-LOC101740571	NW_004581679.1	1840259	1840837	-	579	0	0	0	0	0	0
gene-LOC101740707	NW_004581679.1	1849003	1852613	+	3611	318	331	327	424	0	390
gene-LOC101738777	NW_004581679.1	1855826	1858321	+	2496	3	4	3	5	0	1
gene-LOC110386829	NW_004581679.1	1858278	1858705	+	428	0	0	0	0	0	1
gene-LOC101738914	NW_004581679.1	1912927	1914107	+	1181	3	4	6	6	0	4
gene-LOC101739057	NW_004581679.1	1920956	1923494	+	2539	3	3	2	1	0	3
gene-LOC101739204	NW_004581679.1	1926484	1927329	+	846	0	0	0	0	0	0
gene-LOC110386861	NW_004581679.1	1929321	1931467	-	2147	0	1	1	1	0	2
gene-LOC101740989	NW_004581679.1	1935166	1944434	+	9269	20	37	22	19	0	18
gene-LOC101739343	NW_004581679.1	1945554	2059648	-	114095	504	528	447	897	0	781
gene-LOC101740845	NW_004581679.1	1953644	1956739	+	3096	0	0	0	0	0	0
gene-TRNAE-CUC	NW_004581679.1	1982771	1982842	+	72	0	0	0	0	0	0
gene-LOC101739624	NW_004581679.1	2089017	2108025	+	19009	6	13	6	7	0	6
gene-ACBP-like	NW_004581679.1	2121253	2129936	+	8684	34	23	23	16	0	19
gene-LOC101741134	NW_004581679.1	2130873	2133573	-	2701	33	49	29	28	0	27
gene-ACBP	NW_004581679.1	2135967	2145808	+	9842	1211	1343	1131	1412	0	1386
gene-LOC101741277	NW_004581679.1	2147591	2155861	-	8271	3	2	4	5	0	3
gene-LOC105842205	NW_004581679.1	2163274	2163683	+	410	0	0	0	0	0	0
gene-Time	NW_004581679.1	2172559	2183752	+	11194	16	14	10	10	0	10
gene-LOC105841985	NW_004581679.1	2196038	2198262	+	2225	0	0	1	0	0	0
gene-LOC101739904	NW_004581679.1	2209396	2233282	-	23887	0	3	0	1	0	1
gene-LOC101741415	NW_004581679.1	2213444	2215821	-	2378	0	0	0	0	0	0
gene-LOC101740169	NW_004581679.1	2242115	2251107	+	8993	2	2	0	1	0	2
gene-TRNAG-GCC	NW_004581679.1	2258394	2258464	-	71	0	0	0	1	0	1
gene-LOC101740438	NW_004581679.1	2259159	2746775	+	487617	394	412	357	809	0	681
gene-TRNAG-GCC-2	NW_004581679.1	2288958	2289028	-	71	0	0	0	0	0	0
gene-Ero1	NW_004581679.1	2757028	2775514	-	18487	232	301	263	215	0	225
gene-LOC692847	NW_004581679.1	2778612	2819220	-	40609	2489	2833	2371	1944	0	1825
gene-LOC110386874	NW_004581679.1	2789069	2790261	+	1193	0	0	0	0	0	0
gene-LOC110386873	NW_004581679.1	2804836	2805430	-	595	0	0	0	0	0	0
gene-LOC101741699	NW_004581679.1	2820976	2824996	-	4021	0	0	0	1	0	1
gene-LOC101741846	NW_004581679.1	2848410	2851517	-	3108	0	0	0	1	0	2
gene-LOC101741997	NW_004581679.1	2856009	2860708	+	4700	549	623	515	483	0	476
gene-LOC101742239	NW_004581679.1	2860683	2892417	+	31735	353	360	285	903	0	795
gene-LOC101740708	NW_004581679.1	2893251	2896557	-	3307	274	327	295	433	0	413
gene-Jm	NW_004581679.1	2896667	2900393	-	3727	1093	1280	1049	1173	0	1054
gene-LOC101742474	NW_004581679.1	2902704	2905558	+	2855	3107	3460	2956	1836	0	1750
gene-LOC101742617	NW_004581679.1	2911687	3016179	-	104493	809	932	760	1330	0	1216
gene-LOC101743054	NW_004581679.1	3016862	3018129	+	1268	374	408	354	422	0	405
gene-LOC101743201	NW_004581679.1	3020042	3027736	-	7695	958	1033	857	1035	0	916
gene-LOC101743337	NW_004581679.1	3028150	3036178	+	8029	3767	4120	3549	4793	0	4631
gene-LOC693101	NW_004581679.1	3036223	3087144	-	50922	7481	7921	6954	4117	0	4019
gene-LOC101743758	NW_004581679.1	3075604	3086060	+	10457	0	0	0	0	0	0
gene-LOC101743908	NW_004581679.1	3096428	3112948	+	16521	303	371	321	358	0	357
gene-LOC105842143	NW_004581679.1	3117037	3120876	+	3840	3	4	2	4	0	0
gene-LOC101740990	NW_004581679.1	3137352	3166084	-	28733	13	12	6	11	0	13
gene-LOC105842980	NW_004581679.1	3152379	3165529	+	13151	0	0	0	0	0	0
gene-LOC101741135	NW_004581679.1	3191482	3199086	-	7605	1064	1145	862	1125	0	1036
gene-LOC110386891	NW_004581679.1	3196050	3196287	+	238	0	0	0	0	0	0
gene-LOC101741278	NW_004581679.1	3200663	3226973	+	26311	963	1098	880	2357	0	2128
gene-LOC105842557	NW_004581679.1	3205134	3209266	-	4133	0	0	0	0	0	0
gene-wh3	NW_004581679.1	3228891	3283312	+	54422	224	249	211	399	0	391
gene-Mir3391	NW_004581679.1	3279236	3279345	+	110	0	0	0	0	0	0
gene-Mir2772a-1	NW_004581679.1	3279730	3279825	+	96	0	0	0	0	0	0
gene--w-2	NW_004581679.1	3305315	3338836	+	33522	217	242	210	116	0	108
gene-TRNAE-CUC-2	NW_004581679.1	3366762	3366833	-	72	0	0	0	0	0	0
gene-TRNAE-CUC-3	NW_004581679.1	3370836	3370907	-	72	0	0	0	0	0	0
gene-LOC101741553	NW_004581679.1	3375178	3795765	+	420588	1823	1969	1684	2503	0	2263
gene-LOC101744303	NW_004581679.1	3795855	3831497	-	35643	1132	1253	1109	2005	0	1905
gene-LOC110386898	NW_004581679.1	3820708	3822313	+	1606	0	0	0	0	0	0
gene-LOC101742139	NW_004581679.1	3834566	3842648	+	8083	990	1170	939	676	0	640
gene-LOC101744446	NW_004581679.1	3842649	3860979	-	18331	5008	5625	4853	7240	0	6952
gene-LOC101744594	NW_004581679.1	3866522	3869873	-	3352	189	200	201	257	0	230
gene-LOC101744916	NW_004581679.1	3871200	3897727	+	26528	2436	2781	2387	2265	0	2003
gene-LOC101745170	NW_004581679.1	3901545	3903381	-	1837	470	547	437	382	0	424
gene-LOC101745315	NW_004581679.1	3909331	3928327	+	18997	7662	8274	7325	15972	0	14912
gene-LOC101742286	NW_004581679.1	3929059	3935055	-	5997	1012	1183	943	781	0	743
gene-LOC101745551	NW_004581679.1	3936729	3977501	+	40773	8	8	5	13	0	14
gene-LOC101745699	NW_004581679.1	3978920	3984143	+	5224	537	538	457	605	0	600
gene-LOC101742431	NW_004581679.1	4007443	4007766	+	324	1	0	0	2	0	1
gene-NOS2	NW_004581679.1	4054089	4215104	+	161016	53	43	49	45	0	45
gene-NOS1	NW_004581679.1	4223713	4275389	+	51677	33	24	29	52	0	44
gene-LOC101746080	NW_004581679.1	4275380	4278672	-	3293	10	6	3	4	0	3
gene-TRNAD-GUC-2	NW_004581679.1	4284631	4284702	-	72	0	0	0	0	0	0
gene-TRNAD-GUC-3	NW_004581679.1	4286156	4286227	+	72	0	0	0	0	0	0
gene-Anxb13	NW_004581679.1	4318828	4340018	-	21191	986	1196	1025	854	0	775
gene-LOC101746224	NW_004581679.1	4346026	4354574	+	8549	214	198	185	506	0	495
gene-LOC105842445	NW_004581679.1	4356345	4362573	+	6229	4118	4642	3912	4342	0	4184
gene-LOC101746503	NW_004581679.1	4366804	4369977	+	3174	32	39	26	29	0	11
gene-LOC101746362	NW_004581679.1	4381095	4396251	+	15157	1282	1457	1312	1447	0	1358
gene-LOC101746786	NW_004581679.1	4396749	4399984	+	3236	19	26	19	8	0	13
gene-LOC101746928	NW_004581679.1	4402181	4407296	+	5116	247	250	232	329	0	315
gene-Lrpl	NW_004581679.1	4411894	4474852	-	62959	34	35	35	33	0	32
gene-Adh	NW_004581679.1	4445777	4452075	+	6299	0	0	0	0	0	0
gene-LOC110386911	NW_004581679.1	4518109	4518637	-	529	19	23	16	13	0	21
gene-LOC101741040	NW_004581680.1	237	33927	+	33691	3609	3972	3463	4415	0	4181
gene-LOC105841272	NW_004581680.1	6806	14029	+	7224	0	0	0	0	0	0
gene-LOC101745502	NW_004581680.1	37500	41812	+	4313	25	20	31	21	0	14
gene-LOC101745355	NW_004581680.1	41463	45394	-	3932	314	384	306	431	0	403
gene-LOC101745641	NW_004581680.1	48742	59817	+	11076	5	2	3	16	0	10
gene-TRNAE-CUC-4	NW_004581680.1	71809	71880	+	72	0	0	0	0	0	0
gene-LOC101745789	NW_004581680.1	100395	120069	-	19675	13	22	16	12	0	7
gene-LOC105842999	NW_004581680.1	143181	148002	-	4822	4	10	3	11	0	6
gene-LOC101741469	NW_004581680.1	183989	244251	+	60263	9	10	10	20	0	11
gene-LOC105841302	NW_004581680.1	332136	333730	+	1595	0	1	0	0	0	0
gene-LOC105841336	NW_004581680.1	358438	359634	+	1197	0	0	0	0	0	0
gene-LOC101745935	NW_004581680.1	379684	382269	-	2586	0	0	0	0	0	0
gene-LOC101746081	NW_004581680.1	540590	549870	-	9281	474	542	472	750	0	683
gene-LOC101746225	NW_004581680.1	550930	551894	+	965	578	575	574	624	0	541
gene-LOC101746363	NW_004581680.1	552211	555139	-	2929	862	999	815	882	0	789
gene-LOC100037420	NW_004581680.1	556253	557965	+	1713	158	161	133	208	0	192
gene-LOC101746504	NW_004581680.1	559935	571932	+	11998	732	799	682	868	0	837
gene-LOC101746648	NW_004581680.1	572388	575914	-	3527	25	41	26	62	0	64
gene-LOC101746787	NW_004581680.1	582640	618352	+	35713	666	747	682	2194	0	2037
gene-LOC101747015	NW_004581680.1	684143	685494	+	1352	708	799	640	2212	0	2130
gene-LOC693055	NW_004581680.1	734431	820169	+	85739	28	33	34	36	0	28
gene-LOC101742184	NW_004581680.1	871054	871938	+	885	0	0	0	0	0	0
gene-LOC110384769	NW_004581680.1	888152	899171	-	11020	24	28	26	16	0	10
gene-LOC101747155	NW_004581680.1	1062266	1063578	-	1313	1	1	1	0	0	0
gene-LOC101735445	NW_004581680.1	1077343	1084276	+	6934	8677	9723	8478	5774	0	5444
gene-LOC101735303	NW_004581680.1	1084265	1089920	-	5656	305	358	281	330	0	260
gene-LOC101742618	NW_004581680.1	1097671	1119544	+	21874	654	741	655	1900	0	1748
gene-LOC105841277	NW_004581680.1	1123578	1126782	-	3205	65	71	53	89	0	87
gene-LOC101735582	NW_004581680.1	1126912	1128644	-	1733	6	9	6	19	0	12
gene-LOC101735721	NW_004581680.1	1128911	1130270	+	1360	342	394	331	454	0	427
gene-LOC101736029	NW_004581680.1	1138109	1139221	+	1113	0	0	0	0	0	0
gene-LOC101736117	NW_004581680.1	1167806	1197250	+	29445	120	135	123	244	0	221
gene-LOC101736252	NW_004581680.1	1200938	1228757	-	27820	2631	2872	2538	4199	0	3842
gene-LOC110384778	NW_004581680.1	1209807	1211918	+	2112	0	0	0	0	0	0
gene-LOC101736384	NW_004581680.1	1231160	1237855	+	6696	136	150	141	220	0	233
gene-LOC110384756	NW_004581680.1	1333797	1334633	-	837	0	0	0	0	0	0
gene-LOC101742914	NW_004581680.1	1368938	1369669	+	732	3	5	0	0	0	0
gene-LOC110386935	NW_004581680.1	1554798	1555811	+	1014	0	0	0	0	0	0
gene-LOC101736604	NW_004581680.1	1589405	1593791	-	4387	641	707	612	672	0	668
gene-LOC101743055	NW_004581680.1	1744200	1758724	+	14525	17	18	9	10	0	10
gene-18w	NW_004581680.1	2040229	2044116	-	3888	920	1024	885	1481	0	1249
gene-LOC105843019	NW_004581680.1	2107766	2110530	+	2765	1	0	0	0	0	2
gene-LOC101736744	NW_004581680.1	2122273	2144130	+	21858	10	7	8	3	0	2
gene-LOC101743480	NW_004581680.1	2144773	2150733	+	5961	0	1	1	0	0	0
gene-LOC101737005	NW_004581680.1	2160544	2194565	+	34022	8	9	7	17	0	14
gene-LOC101737136	NW_004581680.1	2176692	2178543	-	1852	0	0	0	0	0	0
gene-Fmxg18c17	NW_004581680.1	2200538	2202560	+	2023	0	0	0	0	0	0
gene-LOC101737235	NW_004581680.1	2279072	2290352	+	11281	1	1	1	1	0	0
gene-LOC101737382	NW_004581680.1	2396613	2401075	-	4463	71	83	56	156	0	145
gene-LOC105841315	NW_004581680.1	2406297	2406964	-	668	186	181	150	97	0	127
gene-LOC110384787	NW_004581680.1	2407854	2409137	-	1284	178	215	158	156	0	168
gene-LOC101737525	NW_004581680.1	2409418	2426064	-	16647	3634	4046	3347	5708	0	5107
gene-LOC101743909	NW_004581680.1	2428252	2441144	-	12893	1332	1363	1148	1147	0	1062
gene-LOC101744055	NW_004581680.1	2443721	2450101	+	6381	12	27	15	21	0	18
gene-LOC101737667	NW_004581680.1	2449826	2451267	-	1442	215	235	193	267	0	247
gene-LOC101737801	NW_004581680.1	2451873	2465987	-	14115	438	496	401	942	0	835
gene-Aact	NW_004581680.1	2470689	2472965	-	2277	1446	1545	1357	1772	0	1718
gene-LOC101737934	NW_004581680.1	2474652	2498887	+	24236	776	860	756	1799	0	1741
gene-LOC101738065	NW_004581680.1	2499024	2505264	-	6241	1549	1738	1499	2390	0	2188
gene-Apaf-1	NW_004581680.1	2510250	2545619	-	35370	539	553	554	1011	0	823
gene-LOC101738193	NW_004581680.1	2569049	2573865	+	4817	386	430	350	988	0	884
gene-LOC101738325	NW_004581680.1	3012354	3017245	-	4892	2180	2514	2047	2470	0	2320
gene-LOC101738464	NW_004581680.1	3248261	3253579	-	5319	367	377	305	928	0	790
gene-LOC101738596	NW_004581680.1	3308888	3314249	-	5362	2	4	1	2	0	2
gene-LOC101738688	NW_004581680.1	3534756	3538525	-	3770	0	0	0	1	0	2
gene-LOC110384803	NW_004581680.1	3538574	3540721	+	2148	0	0	2	0	0	0
gene-LOC101744630	NW_004581680.1	3642647	3647833	+	5187	514	590	490	1057	0	964
gene-LOC101739058	NW_004581680.1	3862718	4233793	-	371076	876	1040	847	983	0	937
gene-TRNAK-CUU	NW_004581680.1	3984100	3984172	-	73	0	0	0	0	0	0
gene-LOC101738915	NW_004581680.1	4052625	4057377	+	4753	0	0	0	0	0	0
gene-burs	NW_004581680.1	4234392	4235120	-	729	0	0	2	0	0	0
gene-pburs	NW_004581680.1	4237456	4239032	+	1577	3	5	1	3	0	2
gene-LOC101739205	NW_004581680.1	4241625	4243397	+	1773	1336	1382	1270	1534	0	1445
gene-LOC101744774	NW_004581680.1	4246044	4254622	-	8579	16	16	16	28	0	21
gene-p90srk	NW_004581680.1	4255045	4274067	+	19023	566	602	528	1105	0	1007
gene-LOC692809	NW_004581680.1	4279599	4280844	-	1246	691	759	679	831	0	780
gene-SCM	NW_004581680.1	4282664	4287858	+	5195	567	692	521	787	0	725
gene-LOC101739488	NW_004581680.1	4292032	4293292	-	1261	0	0	0	0	0	0
